Species;Time;OD;Pyri;Thi;Blank
C. reinhardtii;0;0,342;0;0;Blank
C. reinhardtii;0;1,234;0;0;Cells
C. reinhardtii;0;0,308;0;0;Blank
C. reinhardtii;0;1,226;0;0;Cells
C. reinhardtii;0;0,337;0;0;Blank
C. reinhardtii;0;1,219;0;0;Cells
C. reinhardtii;0;0,318;0;10;Blank
C. reinhardtii;0;1,231;0;10;Cells
C. reinhardtii;0;0,332;0;10;Blank
C. reinhardtii;0;1,226;0;10;Cells
C. reinhardtii;0;0,312;0;10;Blank
C. reinhardtii;0;1,21;0;10;Cells
C. reinhardtii;0;1,116;10;0;Cells
C. reinhardtii;0;1,139;10;0;Cells
C. reinhardtii;0;1,229;10;0;Cells
C. reinhardtii;0;1,23;10;10;Cells
C. reinhardtii;0;1,244;10;10;Cells
C. reinhardtii;0;1,212;10;10;Cells
C. reinhardtii;24;0,341;0;0;Blank
C. reinhardtii;24;1,371;0;0;Cells
C. reinhardtii;24;0,312;0;0;Blank
C. reinhardtii;24;1,359;0;0;Cells
C. reinhardtii;24;0,327;0;0;Blank
C. reinhardtii;24;1,375;0;0;Cells
C. reinhardtii;24;0,315;0;10;Blank
C. reinhardtii;24;1,358;0;10;Cells
C. reinhardtii;24;0,334;0;10;Blank
C. reinhardtii;24;1,345;0;10;Cells
C. reinhardtii;24;0,313;0;10;Blank
C. reinhardtii;24;1,33;0;10;Cells
C. reinhardtii;24;1,216;10;0;Cells
C. reinhardtii;24;1,235;10;0;Cells
C. reinhardtii;24;1,243;10;0;Cells
C. reinhardtii;24;1,351;10;10;Cells
C. reinhardtii;24;1,343;10;10;Cells
C. reinhardtii;24;1,339;10;10;Cells
C. reinhardtii;48;0,354;0;0;Blank
C. reinhardtii;48;1,532;0;0;Cells
C. reinhardtii;48;0,309;0;0;Blank
C. reinhardtii;48;1,532;0;0;Cells
C. reinhardtii;48;0,336;0;0;Blank
C. reinhardtii;48;1,526;0;0;Cells
C. reinhardtii;48;0,319;0;10;Blank
C. reinhardtii;48;1,503;0;10;Cells
C. reinhardtii;48;0,341;0;10;Blank
C. reinhardtii;48;1,492;0;10;Cells
C. reinhardtii;48;0,322;0;10;Blank
C. reinhardtii;48;1,524;0;10;Cells
C. reinhardtii;48;1,195;10;0;Cells
C. reinhardtii;48;1,196;10;0;Cells
C. reinhardtii;48;1,213;10;0;Cells
C. reinhardtii;48;1,494;10;10;Cells
C. reinhardtii;48;1,5;10;10;Cells
C. reinhardtii;48;1,48;10;10;Cells
C. reinhardtii;72;0,353;0;0;Blank
C. reinhardtii;72;1,613;0;0;Cells
C. reinhardtii;72;0,305;0;0;Blank
C. reinhardtii;72;1,639;0;0;Cells
C. reinhardtii;72;0,322;0;0;Blank
C. reinhardtii;72;1,591;0;0;Cells
C. reinhardtii;72;0,299;0;10;Blank
C. reinhardtii;72;1,591;0;10;Cells
C. reinhardtii;72;0,321;0;10;Blank
C. reinhardtii;72;1,573;0;10;Cells
C. reinhardtii;72;0,32;0;10;Blank
C. reinhardtii;72;1,57;0;10;Cells
C. reinhardtii;72;1,066;10;0;Cells
C. reinhardtii;72;1,057;10;0;Cells
C. reinhardtii;72;1,074;10;0;Cells
C. reinhardtii;72;1,556;10;10;Cells
C. reinhardtii;72;1,596;10;10;Cells
C. reinhardtii;72;1,563;10;10;Cells
C. reinhardtii;96;0,351;0;0;Blank
C. reinhardtii;96;1,702;0;0;Cells
C. reinhardtii;96;0,314;0;0;Blank
C. reinhardtii;96;1,7;0;0;Cells
C. reinhardtii;96;0,334;0;0;Blank
C. reinhardtii;96;1,702;0;0;Cells
C. reinhardtii;96;0,315;0;10;Blank
C. reinhardtii;96;1,689;0;10;Cells
C. reinhardtii;96;0,333;0;10;Blank
C. reinhardtii;96;1,691;0;10;Cells
C. reinhardtii;96;0,339;0;10;Blank
C. reinhardtii;96;1,69;0;10;Cells
C. reinhardtii;96;0,889;10;0;Cells
C. reinhardtii;96;0,837;10;0;Cells
C. reinhardtii;96;0,855;10;0;Cells
C. reinhardtii;96;1,656;10;10;Cells
C. reinhardtii;96;1,646;10;10;Cells
C. reinhardtii;96;1,652;10;10;Cells
C. reinhardtii;120;0,361;0;0;Blank
C. reinhardtii;120;1,766;0;0;Cells
C. reinhardtii;120;0,315;0;0;Blank
C. reinhardtii;120;1,749;0;0;Cells
C. reinhardtii;120;0,34;0;0;Blank
C. reinhardtii;120;1,723;0;0;Cells
C. reinhardtii;120;0,315;0;10;Blank
C. reinhardtii;120;1,728;0;10;Cells
C. reinhardtii;120;0,341;0;10;Blank
C. reinhardtii;120;1,729;0;10;Cells
C. reinhardtii;120;0,33;0;10;Blank
C. reinhardtii;120;1,745;0;10;Cells
C. reinhardtii;120;0,803;10;0;Cells
C. reinhardtii;120;0,74;10;0;Cells
C. reinhardtii;120;0,762;10;0;Cells
C. reinhardtii;120;1,733;10;10;Cells
C. reinhardtii;120;1,754;10;10;Cells
C. reinhardtii;120;1,721;10;10;Cells
C. reinhardtii;144;0,371;0;0;Blank
C. reinhardtii;144;1,782;0;0;Cells
C. reinhardtii;144;0,326;0;0;Blank
C. reinhardtii;144;1,788;0;0;Cells
C. reinhardtii;144;0,333;0;0;Blank
C. reinhardtii;144;1,776;0;0;Cells
C. reinhardtii;144;0,316;0;10;Blank
C. reinhardtii;144;1,782;0;10;Cells
C. reinhardtii;144;0,333;0;10;Blank
C. reinhardtii;144;1,816;0;10;Cells
C. reinhardtii;144;0,318;0;10;Blank
C. reinhardtii;144;1,78;0;10;Cells
C. reinhardtii;144;0,716;10;0;Cells
C. reinhardtii;144;0,658;10;0;Cells
C. reinhardtii;144;0,695;10;0;Cells
C. reinhardtii;144;1,745;10;10;Cells
C. reinhardtii;144;1,761;10;10;Cells
C. reinhardtii;144;1,796;10;10;Cells
C. reinhardtii;168;0,376;0;0;Blank
C. reinhardtii;168;1,822;0;0;Cells
C. reinhardtii;168;0,333;0;0;Blank
C. reinhardtii;168;1,799;0;0;Cells
C. reinhardtii;168;0,343;0;0;Blank
C. reinhardtii;168;1,832;0;0;Cells
C. reinhardtii;168;0,322;0;10;Blank
C. reinhardtii;168;1,819;0;10;Cells
C. reinhardtii;168;0,343;0;10;Blank
C. reinhardtii;168;1,819;0;10;Cells
C. reinhardtii;168;0,33;0;10;Blank
C. reinhardtii;168;1,829;0;10;Cells
C. reinhardtii;168;0,636;10;0;Cells
C. reinhardtii;168;0,592;10;0;Cells
C. reinhardtii;168;0,607;10;0;Cells
