Wells;BioRep;Thiamine;Primer;TechRep;Ct;Eff
1;A;No B12;H4;1;19,7;1,7
2;B;No B12;H4;1;20,9;1,74
3;C;No B12;H4;1;20,4;1,68
4;D;No B12;H4;1;19,5;1,78
5;E;1 mg/L B12;H4;1;20,7;1,77
6;F;1 mg/L B12;H4;1;20,9;1,73
7;G;1 mg/L B12;H4;1;21;1,78
8;H;1 mg/L B12;H4;1;20,3;1,79
9;A;No B12;UBQ;1;21,4;1,83
10;B;No B12;UBQ;1;23,1;1,73
11;C;No B12;UBQ;1;22,7;1,69
12;D;No B12;UBQ;1;22,2;1,79
13;E;1 mg/L B12;UBQ;1;22,8;1,72
14;F;1 mg/L B12;UBQ;1;22,7;1,71
15;G;1 mg/L B12;UBQ;1;23;1,69
16;H;1 mg/L B12;UBQ;1;22,8;1,77
17;A;No B12;UBC;1;22,6;1,7
18;B;No B12;UBC;1;22,9;1,74
19;C;No B12;UBC;1;22,8;1,69
20;D;No B12;UBC;1;22,1;1,74
21;E;1 mg/L B12;UBC;1;22,7;1,73
22;F;1 mg/L B12;UBC;1;22,8;1,69
23;G;1 mg/L B12;UBC;1;23;1,75
24;H;1 mg/L B12;UBC;1;22,5;1,65
25;A;No B12;METE;1;15,8;1,72
26;B;No B12;METE;1;16,9;1,72
27;C;No B12;METE;1;16,4;1,76
28;D;No B12;METE;1;17;1,68
29;E;1 mg/L B12;METE;1;23;1,7
30;F;1 mg/L B12;METE;1;23,3;1,65
31;G;1 mg/L B12;METE;1;23,1;1,72
32;H;1 mg/L B12;METE;1;23,6;1,66
33;A;No B12;THIC;1;20,9;1,78
34;B;No B12;THIC;1;20,2;1,76
35;C;No B12;THIC;1;20,6;1,75
36;D;No B12;THIC;1;22;1,75
37;E;1 mg/L B12;THIC;1;23,3;1,7
38;F;1 mg/L B12;THIC;1;22,5;1,69
39;G;1 mg/L B12;THIC;1;23,3;1,71
40;H;1 mg/L B12;THIC;1;22,7;1,73
41;A;No B12;SSSP;1;20;1,72
42;B;No B12;SSSP;1;21,5;1,78
43;C;No B12;SSSP;1;21,3;1,75
44;D;No B12;SSSP;1;19,5;1,75
45;E;1 mg/L B12;SSSP;1;21,9;1,8
46;F;1 mg/L B12;SSSP;1;21,4;1,78
47;G;1 mg/L B12;SSSP;1;22,3;1,72
48;H;1 mg/L B12;SSSP;1;20,5;1,75
49;A;No B12;H4;2;20,2;1,75
50;B;No B12;H4;2;20,8;1,74
51;C;No B12;H4;2;20,7;1,68
52;D;No B12;H4;2;19,4;1,7
53;E;1 mg/L B12;H4;2;20,7;1,75
54;F;1 mg/L B12;H4;2;20,7;1,72
55;G;1 mg/L B12;H4;2;20,9;1,75
56;H;1 mg/L B12;H4;2;20,4;1,77
57;A;No B12;UBQ;2;22,4;1,73
58;B;No B12;UBQ;2;23;1,72
59;C;No B12;UBQ;2;22,7;1,75
60;D;No B12;UBQ;2;22,1;1,67
61;E;1 mg/L B12;UBQ;2;22,8;1,66
62;F;1 mg/L B12;UBQ;2;22,7;1,74
63;G;1 mg/L B12;UBQ;2;23,1;1,69
64;H;1 mg/L B12;UBQ;2;22,8;1,75
65;A;No B12;UBC;2;22,2;1,76
66;B;No B12;UBC;2;22,3;1,78
67;C;No B12;UBC;2;22,4;1,71
68;D;No B12;UBC;2;21,9;1,76
69;E;1 mg/L B12;UBC;2;22,8;1,74
70;F;1 mg/L B12;UBC;2;22,6;1,73
71;G;1 mg/L B12;UBC;2;23;1,71
72;H;1 mg/L B12;UBC;2;22,5;1,7
73;A;No B12;METE;2;16;1,73
74;B;No B12;METE;2;16,8;1,72
75;C;No B12;METE;2;16,4;1,78
76;D;No B12;METE;2;17;1,72
77;E;1 mg/L B12;METE;2;23,2;1,7
78;F;1 mg/L B12;METE;2;23,4;1,71
79;G;1 mg/L B12;METE;2;23,1;1,7
80;H;1 mg/L B12;METE;2;23,5;1,72
81;A;No B12;THIC;2;20,9;1,75
82;B;No B12;THIC;2;20,2;1,67
83;C;No B12;THIC;2;20,7;1,74
84;D;No B12;THIC;2;21,8;1,69
85;E;1 mg/L B12;THIC;2;23,4;1,76
86;F;1 mg/L B12;THIC;2;22,5;1,73
87;G;1 mg/L B12;THIC;2;23,3;1,75
88;H;1 mg/L B12;THIC;2;22,7;1,7
89;A;No B12;SSSP;2;19,9;1,68
90;B;No B12;SSSP;2;21,4;1,74
91;C;No B12;SSSP;2;21;1,74
92;D;No B12;SSSP;2;19,5;1,71
93;E;1 mg/L B12;SSSP;2;22,1;1,69
94;F;1 mg/L B12;SSSP;2;21,4;1,72
95;G;1 mg/L B12;SSSP;2;22,2;1,72
96;H;1 mg/L B12;SSSP;2;20,4;1,74
