Well;Primer;HMP;BioRep;Ct;Eff
1;UBC;0;0;33,7;0
2;UBC;0;0;34;0,8
3;H4;0;0;34,7;0
4;H4;0;0;40,3;0
5;UBQ;0;0;23,1;0
6;UBQ;0;0;37,6;1,49
7;SSSP;0;0;40,3;0
8;SSSP;0;0;39,5;0,68
9;THIG;0;0;29,1;0
10;THIG;0;0;33,3;0
11;NMT1;0;0;39,1;0
12;NMT1;0;0;22,4;0
13;THIC;0;0;36,5;0
14;THIC;0;0;37;0
99;UBC;10;A;30,3;1,73
16;UBC;10;A;30,4;1,65
17;H4;10;A;24,2;1,75
18;H4;10;A;24,3;1,67
19;UBQ;10;A;28,3;1,67
20;UBQ;10;A;28,1;1,67
21;SSSP;10;A;29,4;1,66
22;SSSP;10;A;29,3;1,69
23;THIG;10;A;27,8;1,58
24;THIG;10;A;28,2;1,57
25;NMT1;10;A;39,4;0,08
26;NMT1;10;A;38,7;0,24
27;THIC;10;A;24,4;1,67
28;THIC;10;A;24,6;1,67
100;UBC;10;B;29,8;1,65
30;UBC;10;B;30;1,65
31;H4;10;B;23,7;1,68
32;H4;10;B;23,5;1,68
33;UBQ;10;B;29,7;1,72
34;UBQ;10;B;28,4;1,7
35;SSSP;10;B;30,1;1,71
36;SSSP;10;B;29,1;1,66
37;THIG;10;B;28,6;1,6
38;THIG;10;B;28,3;1,6
39;NMT1;10;B;38,5;1,31
40;NMT1;10;B;37,8;1,31
41;THIC;10;B;25;1,71
42;THIC;10;B;24,7;1,7
43;UBC;10;C;30,3;1,66
44;UBC;10;C;30,9;1,65
45;H4;10;C;24,1;1,69
46;H4;10;C;24,2;1,72
47;UBQ;10;C;28,8;1,69
48;UBQ;10;C;28,5;1,7
49;SSSP;10;C;31;1,62
50;SSSP;10;C;31;1,67
51;THIG;10;C;28,8;1,59
52;THIG;10;C;28,7;1,6
53;NMT1;10;C;35,4;1,62
54;NMT1;10;C;34;1,61
55;THIC;10;C;27,1;1,64
56;THIC;10;C;26,8;1,65
57;UBC;0;D;29,8;1,64
58;UBC;0;D;29,2;1,66
59;H4;0;D;23,8;1,71
60;H4;0;D;23,7;1,72
61;UBQ;0;D;28,5;1,68
62;UBQ;0;D;27,8;1,7
63;SSSP;0;D;29,3;1,71
64;SSSP;0;D;29,1;1,65
65;THIG;0;D;26,6;1,64
66;THIG;0;D;26,6;1,62
67;NMT1;0;D;33,8;1,61
68;NMT1;0;D;33,6;1,46
69;THIC;0;D;24,4;1,67
70;THIC;0;D;24,2;1,69
71;UBC;0;E;30;1,63
72;UBC;0;E;29,7;1,66
73;H4;0;E;23,8;1,69
74;H4;0;E;23,8;1,73
75;UBQ;0;E;28,6;1,68
76;UBQ;0;E;28,5;1,73
77;SSSP;0;E;30,5;1,65
78;SSSP;0;E;30,7;1,69
79;THIG;0;E;26,9;1,6
80;THIG;0;E;27,3;1,64
81;NMT1;0;E;32,2;1,7
82;NMT1;0;E;34,8;1,49
83;THIC;0;E;26,7;1,63
84;THIC;0;E;25,9;1,64
85;UBC;0;F;29,4;1,69
86;UBC;0;F;30;1,61
87;H4;0;F;24;1,68
88;H4;0;F;24,2;1,66
89;UBQ;0;F;28,9;1,68
90;UBQ;0;F;28,9;1,68
91;SSSP;0;F;30,5;1,67
92;SSSP;0;F;29,6;1,67
93;THIG;0;F;27;1,62
94;THIG;0;F;27;1,6
95;NMT1;0;F;31,7;1,48
96;NMT1;0;F;30,9;1,52
97;THIC;0;F;26;1,6
98;THIC;0;F;25,9;1,65
15;UBC;0;0;33,2;1,35
29;UBC;10;0;39,2;1,44
