Well,Primer,Thiamine,BioRep,TechRep,Ct,Eff,Gene
1,UBC,Control,G,1,28.6,0,HKG
2,UBC,RT-,H,1,6.9,0,HKG
3,H4,Control,G,1,29.1,0,HKG
4,H4,RT-,H,1,10,0,HKG
5,UBQ,Control,G,1,7.1,0,HKG
6,UBQ,RT-,H,1,25.3,0,HKG
7,SSSP,Control,G,1,39,0.48,Target
8,SSSP,RT-,H,1,14.3,0,Target
9,THIG,Control,G,1,29.8,0,Target
10,THIG,RT-,H,1,12.1,0,Target
11,NMT1,Control,G,1,32,0,Target
12,NMT1,RT-,H,1,29.4,0,Target
13,THIC,Control,G,1,40.3,0,Target
14,THIC,RT-,H,1,29.4,0,Target
15,UBC,10,A,1,27.2,1.7,HKG
16,UBC,10,A,2,26.9,1.67,HKG
17,H4,10,A,1,21.5,1.68,HKG
18,H4,10,A,2,21.6,1.69,HKG
19,UBQ,10,A,1,27,1.67,HKG
20,UBQ,10,A,2,26.7,1.7,HKG
21,SSSP,10,A,1,27.5,1.69,Target
22,SSSP,10,A,2,27.6,1.7,Target
23,THIG,10,A,1,26.6,1.67,Target
24,THIG,10,A,2,26.5,1.66,Target
25,NMT1,10,A,1,32.5,1.64,Target
26,NMT1,10,A,2,32.8,1.54,Target
27,THIC,10,A,1,25.3,1.6,Target
28,THIC,10,A,2,24.8,1.64,Target
29,UBC,0,D,1,30.8,1.67,HKG
30,UBC,0,D,2,29.8,1.68,HKG
31,H4,0,D,1,24.4,1.7,HKG
32,H4,0,D,2,24.5,1.72,HKG
33,UBQ,0,D,1,29,1.66,HKG
34,UBQ,0,D,2,28.6,1.68,HKG
35,SSSP,0,D,1,31.4,1.67,Target
36,SSSP,0,D,2,32.4,1.69,Target
37,THIG,0,D,1,33.6,1.66,Target
38,THIG,0,D,2,31.6,1.68,Target
39,NMT1,0,D,1,34.5,1.61,Target
40,NMT1,0,D,2,37.5,1.49,Target
41,THIC,0,D,1,33.8,1.59,Target
42,THIC,0,D,2,31.9,1.58,Target
43,UBC,10,B,1,27.2,1.66,HKG
44,UBC,10,B,2,26.4,1.68,HKG
45,H4,10,B,1,21.5,1.69,HKG
46,H4,10,B,2,21.5,1.7,HKG
47,UBQ,10,B,1,26.5,1.67,HKG
48,UBQ,10,B,2,26.4,1.71,HKG
49,SSSP,10,B,1,27.8,1.7,Target
50,SSSP,10,B,2,28.1,1.65,Target
51,THIG,10,B,1,26.1,1.63,Target
52,THIG,10,B,2,26,1.61,Target
53,NMT1,10,B,1,32.2,1.54,Target
54,NMT1,10,B,2,32.9,1.5,Target
55,THIC,10,B,1,25.2,1.6,Target
56,THIC,10,B,2,26.2,1.56,Target
57,UBC,0,E,1,28.6,1.62,HKG
58,UBC,0,E,2,28.1,1.68,HKG
59,H4,0,E,1,23.4,1.7,HKG
60,H4,0,E,2,23.2,1.72,HKG
61,UBQ,0,E,1,27.5,1.69,HKG
62,UBQ,0,E,2,27.4,1.71,HKG
63,SSSP,0,E,1,29.5,1.71,Target
64,SSSP,0,E,2,30.5,1.71,Target
65,THIG,0,E,1,28.8,1.59,Target
66,THIG,0,E,2,28.6,1.67,Target
67,NMT1,0,E,1,34.1,1.55,Target
68,NMT1,0,E,2,34.7,1.44,Target
69,THIC,0,E,1,28.1,1.58,Target
70,THIC,0,E,2,27.9,1.6,Target
71,UBC,10,C,1,26.9,1.66,HKG
72,UBC,10,C,2,27,1.65,HKG
73,H4,10,C,1,21.6,1.68,HKG
74,H4,10,C,2,21.6,1.7,HKG
75,UBQ,10,C,1,26.6,1.68,HKG
76,UBQ,10,C,2,26.9,1.66,HKG
77,SSSP,10,C,1,28.3,1.71,Target
78,SSSP,10,C,2,28.2,1.7,Target
79,THIG,10,C,1,27.5,1.6,Target
80,THIG,10,C,2,27.5,1.62,Target
81,NMT1,10,C,1,32.7,1.42,Target
82,NMT1,10,C,2,33.5,1.59,Target
83,THIC,10,C,1,26.3,1.58,Target
84,THIC,10,C,2,26.3,1.58,Target
85,UBC,0,F,1,27.7,1.67,HKG
86,UBC,0,F,2,27.8,1.63,HKG
87,H4,0,F,1,22.5,1.68,HKG
88,H4,0,F,2,22.6,1.69,HKG
89,UBQ,0,F,1,26.9,1.7,HKG
90,UBQ,0,F,2,26.9,1.7,HKG
91,SSSP,0,F,1,29.1,1.68,Target
92,SSSP,0,F,2,28.8,1.71,Target
93,THIG,0,F,1,29.2,1.63,Target
94,THIG,0,F,2,29.1,1.64,Target
95,NMT1,0,F,1,35.3,1.61,Target
96,NMT1,0,F,2,34.5,1.59,Target
97,THIC,0,F,1,26.6,1.58,Target
98,THIC,0,F,2,27.2,1.52,Target
