Well;Primer;Thiamine;BioRep;TechRep;Ct;Eff
1;Actin;10;A;1;28.7;1.70
2;Actin;10;A;2;28.7;1.70
3;rbcs;10;A;1;15.0;1.73
4;rbcs;10;A;2;15.6;1.71
5;EF1a;10;A;1;30.7;1.71
6;EF1a;10;A;2;31.0;1.70
7;THIC;10;A;1;31.1;1.66
8;THIC;10;A;2;32.1;1.65
9;NMT1;10;A;1;31.3;1.71
10;NMT1;10;A;2;30.2;1.70
11;THIG;10;A;1;30.5;1.68
12;THIG;10;A;2;30.5;1.66
13;SSSP;10;A;1;26.9;1.75
14;SSSP;10;A;2;27.1;1.73
15;Actin;10;B;1;29.9;1.67
16;Actin;10;B;2;29.9;1.70
17;rbcs;10;B;1;16.9;1.72
18;rbcs;10;B;2;16.6;1.72
19;EF1a;10;B;1;31.5;1.68
20;EF1a;10;B;2;33.0;1.74
21;THIC;10;B;1;33.1;1.71
22;THIC;10;B;2;33.1;1.69
23;NMT1;10;B;1;32.5;1.71
24;NMT1;10;B;2;33.1;1.73
25;THIG;10;B;1;33.3;1.74
26;THIG;10;B;2;33.1;1.70
27;SSSP;10;B;1;28.2;1.72
28;SSSP;10;B;2;28.4;1.73
29;Actin;10;C;1;28.7;1.67
30;Actin;10;C;2;28.5;1.68
31;rbcs;10;C;1;15.6;1.70
32;rbcs;10;C;2;15.5;1.72
33;EF1a;10;C;1;30.4;1.67
34;EF1a;10;C;2;30.3;1.68
35;THIC;10;C;1;32.5;1.64
36;THIC;10;C;2;32.8;1.64
37;NMT1;10;C;1;31.7;1.68
38;NMT1;10;C;2;31.7;1.67
39;THIG;10;C;1;31.3;1.64
40;THIG;10;C;2;31.7;1.65
41;SSSP;10;C;1;27.0;1.73
42;SSSP;10;C;2;27.1;1.73
43;Actin;0;D;1;28.9;1.69
44;Actin;0;D;2;28.7;1.69
45;rbcs;0;D;1;15.6;1.72
46;rbcs;0;D;2;15.6;1.72
47;EF1a;0;D;1;31.3;1.68
48;EF1a;0;D;2;30.4;1.70
49;THIC;0;D;1;32.1;1.63
50;THIC;0;D;2;32.1;1.63
51;NMT1;0;D;1;31.4;1.68
52;NMT1;0;D;2;32.4;1.70
53;THIG;0;D;1;31.6;1.68
54;THIG;0;D;2;30.6;1.67
55;SSSP;0;D;1;26.3;1.74
56;SSSP;0;D;2;26.2;1.74
57;Actin;0;E;1;30.9;1.68
58;Actin;0;E;2;30.3;1.68
59;rbcs;0;E;1;17.5;1.72
60;rbcs;0;E;2;17.7;1.74
61;EF1a;0;E;1;31.7;1.70
62;EF1a;0;E;2;32.4;1.71
63;THIC;0;E;1;33.2;1.72
64;THIC;0;E;2;33.2;1.73
65;NMT1;0;E;1;33.4;1.82
66;NMT1;0;E;2;32.5;1.72
67;THIG;0;E;1;33.1;1.73
68;THIG;0;E;2;33.2;1.75
69;SSSP;0;E;1;27.8;1.73
70;SSSP;0;E;2;27.8;1.74
71;Actin;0;F;1;28.8;1.69
72;Actin;0;F;2;28.6;1.68
73;rbcs;0;F;1;14.9;1.74
74;rbcs;0;F;2;15.0;1.73
75;EF1a;0;F;1;30.1;1.69
76;EF1a;0;F;2;30.2;1.70
77;THIC;0;F;1;30.5;1.65
78;THIC;0;F;2;30.6;1.66
79;NMT1;0;F;1;30.0;1.72
80;NMT1;0;F;2;30.2;1.71
81;THIG;0;F;1;29.8;1.68
82;THIG;0;F;2;29.8;1.69
83;SSSP;0;F;1;25.7;1.74
84;SSSP;0;F;2;25.5;1.74
85;Actin;0;RT-;1;26.0;0.00
86;Actin;0;NoTemp;1;26.8;0.00
87;rbcs;0;RT-;1;23.8;0.00
88;rbcs;0;NoTemp;1;18.3;0.00
89;EF1a;0;RT-;1;14.9;0.00
90;EF1a;0;NoTemp;1;30.1;0.00
91;THIC;0;RT-;1;30.3;-0.14
92;THIC;0;NoTemp;1;35.3;0.00
93;NMT1;0;RT-;1;33.3;1.86
94;NMT1;0;NoTemp;1;32.4;0.00
95;THIG;0;RT-;1;27.0;0.17
96;THIG;0;NoTemp;1;32.4;0.04
97;SSSP;0;RT-;1;34.0;1.96
98;SSSP;0;NoTemp;1;33.3;1.83
99;Del;0;Blank;0;26.3;0.12
100;Del;0;Blank;0;27.6;0.80
