Plate;Well;Sample;Construct;Thiamine;Time;OD
MLP060;A1;1;1';No Thiamine;0;0,079
MLP060;A2;2;1';No Thiamine;0;0,077
MLP060;A3;3;1';No Thiamine;0;0,078
MLP060;A4;4;1';No Thiamine;0;0,078
MLP060;A5;5;1';No Thiamine;0;0,079
MLP060;A6;6;1';No Thiamine;0;0,078
MLP060;A7;7;1';No Thiamine;0;0,077
MLP060;A8;8;1';No Thiamine;0;0,08
MLP060;A9;9;1';No Thiamine;0;0,078
MLP060;A10;10;1';No Thiamine;0;0,078
MLP060;A11;11;1';No Thiamine;0;0,08
MLP060;A12;12;1';No Thiamine;0;0,081
MLP060;B1;13;1';No Thiamine;0;0,078
MLP060;B2;14;2';No Thiamine;0;0,084
MLP060;B3;15;2';No Thiamine;0;0,08
MLP060;B4;16;2';No Thiamine;0;0,079
MLP060;B5;17;2';No Thiamine;0;0,085
MLP060;B6;18;3';No Thiamine;0;0,08
MLP060;B7;19;3';No Thiamine;0;0,079
MLP060;B8;20;3';No Thiamine;0;0,086
MLP060;B9;21;3';No Thiamine;0;0,079
MLP060;B10;22;4';No Thiamine;0;0,077
MLP060;B11;23;5';No Thiamine;0;0,183
MLP060;B12;24;5';No Thiamine;0;0,108
MLP060;C1;25;5';No Thiamine;0;0,082
MLP060;C2;26;5';No Thiamine;0;0,076
MLP060;C3;27;5';No Thiamine;0;0,076
MLP060;C4;28;5';No Thiamine;0;0,083
MLP060;C5;29;5';No Thiamine;0;0,077
MLP060;C6;30;5';No Thiamine;0;0,078
MLP060;C7;31;5';No Thiamine;0;0,079
MLP060;C8;32;5';No Thiamine;0;0,079
MLP060;C9;33;5';No Thiamine;0;0,116
MLP060;C10;34;6';No Thiamine;0;0,123
MLP060;C11;35;6';No Thiamine;0;0,142
MLP060;C12;36;6';No Thiamine;0;0,208
MLP060;D1;37;7';No Thiamine;0;0,122
MLP060;D2;38;7';No Thiamine;0;0,168
MLP060;D3;39;7';No Thiamine;0;0,147
MLP060;D4;40;7';No Thiamine;0;0,109
MLP060;D5;41;8';No Thiamine;0;0,09
MLP060;D6;42;8';No Thiamine;0;0,093
MLP060;D7;43;9';No Thiamine;0;0,136
MLP060;D8;44;10';No Thiamine;0;0,08
MLP060;D9;45;10';No Thiamine;0;0,119
MLP060;D10;46;11';No Thiamine;0;0,082
MLP060;D11;47;11';No Thiamine;0;0,079
MLP060;D12;48;11';No Thiamine;0;0,078
MLP060;E1;49;11';No Thiamine;0;0,079
MLP060;E2;50;11';No Thiamine;0;0,179
MLP060;E3;51;11';No Thiamine;0;0,077
MLP060;E4;52;11';No Thiamine;0;0,078
MLP060;E5;53;11';No Thiamine;0;0,078
MLP060;E6;54;11';No Thiamine;0;0,099
MLP060;E7;55;11';No Thiamine;0;0,081
MLP060;E8;56;11';No Thiamine;0;0,078
MLP060;E9;57;11';No Thiamine;0;0,08
MLP060;E10;58;11';No Thiamine;0;0,078
MLP060;E11;59;11';No Thiamine;0;0,081
MLP060;E12;60;11';No Thiamine;0;0,081
MLP060;F1;61;11';No Thiamine;0;0,081
MLP060;F2;62;11';No Thiamine;0;0,08
MLP060;F3;63;11';No Thiamine;0;0,079
MLP060;F4;64;11';No Thiamine;0;0,08
MLP060;F5;65;12';No Thiamine;0;0,079
MLP060;F6;66;12';No Thiamine;0;0,082
MLP060;F7;67;12';No Thiamine;0;0,084
MLP060;F8;68;12';No Thiamine;0;0,078
MLP060;F9;69;12';No Thiamine;0;0,186
MLP060;F10;70;12';No Thiamine;0;0,166
MLP060;F11;71;12';No Thiamine;0;0,179
MLP060;F12;72;12';No Thiamine;0;0,211
MLP060;G1;73;Edge;No Thiamine;0;0,078
MLP060;G2;74;Edge;No Thiamine;0;0,077
MLP060;G3;75;Edge;No Thiamine;0;0,077
MLP060;G4;76;Edge;No Thiamine;0;0,077
MLP060;G5;77;Edge;No Thiamine;0;0,077
MLP060;G6;78;Edge;No Thiamine;0;0,078
MLP060;G7;79;Edge;No Thiamine;0;0,076
MLP060;G8;80;Edge;No Thiamine;0;0,079
MLP060;G9;81;Edge;No Thiamine;0;0,076
