Num;Clone;Thiamine;BioRep;TechRep;Count;Cells;Tube_weight;Weight;Wet_Weight;Area_Thiamine;Area_TPP;Thiamine;TPP;Thiamine_mg;TPP_mg
1;WT;No Thiamine;A;1;25402;5,08E+06;1578,7;1601,2;22,5;1893,0033;7975,0129;3,216199116;106,6600597;0,142942183;4,740447098
2;WT;No Thiamine;B;1;23728;4,75E+06;1570,1;1586,9;16,8;1614,1533;8151,2368;2,694066772;109,4293518;0,160361117;6,513651891
3;WT;10 uM Thiamine;A;1;23576;4,72E+06;1571,3;1589,6;18,3;9349,3993;14778,6133;17,17791877;213,5760713;0,938684086;11,67082357
4;WT;10 uM Thiamine;B;1;25014;5,00E+06;1565,3;1584,7;19,4;11716,3933;7033,0949;21,60999382;91,85817396;1,113917207;4,734957421
5;G9;No Thiamine;A;1;22752;4,55E+06;1570,4;1592,3;21,9;827,6367;4405,0997;1,221354717;50,56022158;0,055769622;2,308685917
6;G9;No Thiamine;B;1;25246;5,05E+06;1580,7;1618,3;37,6;1080,475;4187,2713;1,694781485;47,13713051;0,045073976;1,253647088
7;G9;10 uM Thiamine;A;1;24626;4,93E+06;1576;1597,9;21,9;6162,3433;6606,8247;11,21031963;85,1594987;0,511886741;3,888561585
8;G9;10 uM Thiamine;B;1;23378;4,68E+06;1569,6;1597,1;27,5;2346,8767;4074,0423;4,066053814;45,35777952;0,147856502;1,649373801
9;C3;No Thiamine;A;1;19368;3,87E+06;1565;1589,4;24,4;401,7267;4535,5742;0,423860053;52,61057908;0,017371314;2,156171274
10;C3;No Thiamine;B;1;22546;4,51E+06;1571,4;1589,4;18;1845,0733;6409,5517;3,126452646;82,05942799;0,173691814;4,55885711
11;C3;10 uM Thiamine;A;1;16482;3,30E+06;1573;1593,3;20,3;2148,6583;4406,596;3,694900011;50,58373537;0,182014779;2,491809624
12;C3;10 uM Thiamine;B;1;15104;3,02E+06;1570,4;1590,7;20,3;3017,385;4419,7286;5,321546268;50,79010922;0,262145136;2,501975823
13;D1;No Thiamine;A;1;19368;3,87E+06;1577,7;1587,8;10,1;909,56;3746,3972;1,374751901;40,20896048;0,13611405;3,981085196
14;D1;No Thiamine;B;1;20922;4,18E+06;1568,1;1592,9;24,8;512,9433;3430,3726;0,632107441;35,2427532;0,025488203;1,421078758
15;D1;10 uM Thiamine;A;1;21338;4,27E+06;1579,7;1605,8;26,1;9840,5417;7827,457;18,09755777;104,3412745;0,693393018;3,997749979
16;D1;10 uM Thiamine;B;1;21218;4,24E+06;1572,6;1598;25,4;11677,7117;10642,6447;21,53756451;148,5808863;0,84793561;5,849641193
17;B3;No Thiamine;A;1;19426;3,89E+06;1579,4;1605,4;26;545,5867;2898,2676;0,693230536;26,88092402;0,026662713;1,033881693
18;B3;No Thiamine;B;1;18914;3,78E+06;1574,9;1603;28,1;306,555;2931,1893;0,245655919;27,39827611;0,008742204;0,975027619
19;B3;10 uM Thiamine;A;1;18198;3,64E+06;1580,2;1587,7;7,5;2607,5367;3221,7699;4,554126315;31,96464053;0,607216842;4,26195207
20;B3;10 uM Thiamine;B;1;19292;3,86E+06;1584,2;1625,6;41,4;1328,6667;3324,5588;2,159507733;33,57992928;0,052162023;0,811109403
21;WT;No Thiamine;A;2;25402;5,08E+06;1578,7;1601,2;22,5;1324,3667;5202,7244;2,151456203;63,0945926;0,095620276;2,804204115
22;WT;No Thiamine;B;2;23728;4,75E+06;1570,1;1586,9;16,8;1282,2933;5444,161;2,072675917;66,88867761;0,123373566;3,981468906
23;WT;10 uM Thiamine;A;2;23576;4,72E+06;1571,3;1589,6;18,3;11880,2733;6772,5146;21,91685073;87,76325293;1,197642116;4,795806171
24;WT;10 uM Thiamine;B;2;25014;5,00E+06;1565,3;1584,7;19,4;10493,98;4940,1656;19,32108752;58,96858018;0,995932346;3,039617535
25;G9;No Thiamine;A;2;22752;4,55E+06;1570,4;1592,3;21,9;485,5567;3330,4;0,580827435;33,67172154;0,026521801;1,537521531
26;G9;No Thiamine;B;2;25246;5,05E+06;1580,7;1618,3;37,6;963,5333;2796,4294;1,475814141;25,28057516;0,039250376;0,672355722
27;G9;10 uM Thiamine;A;2;24626;4,93E+06;1576;1597,9;21,9;6243,0167;4700,6305;11,36137644;55,20437652;0,518784312;2,520747786
28;G9;10 uM Thiamine;B;2;23378;4,68E+06;1569,6;1597,1;27,5;2473,8167;2438,931;4,303742463;19,66262277;0,156499726;0,715004464
29;C3;No Thiamine;A;2;19368;3,87E+06;1565;1589,4;24,4;159,41;2667,0302;-0,029865558;23,24711558;-0,001223998;0,952750639
30;C3;No Thiamine;B;2;22546;4,51E+06;1571,4;1589,4;18;1660,8217;5715,9822;2,781450961;71,16024515;0,154525053;3,953346953
31;C3;10 uM Thiamine;A;2;16482;3,30E+06;1573;1593,3;20,3;2626,5117;3465,8258;4,589656031;35,79988685;0,22609143;1,763541224
32;C3;10 uM Thiamine;B;2;15104;3,02E+06;1570,4;1590,7;20,3;2887,5667;3003,1959;5,07846815;28,52983264;0,250170845;1,405410475
33;D1;No Thiamine;A;2;19368;3,87E+06;1577,7;1587,8;10,1;452,0767;2643,8894;0,51813785;22,88346665;0,051300777;2,265689767
34;D1;No Thiamine;B;2;20922;4,18E+06;1568,1;1592,9;24,8;566,98;2522,7339;0,733288395;20,9795537;0,02956808;0,845949746
35;D1;10 uM Thiamine;A;2;21338;4,27E+06;1579,7;1605,8;26,1;8288,8233;6272,2801;15,19204453;79,90225662;0,582070672;3,061389143
36;D1;10 uM Thiamine;B;2;21218;4,24E+06;1572,6;1598;25,4;10248,7467;9311,8748;18,86190072;127,6683398;0,742594517;5,026312589
37;B3;No Thiamine;A;2;19426;3,89E+06;1579,4;1605,4;26;322,18;2283,2608;0,274912931;17,21632435;0,010573574;0,662166321
38;B3;No Thiamine;B;2;18914;3,78E+06;1574,9;1603;28,1;408,54;2272,655;0,436617609;17,04965821;0,015537993;0,606749402
