1	7159+417	0	180743	1	97116at2759_114742_1:0020c4|JAACPG010000033_1|+|109|4.716e-25|1|7159|7575|7159[7159]:7575[7575]:417[417]
2	3257+1044	0	86520	1	801857at2759_1257118_1:003907|JAACPG010000065_1|+|119|4.606e-28|1|3257|4300|3257[3257]:4300[4300]:1044[1044]
6	3594+276	0	105045	1	1421503at2759_1157616_1:0005a7|JAACPG010002449_1|+|40|0.0002784|1|3594|3869|3594[3594]:3869[3869]:276[276]
9	4202+644	0	270687	1	1284731at2759_478820_1:000833|JAACPG010000636_1|+|137|1.757e-33|2|4202|4845|4202[4202]:4342[4342]:141[141]|4672[4672]:4845[4845]:174[174]
19	4149+1780	0	6150	1	836599at2759_556484_1:0001df|JAACPG010000447_1|+|678|2.441e-196|2|4149|5928|4149[4149]:4955[4955]:807[807]|5110[5110]:5928[5928]:819[819]
23	3241+667	0	172433	1	1488235at2759_1380566_1:00268c|JAACPG010001574_1|+|178|7.99e-46|2|3241|3907|3241[3241]:3477[3477]:237[237]|3590[3590]:3907[3907]:318[318]
26	4103+609	0	216496	1	1010730at2759_767744_1:0008ec|JAACPG010001226_1|+|41|0.0001392|1|4103|4711|4103[4103]:4711[4711]:609[609]
28	2661-867	0	238073	-1	779909at2759_126957_0:0035f7|JAACPG010001290_1|-|42|6.96e-05|1|1795|2661|2661[2661]:1795[1795]:867[867]
33	2230+2048	0	68684	1	917326at2759_1519565_1:00130c|JAACPG010002765_1|+|931|1.686e-272|2|2230|4277|2230[2230]:2853[2853]:624[624]|2973[2976]:4277[4277]:1305[1302]
43	3249-1491	0	153900	-1	1173229at2759_1519565_1:003fdd|JAACPG010001361_1|-|318|5.732e-88|1|1759|3249|3249[3249]:1759[1759]:1491[1491]
54	2948+567	0	222211	1	1454155at2759_3711_0:008a26|JAACPG010001971_1|+|56|4.248e-09|1|2948|3514|2948[2948]:3514[3514]:567[567]
61	2230+1212	0	224047	1	355408at2759_568069_0:003262|JAACPG010001652_1|+|74|1.621e-14|1|2230|3441|2230[2230]:3441[3441]:1212[1212]
64	709+2307	0	98960	1	97116at2759_3562_0:00520f|JAACPG010001745_1|+|83|3.165e-17|1|709|3015|709[709]:3015[3015]:2307[2307]
75	3044-249	0	56887	-1	87842at2759_100787_1:004249|JAACPG010001144_1|-|51|1.359e-07|1|2796|3044|3044[3044]:2796[2796]:249[249]
90	10267-411	0	300900	-1	671536at2759_6958_0:000b41|JAACPG010000306_1|-|42|6.96e-05|1|9857|10267|10267[10267]:9857[9857]:411[411]
91	1762+912	0	239098	1	956854at2759_1519565_1:00232e|JAACPG010000338_1|+|319|2.866e-88|1|1762|2673|1762[1762]:2673[2673]:912[912]
91	7440-1191	0	251804	-1	761109at2759_483514_1:00033d|JAACPG010000338_1|-|44|1.74e-05|1|6250|7440|7440[7440]:6250[6250]:1191[1191]
93	8116-1714	0	208618	-1	751335at2759_104421_0:0026de|JAACPG010002076_1|-|254|1.057e-68|2|6403|8116|8116[8116]:7130[7130]:987[987]|7029[7029]:6403[6403]:627[627]
94	334+1479	0	116022	1	543764at2759_1519565_1:0008f3|JAACPG010002108_1|+|567|6.337e-163|1|334|1812|334[334]:1812[1812]:1479[1479]
108	744+273	0	244000	1	179362at2759_684364_1:001516|JAACPG010002418_1|+|40|0.0002784|1|744|1016|744[744]:1016[1016]:273[273]
117	1119-618	0	81899	-1	1395649at2759_556484_1:001ef4|JAACPG010003191_1|-|239|3.465e-64|1|502|1119|1119[1119]:502[502]:618[618]
140	4311+792	0	230031	1	924753at2759_184922_1:000f0a|JAACPG010000896_1|+|39|0.0005568|1|4311|5102|4311[4311]:5102[5102]:792[792]
149	1521+1986	0	2406	1	383503at2759_1519565_1:000769|JAACPG010001456_1|+|512|2.283e-146|2|1521|3506|1521[1521]:3251[3251]:1731[1731]|3342[3342]:3506[3506]:165[165]
166	2173-555	0	157641	-1	1459797at2759_556484_1:0025fb|JAACPG010001714_1|-|152|5.362e-38|2|1619|2173|2173[2173]:2051[2051]:123[123]|1879[1873]:1619[1619]:261[255]
167	1412+216	0	33620	1	1079827at2759_43151_0:00269f|JAACPG010001746_1|+|137|1.757e-33|1|1412|1627|1412[1412]:1627[1627]:216[216]
186	5280-343	0	253075	-1	142542at2759_635003_1:0037e3|JAACPG010000275_1|-|149|4.29e-37|2|4938|5280|5280[5280]:5095[5095]:186[186]|5018[5012]:4938[4938]:81[75]
187	4008-291	0	221181	-1	939345at2759_280463_1:003ce7|JAACPG010002963_1|-|111|1.179e-25|1|3718|4008|4008[4008]:3718[3718]:291[291]
189	11722-1521	0	248561	-1	257318at2759_1519565_1:000a77|JAACPG010003019_1|-|517|7.135e-148|1|10202|11722|11722[11722]:10202[10202]:1521[1521]
193	2717+513	0	265195	1	1312453at2759_101020_0:001461|JAACPG010000307_1|+|42|6.96e-05|1|2717|3229|2717[2717]:3229[3229]:513[513]
