"","Primer","Thiamine","DeltaRelExp","Species"
"13","NMT1","10然",0.380454791451146,"P. tricornutum"
"14","NMT1","10然",2.58254843945923,"P. tricornutum"
"15","NMT1","10然",2.9260081721833,"P. tricornutum"
"16","NMT1","10然",0.511861620994187,"P. tricornutum"
"17","NMT1","0",1.06559780068127,"P. tricornutum"
"18","NMT1","0",2.21602590725208,"P. tricornutum"
"19","NMT1","0",0.220838024931906,"P. tricornutum"
"20","NMT1","0",0.497538267134742,"P. tricornutum"
"21","SSSP","10然",2.10965499103377,"P. tricornutum"
"22","SSSP","10然",1.70100497669529,"P. tricornutum"
"23","SSSP","10然",1.3376128311814,"P. tricornutum"
"24","SSSP","10然",2.63943886961759,"P. tricornutum"
"25","SSSP","10然",0.777202167454292,"P. tricornutum"
"26","SSSP","10然",0.967529786884088,"P. tricornutum"
"27","SSSP","0",1.57818001436416,"P. tricornutum"
"28","SSSP","0",0.642576004561177,"P. tricornutum"
"29","SSSP","0",0.979192727196625,"P. tricornutum"
"30","SSSP","0",0.57262732584598,"P. tricornutum"
"31","SSSP","0",1.30886506121838,"P. tricornutum"
"32","SSSP","0",0.918558866813682,"P. tricornutum"
"33","THIC","10然",1.96542490318332,"P. tricornutum"
"34","THIC","10然",1.34761111436841,"P. tricornutum"
"35","THIC","10然",1.80128768128914,"P. tricornutum"
"36","THIC","10然",2.18545649205919,"P. tricornutum"
"37","THIC","10然",1.3373304760321,"P. tricornutum"
"38","THIC","10然",1.3373304760321,"P. tricornutum"
"39","THIC","0",0.178166944779231,"P. tricornutum"
"40","THIC","0",0.525882672025225,"P. tricornutum"
"41","THIC","0",1.40794436428357,"P. tricornutum"
"42","THIC","0",1.08618079851053,"P. tricornutum"
"43","THIC","0",1.80182522040144,"P. tricornutum"
