"","Primer","Thiamine","DeltaRelExp","Species"
"25","NMT1","10然",1.01417058473863,"T. pseudonana"
"26","NMT1","10然",2.18439834920116,"T. pseudonana"
"27","NMT1","10然",1.04080400684136,"T. pseudonana"
"28","NMT1","10然",0.513353502737318,"T. pseudonana"
"29","NMT1","10然",0.94981619079107,"T. pseudonana"
"30","NMT1","10然",1.14770867352531,"T. pseudonana"
"31","NMT1","0",1.55331681628379,"T. pseudonana"
"32","NMT1","0",0.630124603979475,"T. pseudonana"
"33","NMT1","0",0.0987656543743083,"T. pseudonana"
"34","NMT1","0",1.06246780702116,"T. pseudonana"
"35","NMT1","0",1.28278545969334,"T. pseudonana"
"36","NMT1","0",1.37253965864794,"T. pseudonana"
"49","SSSP","10然",0.576012925943253,"T. pseudonana"
"50","SSSP","10然",0.703244499761323,"T. pseudonana"
"51","SSSP","10然",0.885333329463486,"T. pseudonana"
"52","SSSP","10然",0.673751411463273,"T. pseudonana"
"53","SSSP","10然",0.492000436724316,"T. pseudonana"
"54","SSSP","10然",0.46575859494145,"T. pseudonana"
"55","SSSP","0",0.868545818881273,"T. pseudonana"
"56","SSSP","0",0.918010521562821,"T. pseudonana"
"57","SSSP","0",1.15498172055061,"T. pseudonana"
"58","SSSP","0",0.983983181900734,"T. pseudonana"
"59","SSSP","0",0.979846912692224,"T. pseudonana"
"60","SSSP","0",1.09463184441234,"T. pseudonana"
"61","THIC","10然",1.28718919978715,"T. pseudonana"
"62","THIC","10然",0.941389426135949,"T. pseudonana"
"63","THIC","10然",0.341732236722936,"T. pseudonana"
"64","THIC","10然",0.504437402164915,"T. pseudonana"
"65","THIC","10然",0.621775202275815,"T. pseudonana"
"66","THIC","10然",0.536019072645447,"T. pseudonana"
"67","THIC","0",1.29081513430437,"T. pseudonana"
"68","THIC","0",1.29081513430437,"T. pseudonana"
"69","THIC","0",0.329276340745004,"T. pseudonana"
"70","THIC","0",0.271627877607748,"T. pseudonana"
"71","THIC","0",1.5734820654422,"T. pseudonana"
"72","THIC","0",1.24398344759631,"T. pseudonana"
