Mutant,Replicate,Thiamine,Time,OD
G4,1,0,0,"0,085"
G4,1,0,42,"0,104"
G4,1,0,66,"0,143"
G4,1,0,90,"0,212"
G4,1,0,"114,25","0,314"
G4,1,0,"138,75","0,348"
G4,1,0,"162,33","0,458"
G4,1,0,187,"0,524"
G4,1,0,"210,33","0,541"
G4,1,0,234,"0,597"
G4,1,0,"258,5","0,609"
G4,1,0,282,"0,651"
G4,1,0,306,"0,693"
G4,1,0,"330,33","0,707"
G4,1,0,"354,5","0,744"
G4,1,0,378,"0,724"
G4,1,0,"401,66","0,749"
G4,1,0,"426,33","0,762"
G4,2,0,0,"0,086"
G4,2,0,42,"0,11"
G4,2,0,66,"0,145"
G4,2,0,90,"0,209"
G4,2,0,"114,25","0,313"
G4,2,0,"138,75","0,368"
G4,2,0,"162,33","0,461"
G4,2,0,187,"0,531"
G4,2,0,"210,33","0,557"
G4,2,0,234,"0,616"
G4,2,0,"258,5","0,617"
G4,2,0,282,"0,659"
G4,2,0,306,"0,689"
G4,2,0,"330,33","0,708"
G4,2,0,"354,5","0,725"
G4,2,0,378,"0,705"
G4,2,0,"401,66","0,731"
G4,2,0,"426,33","0,722"
G4,3,0,0,"0,085"
G4,3,0,42,"0,098"
G4,3,0,66,"0,128"
G4,3,0,90,"0,192"
G4,3,0,"114,25","0,282"
G4,3,0,"138,75","0,335"
G4,3,0,"162,33","0,409"
G4,3,0,187,"0,431"
G4,3,0,"210,33","0,494"
G4,3,0,234,"0,538"
G4,3,0,"258,5","0,605"
G4,3,0,282,"0,626"
G4,3,0,306,"0,734"
G4,3,0,"330,33","0,741"
G4,3,0,"354,5","0,725"
G4,3,0,378,"0,737"
G4,3,0,"401,66","0,747"
G4,3,0,"426,33","0,775"
G4,1,1,0,"0,088"
G4,1,1,42,"0,106"
G4,1,1,66,"0,142"
G4,1,1,90,"0,22"
G4,1,1,"114,25","0,282"
G4,1,1,"138,75","0,362"
G4,1,1,"162,33","0,405"
G4,1,1,187,"0,507"
G4,1,1,"210,33","0,522"
G4,1,1,234,"0,575"
G4,1,1,"258,5","0,63"
G4,1,1,282,"0,637"
G4,1,1,306,"0,685"
G4,1,1,"330,33","0,737"
G4,1,1,"354,5","0,735"
