Organism;Thiamine;Biorep;Tech;Thiamine;TPP
Pt;1000;A;1;212,5332179;10,868551
Pt;1000;A;2;182,5974291;9,498387452
Pt;250;B;1;36,57407112;15,81139406
Pt;250;B;2;35,61344931;14,25446134
Pt;10;C;1;13,02845391;12,35420342
Pt;10;C;2;13,45157891;12,75293295
Pt;0;D;1;0,498362218;4,571666455
Pt;0;D;2;0,424002654;4,242772243
Cr;1000;G;1;116,0388693;9,018576721
Cr;1000;G;2;117,981299;8,748511841
Cr;1000;H;1;131,162493;9,727392588
Cr;1000;H;2;120,3486141;9,232173285
Cr;250;I;1;68,5508527;8,200840992
Cr;250;I;2;67,84815775;6,979308468
Cr;250;J;1;66,29691806;7,320568134
Cr;250;J;2;60,73501802;6,908598378
Cr;10;K;1;10,91211937;3,494141553
Cr;10;K;2;11,92968797;4,165652613
Cr;10;L;1;10,74740688;3,998047987
Cr;10;L;2;9,488837806;3,127037176
Cr;0;M;1;0,080754575;0,845935263
Cr;0;M;2;0,069058196;0,878782595
Cr;0;N;1;0,093327308;0,676037404
Cr;0;N;2;0,123251135;0,939872039
