#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QPGO01000007_1:279576-280596 -            307 779909at2759         -            227   3.3e-59  196.2   3.7   1   3   1.2e-37   1.5e-36  122.0   0.0     1   127     3   147     3   157 0.88 -
QPGO01000007_1:279576-280596 -            307 779909at2759         -            227   3.3e-59  196.2   3.7   2   3     0.062      0.81    5.2   0.1    68    96   166   194   153   210 0.85 -
QPGO01000007_1:279576-280596 -            307 779909at2759         -            227   3.3e-59  196.2   3.7   3   3   1.5e-17   1.9e-16   56.3   7.2   156   227   215   305   211   305 0.76 -
QPGO01000038_1:408483-410153 -            557 779909at2759         -            227   6.1e-42  139.7   9.0   1  10   0.00036    0.0046   12.5   0.0    64    97     4    37     1    44 0.92 -
QPGO01000038_1:408483-410153 -            557 779909at2759         -            227   6.1e-42  139.7   9.0   2  10   2.4e-08   3.1e-07   26.2   0.0    63   100    45    82    39    86 0.88 -
QPGO01000038_1:408483-410153 -            557 779909at2759         -            227   6.1e-42  139.7   9.0   3  10   0.00025    0.0033   13.0   0.0    58    95    82   119    78   126 0.91 -
QPGO01000038_1:408483-410153 -            557 779909at2759         -            227   6.1e-42  139.7   9.0   4  10    0.0013     0.016   10.7   0.0    63   106   129   172   120   186 0.84 -
QPGO01000038_1:408483-410153 -            557 779909at2759         -            227   6.1e-42  139.7   9.0   5  10   1.6e-07     2e-06   23.5   0.1     3    97   147   247   145   260 0.77 -
QPGO01000038_1:408483-410153 -            557 779909at2759         -            227   6.1e-42  139.7   9.0   6  10   0.00091     0.012   11.2   0.0     3    47   231   275   229   294 0.86 -
QPGO01000038_1:408483-410153 -            557 779909at2759         -            227   6.1e-42  139.7   9.0   7  10   5.3e-08   6.9e-07   25.0   0.1    60    96   309   345   301   351 0.89 -
QPGO01000038_1:408483-410153 -            557 779909at2759         -            227   6.1e-42  139.7   9.0   8  10     0.001     0.013   11.0   0.0    55    99   348   393   345   399 0.81 -
