#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WXVQ01000157_1:122827-123913 -            329 1014314at2759        -            222   3.4e-31  103.9   0.2   1   4   1.6e-08   1.7e-07   26.4   0.0   138   198     4    65     1    70 0.89 -
WXVQ01000157_1:122827-123913 -            329 1014314at2759        -            222   3.4e-31  103.9   0.2   2   4   6.3e-10   6.8e-09   31.0   0.0   120   184    71   135    67   145 0.89 -
WXVQ01000157_1:122827-123913 -            329 1014314at2759        -            222   3.4e-31  103.9   0.2   3   4    0.0026     0.028    9.3   0.0     2    32   180   210   179   216 0.90 -
WXVQ01000157_1:122827-123913 -            329 1014314at2759        -            222   3.4e-31  103.9   0.2   4   4   2.5e-10   2.7e-09   32.3   0.1   124   205   225   308   214   325 0.85 -
WXVQ01000416_1:1966-3378     -            471 1014314at2759        -            222   9.8e-30   99.1   5.2   1   5   1.1e-07   1.2e-06   23.6   0.0   121   184    87   150    80   158 0.90 -
WXVQ01000416_1:1966-3378     -            471 1014314at2759        -            222   9.8e-30   99.1   5.2   2   5   1.8e-06     2e-05   19.7   0.3   116   173   164   223   161   224 0.88 -
WXVQ01000416_1:1966-3378     -            471 1014314at2759        -            222   9.8e-30   99.1   5.2   3   5   9.2e-11   9.9e-10   33.7   0.1   127   195   219   289   218   296 0.88 -
WXVQ01000416_1:1966-3378     -            471 1014314at2759        -            222   9.8e-30   99.1   5.2   4   5   1.5e-08   1.7e-07   26.4   0.1     2    62   261   330   261   341 0.82 -
WXVQ01000416_1:1966-3378     -            471 1014314at2759        -            222   9.8e-30   99.1   5.2   5   5    0.0011     0.012   10.5   0.0     3    30   351   378   349   399 0.85 -
WXVQ01000012_1:197277-200192 -            972 1014314at2759        -            222     1e-27   92.5  10.6   1   9   0.00013    0.0014   13.6   0.0   123   162   141   181   128   186 0.72 -
WXVQ01000012_1:197277-200192 -            972 1014314at2759        -            222     1e-27   92.5  10.6   2   9         3        32   -0.6   0.0    35    72   196   235   192   243 0.67 -
WXVQ01000012_1:197277-200192 -            972 1014314at2759        -            222     1e-27   92.5  10.6   3   9       2.6        28   -0.5   0.1   132   153   246   268   232   277 0.74 -
WXVQ01000012_1:197277-200192 -            972 1014314at2759        -            222     1e-27   92.5  10.6   4   9         2        21   -0.1   0.0    45    69   322   349   306   354 0.64 -
WXVQ01000012_1:197277-200192 -            972 1014314at2759        -            222     1e-27   92.5  10.6   5   9   3.8e-08   4.1e-07   25.2   0.0   105   176   435   512   394   520 0.79 -
