ThiC	WXVQ01000039_1	27.848	79	48	2	196	273	112867	113079	1.4	32.0
Thi5	WXVQ01000079_1	39.286	28	17	0	313	340	34795	34878	2.6	29.6
SSSP	WXVQ01000043_1	61.111	18	7	0	462	479	20579	20632	5.4	29.6
TH1	WXVQ01000047_1	35.616	73	38	4	372	443	90925	90731	0.99	32.3
THIO	WXVQ01000152_1	27.273	88	57	1	600	680	98165	97902	1.3	32.3
THIS	WXVQ01000985_1	34.615	26	17	0	1	26	40302	40379	3.3	25.0
THIF	WXVQ01000107_1	62.573	171	64	0	105	275	6468	5956	5.31e-112	200
DXS	WXVQ01000081_1	29.921	127	82	5	423	545	110818	111189	5.90e-05	46.6
THIG	WXVQ01000048_1	35.714	56	34	1	181	234	65956	66123	8.59e-04	40.4
TPK1	WXVQ01000181_1	47.490	259	114	6	4	246	6384	7142	5.23e-68	227
FOLR	WXVQ01000253_1	57.854	261	105	4	12	271	6439	5669	2.18e-101	324
Thi4	WXVQ01000016_1	56.000	25	11	0	86	110	91557	91483	0.29	33.1
ThiM	WXVQ01000184_1	35.849	53	29	2	154	203	43978	43826	3.5	28.9
TENA	WXVQ01000292_1	26.087	46	29	1	143	183	15118	15255	4.5	28.1
