#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WKLE02000680_1:24985-25842 -            286 937275at2759         -             94   5.4e-12   40.4  16.3   1   7    0.0075     0.062    8.2   0.1    74    90    19    35    16    39 0.88 -
WKLE02000680_1:24985-25842 -            286 937275at2759         -             94   5.4e-12   40.4  16.3   2   7     0.011     0.088    7.7   0.0    74    90    61    77    59    81 0.87 -
WKLE02000680_1:24985-25842 -            286 937275at2759         -             94   5.4e-12   40.4  16.3   3   7     0.051      0.42    5.5   0.1    74    90   103   119   100   123 0.88 -
WKLE02000680_1:24985-25842 -            286 937275at2759         -             94   5.4e-12   40.4  16.3   4   7     0.084      0.69    4.8   0.0    74    90   145   161   142   165 0.87 -
WKLE02000680_1:24985-25842 -            286 937275at2759         -             94   5.4e-12   40.4  16.3   5   7     0.023      0.19    6.6   0.0    74    90   187   203   185   207 0.87 -
WKLE02000680_1:24985-25842 -            286 937275at2759         -             94   5.4e-12   40.4  16.3   6   7     0.011     0.088    7.7   0.0    74    90   229   245   227   249 0.87 -
WKLE02000680_1:24985-25842 -            286 937275at2759         -             94   5.4e-12   40.4  16.3   7   7     0.092      0.76    4.7   0.2    73    88   270   285   250   286 0.77 -
WKLE02000682_1:192-1049    -            286 937275at2759         -             94   7.2e-12   40.0  15.7   1   7    0.0004    0.0033   12.2   0.1    74    91    19    36     3    39 0.90 -
WKLE02000682_1:192-1049    -            286 937275at2759         -             94   7.2e-12   40.0  15.7   2   7      0.12         1    4.3   0.0    74    90    61    77    58    81 0.86 -
WKLE02000682_1:192-1049    -            286 937275at2759         -             94   7.2e-12   40.0  15.7   3   7     0.096      0.79    4.6   0.0    73    90   102   119    83   123 0.85 -
WKLE02000682_1:192-1049    -            286 937275at2759         -             94   7.2e-12   40.0  15.7   4   7     0.035      0.28    6.0   0.0    73    90   144   161   126   165 0.87 -
WKLE02000682_1:192-1049    -            286 937275at2759         -             94   7.2e-12   40.0  15.7   5   7     0.026      0.21    6.4   0.2    73    90   186   203   166   207 0.81 -
WKLE02000682_1:192-1049    -            286 937275at2759         -             94   7.2e-12   40.0  15.7   6   7     0.029      0.24    6.3   0.0    74    90   229   245   225   249 0.87 -
WKLE02000682_1:192-1049    -            286 937275at2759         -             94   7.2e-12   40.0  15.7   7   7      0.12         1    4.3   0.0    74    88   271   285   269   286 0.90 -
WKLE02000365_1:2353-3138   -            262 937275at2759         -             94   1.3e-11   39.2  14.7   1   6     0.016      0.13    7.1   0.0    74    90    11    27     8    31 0.88 -
WKLE02000365_1:2353-3138   -            262 937275at2759         -             94   1.3e-11   39.2  14.7   2   6    0.0096     0.079    7.8   0.1    74    93    52    71    29    72 0.74 -
WKLE02000365_1:2353-3138   -            262 937275at2759         -             94   1.3e-11   39.2  14.7   3   6     0.012       0.1    7.5   0.3    74    90    93   109    73   113 0.80 -
WKLE02000365_1:2353-3138   -            262 937275at2759         -             94   1.3e-11   39.2  14.7   4   6     0.047      0.38    5.6   0.1    73    91   133   151   115   154 0.84 -
WKLE02000365_1:2353-3138   -            262 937275at2759         -             94   1.3e-11   39.2  14.7   5   6     0.086       0.7    4.8   0.1    73    88   174   189   160   191 0.88 -
WKLE02000365_1:2353-3138   -            262 937275at2759         -             94   1.3e-11   39.2  14.7   6   6    0.0041     0.034    9.0   0.0    75    90   218   233   199   237 0.84 -
WKLE02001794_1:13297-14142 -            282 937275at2759         -             94   1.5e-11   39.0   8.1   1   6    0.0046     0.038    8.8   0.1    74    91    20    37     8    40 0.83 -
WKLE02001794_1:13297-14142 -            282 937275at2759         -             94   1.5e-11   39.0   8.1   2   6     0.034      0.28    6.1   0.0    75    91   103   119    93   122 0.88 -
WKLE02001794_1:13297-14142 -            282 937275at2759         -             94   1.5e-11   39.0   8.1   3   6     0.045      0.37    5.7   0.1    73    90   142   159   123   162 0.90 -
WKLE02001794_1:13297-14142 -            282 937275at2759         -             94   1.5e-11   39.0   8.1   4   6     0.024       0.2    6.6   0.0    75    91   185   201   166   204 0.85 -
WKLE02001794_1:13297-14142 -            282 937275at2759         -             94   1.5e-11   39.0   8.1   5   6     0.032      0.27    6.1   0.0    75    91   227   243   222   246 0.86 -
WKLE02001794_1:13297-14142 -            282 937275at2759         -             94   1.5e-11   39.0   8.1   6   6      0.13         1    4.2   0.0    74    89   267   282   261   282 0.89 -
WKLE02000687_1:18448-19377 -            310 937275at2759         -             94   5.7e-11   37.1  22.8   1   7      0.24       1.9    3.4   0.0    73    91    12    30    11    33 0.87 -
WKLE02000687_1:18448-19377 -            310 937275at2759         -             94   5.7e-11   37.1  22.8   2   7    0.0057     0.047    8.5   0.1    74    90    54    70    33    74 0.71 -
WKLE02000687_1:18448-19377 -            310 937275at2759         -             94   5.7e-11   37.1  22.8   3   7     0.065      0.54    5.1   0.2    74    89    96   111    77   116 0.89 -
WKLE02000687_1:18448-19377 -            310 937275at2759         -             94   5.7e-11   37.1  22.8   4   7     0.039      0.32    5.9   0.0    74    91   138   155   136   158 0.87 -
WKLE02000687_1:18448-19377 -            310 937275at2759         -             94   5.7e-11   37.1  22.8   5   7    0.0084     0.069    8.0   0.1    74    91   180   197   177   200 0.87 -
WKLE02000687_1:18448-19377 -            310 937275at2759         -             94   5.7e-11   37.1  22.8   6   7    0.0033     0.027    9.3   0.2    73    90   221   238   201   242 0.76 -
WKLE02000687_1:18448-19377 -            310 937275at2759         -             94   5.7e-11   37.1  22.8   7   7     0.028      0.23    6.3   1.0    74    90   264   280   246   282 0.84 -
WKLE02002445_1:61638-62993 -            452 937275at2759         -             94   8.2e-11   36.6   0.1   1   1   5.3e-10   4.4e-09   31.1   0.1    30    89   190   275   186   279 0.76 -
WKLE02005232_1:16229-16999 -            257 937275at2759         -             94   1.4e-10   35.9   7.4   1   6     0.001    0.0083   11.0   0.0    75    91    24    40     6    43 0.88 -
WKLE02005232_1:16229-16999 -            257 937275at2759         -             94   1.4e-10   35.9   7.4   2   6       7.9        65   -1.5   0.0    66    76    48    58    44    69 0.83 -
WKLE02005232_1:16229-16999 -            257 937275at2759         -             94   1.4e-10   35.9   7.4   3   6     0.097       0.8    4.6   0.2    73    90    71    88    67    92 0.86 -
WKLE02005232_1:16229-16999 -            257 937275at2759         -             94   1.4e-10   35.9   7.4   4   6      0.26       2.1    3.2   0.1    73    89   112   128   102   131 0.86 -
WKLE02005232_1:16229-16999 -            257 937275at2759         -             94   1.4e-10   35.9   7.4   5   6     0.021      0.17    6.7   0.0    74    91   154   171   147   174 0.87 -
WKLE02005232_1:16229-16999 -            257 937275at2759         -             94   1.4e-10   35.9   7.4   6   6    0.0041     0.034    9.0   0.0    74    92   206   224   200   226 0.85 -
WKLE02002997_1:24777-25577 -            267 937275at2759         -             94   3.3e-10   34.7  11.3   1   6     0.013       0.1    7.4   0.0    73    90    45    62    29    66 0.89 -
WKLE02002997_1:24777-25577 -            267 937275at2759         -             94   3.3e-10   34.7  11.3   2   6       1.1         9    1.2   0.0    72    88    85   101    82   106 0.89 -
WKLE02002997_1:24777-25577 -            267 937275at2759         -             94   3.3e-10   34.7  11.3   3   6    0.0016     0.013   10.3   0.0    74    91   128   145   120   148 0.88 -
WKLE02002997_1:24777-25577 -            267 937275at2759         -             94   3.3e-10   34.7  11.3   4   6     0.045      0.37    5.7   0.0    75    91   170   186   152   189 0.82 -
WKLE02002997_1:24777-25577 -            267 937275at2759         -             94   3.3e-10   34.7  11.3   5   6     0.049      0.41    5.5   0.1    75    90   211   226   195   230 0.89 -
WKLE02002997_1:24777-25577 -            267 937275at2759         -             94   3.3e-10   34.7  11.3   6   6     0.026      0.21    6.4   0.1    73    89   251   267   240   267 0.87 -
WKLE02000881_1:1712-2410   -            233 937275at2759         -             94   9.3e-08   26.8   8.2   1   5    0.0024      0.02    9.7   0.1    74    91    16    33    11    36 0.87 -
WKLE02000881_1:1712-2410   -            233 937275at2759         -             94   9.3e-08   26.8   8.2   2   5      0.57       4.7    2.1   0.0    75    89    96   110    93   115 0.86 -
WKLE02000881_1:1712-2410   -            233 937275at2759         -             94   9.3e-08   26.8   8.2   3   5     0.056      0.46    5.4   0.1    74    88   136   150   116   156 0.82 -
WKLE02000881_1:1712-2410   -            233 937275at2759         -             94   9.3e-08   26.8   8.2   4   5    0.0093     0.077    7.9   0.1    73    91   178   196   173   199 0.88 -
WKLE02000881_1:1712-2410   -            233 937275at2759         -             94   9.3e-08   26.8   8.2   5   5      0.54       4.4    2.2   0.0    73    87   219   233   202   233 0.79 -
WKLE02002750_1:61448-62158 -            237 937275at2759         -             94   1.4e-07   26.3   9.5   1   5     0.031      0.25    6.2   0.0    74    88    17    31     1    35 0.90 -
WKLE02002750_1:61448-62158 -            237 937275at2759         -             94   1.4e-07   26.3   9.5   2   5      0.04      0.33    5.8   0.1    74    90    59    75    40    79 0.90 -
WKLE02002750_1:61448-62158 -            237 937275at2759         -             94   1.4e-07   26.3   9.5   3   5      0.31       2.5    3.0   0.2    75    91   102   118    80   121 0.80 -
WKLE02002750_1:61448-62158 -            237 937275at2759         -             94   1.4e-07   26.3   9.5   4   5    0.0078     0.064    8.1   0.0    73    91   142   160   138   163 0.87 -
WKLE02002750_1:61448-62158 -            237 937275at2759         -             94   1.4e-07   26.3   9.5   5   5     0.073       0.6    5.0   0.0    74    90   185   201   166   205 0.87 -
WKLE02000384_1:3-452       -            150 937275at2759         -             94   3.3e-07   25.1   6.5   1   3     0.021      0.17    6.7   0.1    77    88     1    12     1    18 0.90 -
WKLE02000384_1:3-452       -            150 937275at2759         -             94   3.3e-07   25.1   6.5   2   3      0.06      0.49    5.3   0.0    74    88    40    54    19    57 0.88 -
WKLE02000384_1:3-452       -            150 937275at2759         -             94   3.3e-07   25.1   6.5   3   3     0.004     0.033    9.0   1.2    35    91    66   141    62   144 0.55 -
