#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold02781:1199-2662    -            488 12249at33634         -            359  2.3e-150  494.8   5.8   1   1  3.6e-150  1.3e-148  489.0   5.8     9   338    37   439    31   481 0.85 -
scaffold03720:24-1487      -            488 12249at33634         -            359  2.4e-150  494.7   4.9   1   1  3.8e-150  1.4e-148  488.9   4.9     9   338    37   439    31   481 0.86 -
scaffold02726:1075-2694    -            540 12249at33634         -            359  2.8e-149  491.3   5.7   1   1  3.5e-149  1.3e-147  485.7   5.7     9   338    89   491    82   533 0.85 -
scaffold00020:92444-104721 -            366 12249at33634         -            359   1.1e-72  239.3   0.0   1   1   3.8e-74   1.4e-72  238.9   0.0    10   305    53   365    47   366 0.88 -
scaffold00649:14746-15810  -            355 12249at33634         -            359   4.8e-66  217.4   0.0   1   1   3.3e-67   1.2e-65  216.1   0.0     9   294    37   332    34   353 0.84 -
scaffold00086:39066-40525  -            298 12249at33634         -            359   2.1e-41  136.4   0.6   1   2   6.5e-30   2.4e-28   93.4   0.7     9   146    30   179    25   180 0.76 -
scaffold00086:39066-40525  -            298 12249at33634         -            359   2.1e-41  136.4   0.6   2   2   2.1e-14   7.9e-13   42.4   0.0   243   306   179   248   178   260 0.83 -
scaffold03548:1018-2124    -            369 12249at33634         -            359   1.7e-39  130.1   0.0   1   1   5.9e-41   2.2e-39  129.7   0.0     3   294    11   316     9   355 0.78 -
scaffold02237:1851-3029    -            393 12249at33634         -            359   7.5e-32  104.9   0.0   1   1   3.8e-33   1.4e-31  104.1   0.0     9   286    30   330    27   363 0.79 -
scaffold01467:4126-5271    -            382 12249at33634         -            359     4e-31  102.6   0.0   1   1   1.6e-32     6e-31  102.0   0.0     9   288    30   333    27   369 0.77 -
scaffold01628:2102-2812    -            237 12249at33634         -            359   1.7e-30  100.5   0.0   1   1   1.1e-31   3.9e-30   99.3   0.0    93   305     4   206     1   217 0.89 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/12249at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Synedra_acus_sac1/run_stramenopiles_odb10/metaeuk_output/initial_results/sac.scaffolds.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Synedra_acus_sac1/run_stramenopiles_odb10/hmmer_output/initial_run_results/12249at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/12249at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Synedra_acus_sac1/run_stramenopiles_odb10/metaeuk_output/initial_results/sac.scaffolds.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 15:15:39 2021
# [ok]
