#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_101:217587-218423 -            279 261328at2759         -            450   3.9e-35  117.7   6.5   1   3   3.1e-11   5.8e-10   34.7   0.1   155   227     1    74     1    81 0.89 -
scaffold_101:217587-218423 -            279 261328at2759         -            450   3.9e-35  117.7   6.5   2   3   1.7e-11   3.2e-10   35.5   0.1    55   129    79   161    73   167 0.80 -
scaffold_101:217587-218423 -            279 261328at2759         -            450   3.9e-35  117.7   6.5   3   3   1.1e-15   2.1e-14   49.3   0.6   133   220   185   278   180   279 0.87 -
scaffold_1234:6988-8235    -            416 261328at2759         -            450   7.6e-32  106.8   8.5   1   4   1.8e-07   3.4e-06   22.3   0.0   153   220     5    73     1    79 0.88 -
scaffold_1234:6988-8235    -            416 261328at2759         -            450   7.6e-32  106.8   8.5   2   4   3.5e-08   6.6e-07   24.6   0.4   169   225   127   183   108   187 0.91 -
scaffold_1234:6988-8235    -            416 261328at2759         -            450   7.6e-32  106.8   8.5   3   4   2.2e-10   4.2e-09   31.8   0.0   133   205   274   351   270   353 0.88 -
scaffold_1234:6988-8235    -            416 261328at2759         -            450   7.6e-32  106.8   8.5   4   4   8.9e-11   1.7e-09   33.2   0.1   151   223   339   413   334   415 0.89 -
scaffold_65:261893-263107  -            405 261328at2759         -            450   1.1e-30  103.0   4.9   1   3     2e-13   3.8e-12   41.9   0.0   106   205     5   113     1   117 0.82 -
scaffold_65:261893-263107  -            405 261328at2759         -            450   1.1e-30  103.0   4.9   2   3   2.7e-11   5.1e-10   34.9   0.2    58   191    81   221    81   226 0.82 -
scaffold_65:261893-263107  -            405 261328at2759         -            450   1.1e-30  103.0   4.9   3   3   2.3e-13   4.4e-12   41.7   0.8    57   221   122   295   119   321 0.85 -
scaffold_26:256899-257426  -            176 261328at2759         -            450   2.9e-30  101.6   3.8   1   2   2.7e-05    0.0005   15.1   0.0   161   190     2    31     1    37 0.86 -
scaffold_26:256899-257426  -            176 261328at2759         -            450   2.9e-30  101.6   3.8   2   2   6.7e-26   1.3e-24   83.0   1.8    74   203    40   176    37   176 0.89 -
scaffold_37:44342-45199    -            286 261328at2759         -            450     1e-27   93.2   4.4   1   3     8e-15   1.5e-13   46.5   0.0   134   205    30   105    14   107 0.89 -
scaffold_37:44342-45199    -            286 261328at2759         -            450     1e-27   93.2   4.4   2   3   2.6e-15   4.8e-14   48.1   0.2   134   196    72   138    71   143 0.90 -
scaffold_37:44342-45199    -            286 261328at2759         -            450     1e-27   93.2   4.4   3   3   0.00077     0.015   10.3   0.0   161   208   146   198   141   204 0.82 -
scaffold_192:21429-22395   -            266 261328at2759         -            450     9e-26   86.8   6.8   1   3   1.3e-05   0.00025   16.1   0.0   161   208     3    49     1    54 0.90 -
scaffold_192:21429-22395   -            266 261328at2759         -            450     9e-26   86.8   6.8   2   3   3.9e-14   7.3e-13   44.2   0.8    91   208    52   178    49   183 0.88 -
scaffold_192:21429-22395   -            266 261328at2759         -            450     9e-26   86.8   6.8   3   3   1.4e-08   2.7e-07   25.9   0.2    60   109   184   238   182   261 0.45 -
scaffold_56:336080-340958  -            293 261328at2759         -            450     8e-24   80.4   7.9   1   4   1.3e-08   2.5e-07   26.0   0.0   134   203    25    97    15   116 0.83 -
scaffold_56:336080-340958  -            293 261328at2759         -            450     8e-24   80.4   7.9   2   4     0.087       1.6    3.5   0.0   169   187   120   138   114   142 0.86 -
scaffold_56:336080-340958  -            293 261328at2759         -            450     8e-24   80.4   7.9   3   4   8.1e-14   1.5e-12   43.2   2.4   110   204   150   250   144   254 0.82 -
scaffold_56:336080-340958  -            293 261328at2759         -            450     8e-24   80.4   7.9   4   4   5.5e-05     0.001   14.1   0.1   153   188   241   276   240   282 0.92 -
scaffold_3309:3408-4603    -            334 261328at2759         -            450   1.2e-21   73.2   0.0   1   4   1.5e-08   2.8e-07   25.9   0.0   154   212     4    62     2    65 0.96 -
scaffold_3309:3408-4603    -            334 261328at2759         -            450   1.2e-21   73.2   0.0   2   4   0.00047    0.0089   11.0   0.0   171   199    63    90    60   120 0.73 -
scaffold_3309:3408-4603    -            334 261328at2759         -            450   1.2e-21   73.2   0.0   3   4   6.2e-07   1.2e-05   20.5   0.0   140   222   167   253   144   265 0.79 -
scaffold_3309:3408-4603    -            334 261328at2759         -            450   1.2e-21   73.2   0.0   4   4   0.00022    0.0041   12.1   0.0   145   185   273   313   253   319 0.87 -
scaffold_34:240669-241583  -            305 261328at2759         -            450   3.1e-20   68.5   0.8   1   3    0.0012     0.023    9.7   0.1   134   194     5    77     2    86 0.71 -
scaffold_34:240669-241583  -            305 261328at2759         -            450   3.1e-20   68.5   0.8   2   3   4.1e-14   7.8e-13   44.1   0.0    93   206   117   236    92   243 0.86 -
scaffold_34:240669-241583  -            305 261328at2759         -            450   3.1e-20   68.5   0.8   3   3   0.00027    0.0052   11.8   0.0    57   107   251   305   246   305 0.66 -
scaffold_354:39373-40092   -            240 261328at2759         -            450   7.2e-20   67.3   0.0   1   2   5.7e-08   1.1e-06   23.9   0.0   133   204    22    99     8   102 0.79 -
scaffold_354:39373-40092   -            240 261328at2759         -            450   7.2e-20   67.3   0.0   2   2   5.2e-14   9.8e-13   43.8   0.0    80   207    94   229    90   240 0.85 -
scaffold_15:72356-73444    -            363 261328at2759         -            450   1.9e-19   66.0   4.1   1   3    0.0019     0.035    9.0   0.0   123   190    99   172    49   189 0.73 -
