#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAACPG010002894_1:1426-2229  -            268 1001705at2759        -            270   3.3e-16   54.4   0.2   1   3   5.1e-11   8.9e-10   33.3   0.1    20    85    26   100    20   134 0.79 -
JAACPG010002894_1:1426-2229  -            268 1001705at2759        -            270   3.3e-16   54.4   0.2   2   3   0.00039    0.0068   10.8   0.0    47    90   140   184   128   205 0.65 -
JAACPG010002894_1:1426-2229  -            268 1001705at2759        -            270   3.3e-16   54.4   0.2   3   3    0.0045     0.079    7.3   0.0    23    53   203   233   185   244 0.91 -
JAACPG010000755_1:9672-10595 -            308 1001705at2759        -            270   8.7e-15   49.8   6.7   1   4   7.6e-08   1.3e-06   22.9   0.1    29   173     9   166     2   183 0.60 -
JAACPG010000755_1:9672-10595 -            308 1001705at2759        -            270   8.7e-15   49.8   6.7   2   4   6.5e-06   0.00012   16.6   0.0    50    85   182   218   173   233 0.85 -
JAACPG010000755_1:9672-10595 -            308 1001705at2759        -            270   8.7e-15   49.8   6.7   3   4      0.71        12    0.1   0.0    29    46   237   254   231   263 0.67 -
JAACPG010000755_1:9672-10595 -            308 1001705at2759        -            270   8.7e-15   49.8   6.7   4   4    0.0024     0.043    8.1   0.2    48    77   277   307   272   308 0.85 -
JAACPG010003249_1:1921-5362  -            264 1001705at2759        -            270   1.8e-10   35.6   3.7   1   4         2        36   -1.4   0.0    23    44    22    46    10    51 0.73 -
JAACPG010003249_1:1921-5362  -            264 1001705at2759        -            270   1.8e-10   35.6   3.7   2   4    0.0052     0.092    7.0   0.0    50    73    73    96    66   104 0.84 -
JAACPG010003249_1:1921-5362  -            264 1001705at2759        -            270   1.8e-10   35.6   3.7   3   4   1.5e-08   2.6e-07   25.2   0.4    27    81    84   146    76   186 0.72 -
JAACPG010003249_1:1921-5362  -            264 1001705at2759        -            270   1.8e-10   35.6   3.7   4   4    0.0035     0.061    7.6   0.1    51    78   200   228   192   250 0.85 -
JAACPG010002008_1:1760-2521  -            254 1001705at2759        -            270   9.4e-10   33.3   1.4   1   4     0.032      0.57    4.5   0.0    57    84    17    45     4    51 0.82 -
JAACPG010002008_1:1760-2521  -            254 1001705at2759        -            270   9.4e-10   33.3   1.4   2   4   9.4e-05    0.0017   12.8   0.0   143   192    49    98    42   101 0.89 -
JAACPG010002008_1:1760-2521  -            254 1001705at2759        -            270   9.4e-10   33.3   1.4   3   4   0.00017    0.0029   12.0   0.1    26    81   104   169    95   224 0.75 -
JAACPG010002008_1:1760-2521  -            254 1001705at2759        -            270   9.4e-10   33.3   1.4   4   4      0.22       3.9    1.7   0.0    26    43   237   254   213   254 0.76 -
JAACPG010002132_1:808-1470   -            221 1001705at2759        -            270   4.6e-09   31.0   2.7   1   3    0.0017      0.03    8.6   0.1    51    81    19    50     9    76 0.83 -
JAACPG010002132_1:808-1470   -            221 1001705at2759        -            270   4.6e-09   31.0   2.7   2   3   1.5e-06   2.6e-05   18.7   0.0    21    80   112   178   100   188 0.80 -
JAACPG010002132_1:808-1470   -            221 1001705at2759        -            270   4.6e-09   31.0   2.7   3   3      0.19       3.3    1.9   0.0    49    73   194   218   188   220 0.85 -
JAACPG010002346_1:1846-2622  -            259 1001705at2759        -            270   9.1e-09   30.0   0.6   1   3      0.26       4.6    1.5   0.0    37    59    37    58     5    64 0.42 -
JAACPG010002346_1:1846-2622  -            259 1001705at2759        -            270   9.1e-09   30.0   0.6   2   3   0.00058      0.01   10.2   0.0    26    84    67   132    58   146 0.72 -
JAACPG010002346_1:1846-2622  -            259 1001705at2759        -            270   9.1e-09   30.0   0.6   3   3   1.6e-05   0.00029   15.3   0.0    11    85   149   232   139   255 0.73 -
JAACPG010000484_1:1701-2312  -            204 1001705at2759        -            270   1.8e-08   29.0   7.7   1   4   0.00042    0.0074   10.6   0.6    51   110     6    70     1    72 0.73 -
JAACPG010000484_1:1701-2312  -            204 1001705at2759        -            270   1.8e-08   29.0   7.7   2   4    0.0016     0.029    8.7   0.1    51    82    48    80    43    87 0.87 -
JAACPG010000484_1:1701-2312  -            204 1001705at2759        -            270   1.8e-08   29.0   7.7   3   4   3.5e-05   0.00062   14.2   0.1    51    83    90   123    83   142 0.80 -
JAACPG010000484_1:1701-2312  -            204 1001705at2759        -            270   1.8e-08   29.0   7.7   4   4     0.065       1.2    3.4   0.1    28    70   144   198   129   204 0.62 -
JAACPG010001556_1:2326-5544  -           1073 1001705at2759        -            270   7.3e-08   27.1  10.3   1   7      0.12       2.2    2.5   0.0    29    69   104   144    95   186 0.84 -
JAACPG010001556_1:2326-5544  -           1073 1001705at2759        -            270   7.3e-08   27.1  10.3   2   7   0.00011     0.002   12.5   0.3    29    88   195   266   191   287 0.67 -
JAACPG010001556_1:2326-5544  -           1073 1001705at2759        -            270   7.3e-08   27.1  10.3   3   7     0.079       1.4    3.2   0.1    30    84   290   311   274   316 0.62 -
JAACPG010001556_1:2326-5544  -           1073 1001705at2759        -            270   7.3e-08   27.1  10.3   4   7       4.8        84   -2.7   0.0    51    84   378   413   371   419 0.72 -
JAACPG010001556_1:2326-5544  -           1073 1001705at2759        -            270   7.3e-08   27.1  10.3   5   7     0.087       1.5    3.0   0.0    52   138   561   644   557   656 0.71 -
JAACPG010001556_1:2326-5544  -           1073 1001705at2759        -            270   7.3e-08   27.1  10.3   6   7      0.17         3    2.1   0.1    23    76   789   851   771   868 0.70 -
JAACPG010001556_1:2326-5544  -           1073 1001705at2759        -            270   7.3e-08   27.1  10.3   7   7       0.1       1.8    2.8   0.0   186   217   877   908   869   921 0.81 -
JAACPG010002029_1:2625-3281  -            219 1001705at2759        -            270   7.3e-08   27.0   0.4   1   3       2.5        44   -1.7   0.0    31    46     2    17     1    23 0.82 -
JAACPG010002029_1:2625-3281  -            219 1001705at2759        -            270   7.3e-08   27.0   0.4   2   3   9.7e-07   1.7e-05   19.3   0.1    20    71    44   104    28   136 0.81 -
