iscS	BDSP01000278_1	82.878	403	64	3	2	399	128392	129600	0.0	667
thiF	BDSP01000111_1	44.262	244	126	6	8	244	478385	477663	1.21e-42	155
thiI	BDSP01000060_1	33.784	74	43	3	86	154	284780	284562	1.2	32.3
dxs	BDSP01000223_1	78.331	743	130	7	3	730	420962	423142	0.0	1178
thiH	BDSP01000173_1	26.667	75	55	0	249	323	38147	38371	4.0	30.4
thiO	BDSP01000134_1	31.707	82	35	2	290	350	188548	188303	0.12	35.0
thiG	BDSP01000259_1	28.846	104	64	4	50	148	71384	71088	3.0	30.0
tenI	BDSP01000122_1	32.857	70	44	2	139	205	141440	141231	0.24	32.7
thiM	BDSP01000016_1	42.308	26	15	0	48	73	119828	119751	3.3	30.0
THI6	BDSP01000235_1	29.114	79	52	1	53	127	63549	63313	0.015	38.9
THI4	BDSP01000204_1	41.860	43	25	0	88	130	22885	22757	0.12	35.0
thi4	BDSP01000207_1	51.429	35	17	0	27	61	77055	77159	0.002	40.0
THI20	BDSP01000082_1	43.243	37	18	2	457	493	103360	103259	1.1	32.7
thiD	BDSP01000205_1	25.581	86	64	0	90	175	277153	276896	5.1	29.3
thiDE	BDSP01000253_1	38.298	47	29	0	3	49	405377	405237	0.16	35.8
thiDN	BDSP01000132_1	27.193	114	75	4	68	175	318620	318285	2.17e-05	47.8
thiC	BDSP01000235_1	32.692	52	35	0	178	229	144187	144342	1.3	32.7
THI5	BDSP01000094_1	23.938	259	174	7	5	254	30038	29304	2.08e-10	62.8
thiN	BDSP01000199_1	32.500	80	42	4	110	183	189977	190198	0.21	32.7
thiL	BDSP01000246_1	29.333	75	51	2	67	139	44849	44625	4.6	29.6
NTPCR	BDSP01000036_1	45.455	22	12	0	3	24	71449	71514	0.68	30.8
rsgA	BDSP01000207_1	34.615	104	50	6	117	203	545723	546031	0.027	37.0
adk	BDSP01000234_1	75.000	136	34	0	171	306	121855	121448	5.06e-56	196
THTPA	BDSP01000016_1	36.154	260	134	6	36	275	681562	682305	6.12e-40	148
phoA	BDSP01000193_1	34.043	47	31	0	113	159	63608	63468	0.044	37.4
PHO	BDSP01000050_1	47.222	36	17	1	420	455	117583	117482	0.77	33.1
PHO5_11_12	BDSP01000010_1	36.111	36	23	0	45	80	42562	42455	3.1	30.8
ACP1	BDSP01000041_1	27.551	98	59	3	68	156	164349	164633	0.51	30.8
thiK	BDSP01000130_1	48.571	35	15	2	51	83	219777	219676	1.7	30.8
TPK1	BDSP01000061_1	28.920	287	125	11	6	266	20134	20835	3.24e-20	90.5
ylmB	BDSP01000186_1	28.846	104	69	1	83	181	87029	86718	1.15e-05	48.5
tenA	BDSP01000259_1	25.974	77	56	1	105	180	418979	418749	0.032	35.8
E2.5.1.2	BDSP01000075_1	24.528	106	71	2	275	371	116719	116402	0.48	33.9
