#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sro_contig536:40757-45670  -           1138 179362at2759         -            938    2e-160  531.6 113.9   1   4   4.1e-73   2.2e-71  236.9   1.2     1   212     7   246     7   252 0.83 -
Sro_contig536:40757-45670  -           1138 179362at2759         -            938    2e-160  531.6 113.9   2   4   2.2e-05    0.0012   12.8  91.7   179   704   244   796   233   804 0.74 -
Sro_contig536:40757-45670  -           1138 179362at2759         -            938    2e-160  531.6 113.9   3   4    0.0072      0.39    4.4   7.1   634   752   775   890   768   892 0.75 -
Sro_contig536:40757-45670  -           1138 179362at2759         -            938    2e-160  531.6 113.9   4   4   6.6e-89   3.5e-87  289.2   3.8   715   928   885  1099   882  1103 0.92 -
Sro_contig317:48642-50660  -            673 179362at2759         -            938   2.7e-10   34.7 108.3   1   4   4.1e-06   0.00022   15.2  26.0   541   696    18   179     1   186 0.73 -
Sro_contig317:48642-50660  -            673 179362at2759         -            938   2.7e-10   34.7 108.3   2   4   4.6e-06   0.00025   15.0  23.7   566   701   186   324   182   345 0.82 -
Sro_contig317:48642-50660  -            673 179362at2759         -            938   2.7e-10   34.7 108.3   3   4   5.1e-05    0.0027   11.6  30.0   519   750   304   536   303   540 0.81 -
Sro_contig317:48642-50660  -            673 179362at2759         -            938   2.7e-10   34.7 108.3   4   4   9.7e-05    0.0052   10.6  21.8   494   668   496   669   485   672 0.74 -
Sro_contig1254:7450-9096   -            549 179362at2759         -            938     8e-10   33.2  12.4   1   5   0.00051     0.027    8.2   0.0    25    59    21    55    21    92 0.81 -
Sro_contig1254:7450-9096   -            549 179362at2759         -            938     8e-10   33.2  12.4   2   5   0.00085     0.046    7.5   0.0   868   926   160   215   155   223 0.81 -
Sro_contig1254:7450-9096   -            549 179362at2759         -            938     8e-10   33.2  12.4   3   5      0.21        11   -0.4   5.2   597   673   239   313   221   321 0.67 -
Sro_contig1254:7450-9096   -            549 179362at2759         -            938     8e-10   33.2  12.4   4   5      0.26        14   -0.7   0.1    24    38   361   375   360   386 0.83 -
Sro_contig1254:7450-9096   -            549 179362at2759         -            938     8e-10   33.2  12.4   5   5   5.4e-07   2.9e-05   18.1   0.0   864   901   472   509   471   534 0.82 -
Sro_contig66:94175-96193   -            614 179362at2759         -            938   5.1e-08   27.2  26.4   1   5      0.25        13   -0.6   0.0    25    36    29    40    29    44 0.88 -
Sro_contig66:94175-96193   -            614 179362at2759         -            938   5.1e-08   27.2  26.4   2   5     0.017       0.9    3.2   1.6   209   255    89   135    57   169 0.54 -
Sro_contig66:94175-96193   -            614 179362at2759         -            938   5.1e-08   27.2  26.4   3   5     6e-06   0.00032   14.6   0.2   864   927   185   241   184   250 0.89 -
Sro_contig66:94175-96193   -            614 179362at2759         -            938   5.1e-08   27.2  26.4   4   5    0.0069      0.37    4.5   0.1    25    53   430   454   428   466 0.74 -
Sro_contig66:94175-96193   -            614 179362at2759         -            938   5.1e-08   27.2  26.4   5   5   5.7e-07   3.1e-05   18.0   0.0   864   901   527   564   521   590 0.83 -
Sro_contig1378:8284-9456   -            391 179362at2759         -            938   7.6e-08   26.6   5.8   1   3   0.00027     0.014    9.2   0.0   864   926    51   106    50   152 0.92 -
Sro_contig1378:8284-9456   -            391 179362at2759         -            938   7.6e-08   26.6   5.8   2   3      0.14       7.5    0.2   0.5    25    40   216   231   214   241 0.83 -
Sro_contig1378:8284-9456   -            391 179362at2759         -            938   7.6e-08   26.6   5.8   3   3   4.5e-07   2.4e-05   18.3   0.2   877   928   324   368   315   374 0.89 -
Sro_contig942:29152-30423  -            424 179362at2759         -            938   1.4e-06   22.4   0.4   1   4    0.0098      0.53    4.0   0.0   864   891    35    62    34    72 0.88 -
Sro_contig942:29152-30423  -            424 179362at2759         -            938   1.4e-06   22.4   0.4   2   4       1.1        60   -2.8   0.4   344   369   129   154    96   170 0.38 -
Sro_contig942:29152-30423  -            424 179362at2759         -            938   1.4e-06   22.4   0.4   3   4     0.014      0.73    3.5   0.0    24    41   232   249   231   259 0.87 -
Sro_contig942:29152-30423  -            424 179362at2759         -            938   1.4e-06   22.4   0.4   4   4    0.0001    0.0054   10.6   0.0   876   927   349   396   337   400 0.85 -
Sro_contig402:59432-59674  -             81 179362at2759         -            938   2.7e-06   21.5   0.0   1   1   5.9e-08   3.1e-06   21.3   0.0   864   906    34    76    33    80 0.89 -
Sro_contig188:70846-72367  -            478 179362at2759         -            938   3.4e-05   17.8  20.5   1   5    0.0041      0.22    5.3   0.5    25    53    25    49    25    61 0.79 -
Sro_contig188:70846-72367  -            478 179362at2759         -            938   3.4e-05   17.8  20.5   2   5     0.006      0.32    4.7   2.2   339   399    84   144    50   159 0.75 -
Sro_contig188:70846-72367  -            478 179362at2759         -            938   3.4e-05   17.8  20.5   3   5   4.2e-06   0.00022   15.2   0.0   864   926   168   223   167   227 0.87 -
Sro_contig188:70846-72367  -            478 179362at2759         -            938   3.4e-05   17.8  20.5   4   5     0.059       3.2    1.4   0.2   652   693   254   296   236   348 0.56 -
Sro_contig188:70846-72367  -            478 179362at2759         -            938   3.4e-05   17.8  20.5   5   5     0.044       2.4    1.8   0.1    25    36   361   372   359   391 0.84 -
Sro_contig720:41852-43204  -            451 179362at2759         -            938     4e-05   17.6  68.9   1   2   8.1e-05    0.0043   10.9  44.5   439   720     7   304     1   314 0.73 -
Sro_contig720:41852-43204  -            451 179362at2759         -            938     4e-05   17.6  68.9   2   2   0.00013     0.007   10.2  23.7   516   686   261   434   260   450 0.67 -
Sro_contig365:35271-35519  -             83 179362at2759         -            938   0.00018   15.4   0.0   1   1   3.4e-06   0.00018   15.4   0.0   877   928    27    71     8    80 0.77 -
Sro_contig1195:10648-11550 -            301 179362at2759         -            938   0.00033   14.6   2.4   1   3       1.2        65   -2.9   0.0     3    14    20    31    19    32 0.86 -
Sro_contig1195:10648-11550 -            301 179362at2759         -            938   0.00033   14.6   2.4   2   3   1.6e-05   0.00087   13.2   0.1   864   928   106   164   105   171 0.89 -
Sro_contig1195:10648-11550 -            301 179362at2759         -            938   0.00033   14.6   2.4   3   3       0.1       5.5    0.6   0.5   249   307   176   234   168   257 0.75 -
Sro_contig797:9499-11664   -            722 179362at2759         -            938   0.00067   13.6  97.0   1   5    0.0066      0.35    4.6  22.1   571   749    23   202     1   219 0.77 -
Sro_contig797:9499-11664   -            722 179362at2759         -            938   0.00067   13.6  97.0   2   5    0.0041      0.22    5.2  22.2   574   736   148   308   139   332 0.67 -
Sro_contig797:9499-11664   -            722 179362at2759         -            938   0.00067   13.6  97.0   3   5   6.9e-05    0.0037   11.1   5.1   178   269   334   425   323   435 0.89 -
Sro_contig797:9499-11664   -            722 179362at2759         -            938   0.00067   13.6  97.0   4   5   0.00035     0.019    8.8  21.4   574   692   435   553   423   575 0.63 -
Sro_contig797:9499-11664   -            722 179362at2759         -            938   0.00067   13.6  97.0   5   5    0.0006     0.032    8.0   7.7   547   670   582   705   564   720 0.91 -
Sro_contig2585:3634-4842   -            403 179362at2759         -            938    0.0015   12.4   0.0   1   4      0.16       8.5   -0.0   0.0    25    59    33    66    33    86 0.67 -
Sro_contig2585:3634-4842   -            403 179362at2759         -            938    0.0015   12.4   0.0   2   4   2.7e-05    0.0015   12.4   0.0   864   928   160   217   159   223 0.87 -
Sro_contig2585:3634-4842   -            403 179362at2759         -            938    0.0015   12.4   0.0   3   4       0.9        48   -2.5  11.4   574   644   249   298   226   339 0.35 -
Sro_contig2585:3634-4842   -            403 179362at2759         -            938    0.0015   12.4   0.0   4   4     0.019         1    3.0   0.3    25    39   364   378   362   390 0.74 -
Sro_contig983:30442-30675  -             78 179362at2759         -            938    0.0018   12.2   0.2   1   1   3.8e-05     0.002   12.0   0.2   865   901     8    44     2    50 0.90 -
Sro_contig1647:8700-10067  -            456 179362at2759         -            938     0.015    9.1   2.8   1   2       0.1       5.5    0.6   0.9    25    53     6    30     5    32 0.75 -
Sro_contig1647:8700-10067  -            456 179362at2759         -            938     0.015    9.1   2.8   2   2   0.00083     0.044    7.5   0.0    24    40   292   308   290   318 0.90 -
Sro_contig156:29772-30917  -            382 179362at2759         -            938     0.022    8.5  15.7   1   3     0.008      0.43    4.3  11.1   240   656    91   180    29   193 0.35 -
Sro_contig156:29772-30917  -            382 179362at2759         -            938     0.022    8.5  15.7   2   3     0.003      0.16    5.7   0.1    24    37   232   245   231   260 0.75 -
Sro_contig156:29772-30917  -            382 179362at2759         -            938     0.022    8.5  15.7   3   3      0.48        26   -1.6   0.0   853   901   324   368   323   382 0.66 -
Sro_contig293:25716-26891  -            392 179362at2759         -            938      0.25    5.0   7.7   1   3    0.0058      0.31    4.7   0.0   880   926    34    73    28    82 0.81 -
Sro_contig293:25716-26891  -            392 179362at2759         -            938      0.25    5.0   7.7   2   3     0.021       1.1    2.9   0.2    25    37   212   224   197   236 0.82 -
Sro_contig293:25716-26891  -            392 179362at2759         -            938      0.25    5.0   7.7   3   3       2.8   1.5e+02   -4.1   0.0   913   925   351   363   338   366 0.85 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/179362at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Seminavis_robusta_version1.2/run_eukaryota_odb10/metaeuk_output/rerun_results/Seminavis_robusta_genomeV1.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Seminavis_robusta_version1.2/run_eukaryota_odb10/hmmer_output/rerun_results/179362at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/179362at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Seminavis_robusta_version1.2/run_eukaryota_odb10/metaeuk_output/rerun_results/Seminavis_robusta_genomeV1.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 13:41:15 2021
# [ok]
