#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CM000641_1:177582-178625   -            348 5145at33634          -            296  3.7e-140  460.2   8.7   1   1  1.8e-140  3.1e-139  457.2   8.7    17   296    44   348     7   348 0.91 -
CM000646_1:828462-829181   -            240 5145at33634          -            296     3e-27   89.5   1.1   1   4     1e-05   0.00018   14.8   0.0    63   104     3    44     1    45 0.94 -
CM000646_1:828462-829181   -            240 5145at33634          -            296     3e-27   89.5   1.1   2   4   1.5e-14   2.5e-13   43.8   0.1    30   104    46   128    46   137 0.90 -
CM000646_1:828462-829181   -            240 5145at33634          -            296     3e-27   89.5   1.1   3   4   8.5e-05    0.0015   11.7   0.0   235   258   139   162   135   178 0.88 -
CM000646_1:828462-829181   -            240 5145at33634          -            296     3e-27   89.5   1.1   4   4    0.0013     0.023    7.8   0.0   221   260   188   230   181   240 0.78 -
CM000647_1:1061854-1062852 -            333 5145at33634          -            296   5.9e-25   82.0   7.9   1   5   1.9e-05   0.00033   13.9   0.8   237   296     2    68     1    68 0.80 -
CM000647_1:1061854-1062852 -            333 5145at33634          -            296   5.9e-25   82.0   7.9   2   5   6.4e-05    0.0011   12.1   0.0    60   102    77   118    69   130 0.85 -
CM000647_1:1061854-1062852 -            333 5145at33634          -            296   5.9e-25   82.0   7.9   3   5   1.4e-10   2.4e-09   30.8   0.1    52   105   207   260   199   263 0.87 -
CM000647_1:1061854-1062852 -            333 5145at33634          -            296   5.9e-25   82.0   7.9   4   5   5.9e-07     1e-05   18.8   0.0    63   101   260   298   257   303 0.92 -
CM000647_1:1061854-1062852 -            333 5145at33634          -            296   5.9e-25   82.0   7.9   5   5   0.00062     0.011    8.9   0.0    62    93   302   333   296   333 0.90 -
CM000641_1:234423-235148   -            242 5145at33634          -            296   2.2e-23   76.8   1.6   1   1   1.4e-24   2.5e-23   76.6   1.6    68   296     3   242     1   242 0.85 -
CM000638_1:882122-882883   -            254 5145at33634          -            296   5.1e-22   72.4   6.2   1   4   2.4e-07   4.2e-06   20.1   0.4    62   104    51    93     1    94 0.70 -
CM000638_1:882122-882883   -            254 5145at33634          -            296   5.1e-22   72.4   6.2   2   4   4.2e-07   7.3e-06   19.3   0.0    62    98    93   128    91   139 0.87 -
CM000638_1:882122-882883   -            254 5145at33634          -            296   5.1e-22   72.4   6.2   3   4   0.00012     0.002   11.3   0.0    63    97   139   175   130   184 0.78 -
CM000638_1:882122-882883   -            254 5145at33634          -            296   5.1e-22   72.4   6.2   4   4   2.1e-07   3.6e-06   20.3   0.1   225   296   184   253   174   253 0.85 -
CM000652_1:185311-186033   -            241 5145at33634          -            296   2.5e-20   66.8   6.5   1   5   9.5e-05    0.0017   11.6   0.2   236   296     9    71     4    71 0.84 -
