PtTHIC	Sro_contig446	85.754	358	47	1	262	619	43831	44892	0.0	619
PtNMT1	Sro_contig3301	37.255	51	30	2	276	325	4853	4704	2.4	32.7
PtTH1	Sro_contig3058	58.663	329	130	3	258	580	6936	5950	9.37e-166	365
PtTHIO	Sro_contig399	59.322	708	245	9	84	782	53133	55154	0.0	822
PtTHIS	Sro_chlor_contig51	67.143	70	23	0	1	70	15916	16125	1.25e-24	96.3
PtTHIF	Sro_contig1881	62.673	217	81	0	59	275	2290	1640	8.80e-80	271
PtDXS	Sro_contig197	77.946	594	90	4	11	566	19442	21214	0.0	936
PtTHIG	Sro_chlor_contig51	85.075	268	40	0	1	268	58208	57405	1.47e-146	455
PtTPK	Sro_contig103	49.419	172	75	4	90	249	47749	47234	3.54e-60	157
PtSSSP	Sro_contig435	68.498	546	159	3	1	535	32742	31111	0.0	703
FsFOLR	Sro_contig793	26.027	73	46	4	196	267	34149	34346	0.064	36.6
CrTHI4	Sro_contig3165	29.630	81	41	3	94	170	4517	4311	0.25	35.4
