#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
BDSP01000286_1:77886-79181   -            432 1173229at2759        -            211   1.2e-31  106.5   0.6   1   5       1.2        22    1.1   0.0     3    30     9    40     7    43 0.75 -
BDSP01000286_1:77886-79181   -            432 1173229at2759        -            211   1.2e-31  106.5   0.6   2   5       0.3       5.8    3.0   0.0    29    50    73    94    47   108 0.82 -
BDSP01000286_1:77886-79181   -            432 1173229at2759        -            211   1.2e-31  106.5   0.6   3   5    0.0076      0.15    8.2   0.0    61    81   145   165   138   173 0.85 -
BDSP01000286_1:77886-79181   -            432 1173229at2759        -            211   1.2e-31  106.5   0.6   4   5   0.00026     0.005   13.0   0.0    81   111   184   221   181   225 0.83 -
BDSP01000286_1:77886-79181   -            432 1173229at2759        -            211   1.2e-31  106.5   0.6   5   5   4.7e-23   9.1e-22   74.2   0.0   109   208   236   355   230   357 0.86 -
BDSP01000228_1:70122-71420   -            433 1173229at2759        -            211   7.7e-31  103.9   1.0   1   6       1.1        22    1.1   0.0     3    30     9    40     7    44 0.76 -
BDSP01000228_1:70122-71420   -            433 1173229at2759        -            211   7.7e-31  103.9   1.0   2   6       2.3        44    0.1   0.0    92   125    27    64    22    71 0.64 -
BDSP01000228_1:70122-71420   -            433 1173229at2759        -            211   7.7e-31  103.9   1.0   3   6      0.27       5.2    3.1   0.0    29    50    72    93    46   109 0.81 -
BDSP01000228_1:70122-71420   -            433 1173229at2759        -            211   7.7e-31  103.9   1.0   4   6     0.011      0.21    7.7   0.0    61    80   144   163   136   170 0.87 -
BDSP01000228_1:70122-71420   -            433 1173229at2759        -            211   7.7e-31  103.9   1.0   5   6   0.00024    0.0047   13.1   0.0    81   111   185   222   182   227 0.83 -
BDSP01000228_1:70122-71420   -            433 1173229at2759        -            211   7.7e-31  103.9   1.0   6   6     2e-22   3.8e-21   72.2   0.0   109   207   237   355   231   358 0.86 -
BDSP01000257_1:254110-254808 -            233 1173229at2759        -            211   6.8e-11   38.7   3.7   1   3   1.5e-05    0.0003   17.0   0.1    51    90     7    46     3    85 0.87 -
BDSP01000257_1:254110-254808 -            233 1173229at2759        -            211   6.8e-11   38.7   3.7   2   3    0.0089      0.17    8.0   0.0    52    89   123   161   111   162 0.74 -
BDSP01000257_1:254110-254808 -            233 1173229at2759        -            211   6.8e-11   38.7   3.7   3   3   0.00014    0.0028   13.8   0.3    30    78   161   209   156   216 0.94 -
BDSP01000111_1:807609-808493 -            295 1173229at2759        -            211   3.6e-10   36.3   0.8   1   4      0.19       3.6    3.6   0.0    63    82     6    25     4    31 0.87 -
