#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold01266:306-1535    -            365 1079130at2759        -            258   3.2e-93  308.0  16.1   1   3     2e-25   9.8e-23   77.0   0.2    13   101    16   113     8   123 0.83 -
scaffold01266:306-1535    -            365 1079130at2759        -            258   3.2e-93  308.0  16.1   2   3   1.6e-73   7.7e-71  234.7   9.2    97   236   142   290   128   299 0.95 -
scaffold01266:306-1535    -            365 1079130at2759        -            258   3.2e-93  308.0  16.1   3   3      0.25   1.2e+02   -1.9   0.0   234   251   310   327   295   330 0.74 -
scaffold01185:314-1531    -            365 1079130at2759        -            258   3.4e-93  308.0  16.8   1   3   1.5e-25   7.3e-23   77.5   0.3    12   101    15   113     8   123 0.83 -
scaffold01185:314-1531    -            365 1079130at2759        -            258   3.4e-93  308.0  16.8   2   3     2e-73   9.9e-71  234.3   9.4    97   236   142   290   128   297 0.95 -
scaffold01185:314-1531    -            365 1079130at2759        -            258   3.4e-93  308.0  16.8   3   3      0.18        87   -1.4   0.0   232   251   308   327   295   330 0.74 -
scaffold00342:16432-17538 -            328 1079130at2759        -            258   4.3e-93  307.6  17.5   1   3   1.4e-25   6.6e-23   77.6   0.4    12   101    15   113     8   122 0.83 -
scaffold00342:16432-17538 -            328 1079130at2759        -            258   4.3e-93  307.6  17.5   2   3   1.9e-73   9.1e-71  234.5   9.7    97   236   142   290   129   299 0.95 -
scaffold00342:16432-17538 -            328 1079130at2759        -            258   4.3e-93  307.6  17.5   3   3      0.21     1e+02   -1.7   0.0   232   250   308   326   293   328 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1079130at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Synedra_acus_sac1/run_eukaryota_odb10/metaeuk_output/initial_results/sac.scaffolds.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Synedra_acus_sac1/run_eukaryota_odb10/hmmer_output/initial_run_results/1079130at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1079130at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Synedra_acus_sac1/run_eukaryota_odb10/metaeuk_output/initial_results/sac.scaffolds.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 07:21:16 2021
# [ok]
