iscS	Sro_contig19	83.508	382	62	1	18	398	169073	170218	0.0	652
thiF	Sro_contig1881	41.063	207	116	4	8	210	2263	1649	1.41e-34	132
thiI	Sro_contig3541	26.531	49	32	1	184	232	5826	5960	1.2	33.5
dxs	Sro_contig197	78.498	586	86	3	17	565	19466	21214	0.0	934
thiH	Sro_contig1555	34.385	317	184	9	69	363	21106	22050	1.66e-46	172
thiO	Sro_contig399	28.045	353	212	13	45	363	53304	54338	1.66e-25	110
thiG	Sro_chlor_contig51	47.059	255	127	3	2	248	58187	57423	1.07e-68	231
tenI	Sro_contig564	23.118	186	129	5	27	198	46219	45662	0.003	39.7
thiM	Sro_contig286	41.935	31	18	0	11	41	10951	11043	4.0	30.8
THI6	Sro_contig3058	38.333	60	36	1	38	96	6498	6319	1.07e-04	47.0
THI4	Sro_contig3165	29.630	81	41	3	94	170	4517	4311	0.25	35.4
thi4	Sro_contig1022	48.485	33	16	1	33	64	9304	9402	0.030	38.1
THI20	Sro_contig3058	37.500	192	109	6	16	202	7754	7197	4.11e-19	93.6
thiD	Sro_contig3058	47.802	182	91	3	1	179	7739	7197	5.18e-35	134
thiDE	Sro_contig3058	40.000	160	91	3	337	493	7670	7197	1.81e-25	114
thiDN	Sro_contig3058	40.860	186	103	3	4	183	7727	7173	3.39e-28	120
thiC	Sro_contig446	85.754	358	47	1	262	619	43831	44892	0.0	619
THI5	Sro_contig721	29.825	57	32	1	176	232	44276	44130	2.3	32.0
thiE	Sro_contig3058	39.512	205	116	5	9	205	6570	5956	1.41e-30	119
thiN	Sro_contig999	31.111	45	31	0	86	130	9128	9262	0.28	33.5
thiL	Sro_contig2552	26.389	72	52	1	245	316	1322	1534	3.0	31.6
NTPCR	Sro_contig186	41.081	185	90	6	7	178	24671	24135	4.74e-28	111
rsgA	Sro_contig453	30.189	159	72	11	90	212	21132	20665	5.36e-04	43.5
adk	Sro_contig886	67.451	255	44	2	92	307	39373	38609	1.79e-103	333
THTPA	Sro_contig3376	34.169	319	161	12	2	276	4572	3631	2.68e-35	135
phoA	Sro_contig525	32.781	302	137	7	43	293	33810	32950	1.75e-24	110
PHO	Sro_contig1913	36.000	50	31	1	50	99	16039	16185	0.49	35.0
PHO5_11_12	Sro_contig820	33.333	36	24	0	361	396	37477	37370	8.8	30.8
ACP1	Sro_contig989	33.871	62	37	3	75	135	6339	6163	0.55	32.0
thiK	Sro_contig239	28.571	112	68	4	2	109	45744	45433	0.25	34.7
TPK1	Sro_contig103	30.120	166	92	8	119	266	47722	47243	1.79e-15	60.5
ylmB	Sro_contig87	39.535	86	52	0	83	168	84313	84056	1.63e-09	62.0
tenA	Sro_contig90	29.323	133	89	4	52	180	36789	36394	9.35e-06	48.1
E2.5.1.2	Sro_contig1109	36.923	65	32	3	403	465	31488	31315	5.0	31.6
