#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CM000643_1:202271-208629 -           1906 1102at33634          -           1214         0 1620.9  24.8   1  10   2.1e-44   2.6e-42  138.3   0.1     2   131     6   154     5   174 0.85 -
CM000643_1:202271-208629 -           1906 1102at33634          -           1214         0 1620.9  24.8   2  10   2.2e-08   2.7e-06   19.0   3.8   116   171   196   255   162   269 0.75 -
CM000643_1:202271-208629 -           1906 1102at33634          -           1214         0 1620.9  24.8   3  10   0.00068     0.084    4.1   0.0   173   203   410   442   398   449 0.76 -
CM000643_1:202271-208629 -           1906 1102at33634          -           1214         0 1620.9  24.8   4  10   3.2e-16   3.9e-14   45.0   0.0   204   255   482   537   471   550 0.88 -
CM000643_1:202271-208629 -           1906 1102at33634          -           1214         0 1620.9  24.8   5  10  5.5e-193  6.7e-191  630.5   0.0   244   628   573  1009   555  1019 0.91 -
CM000643_1:202271-208629 -           1906 1102at33634          -           1214         0 1620.9  24.8   6  10  1.1e-120  1.4e-118  391.0   0.0   637   852  1055  1274  1048  1287 0.92 -
CM000643_1:202271-208629 -           1906 1102at33634          -           1214         0 1620.9  24.8   7  10   1.6e-48   1.9e-46  152.0   0.2   875   980  1409  1519  1391  1530 0.90 -
CM000643_1:202271-208629 -           1906 1102at33634          -           1214         0 1620.9  24.8   8  10   4.7e-05    0.0057    8.0   0.0   979  1015  1551  1592  1539  1619 0.82 -
CM000643_1:202271-208629 -           1906 1102at33634          -           1214         0 1620.9  24.8   9  10    0.0042      0.52    1.5   3.7  1009  1047  1626  1668  1602  1674 0.77 -
CM000643_1:202271-208629 -           1906 1102at33634          -           1214         0 1620.9  24.8  10  10   5.2e-73   6.4e-71  233.1   0.0  1017  1213  1691  1905  1682  1906 0.87 -
CM000638_1:693526-697272 -           1249 1102at33634          -           1214  7.7e-181  597.2   1.4   1   3    4e-133  4.8e-131  432.2   0.0   268   823    99   670     3   682 0.75 -
CM000638_1:693526-697272 -           1249 1102at33634          -           1214  7.7e-181  597.2   1.4   2   3   9.9e-30   1.2e-27   89.7   0.0   888   973   839   923   789   976 0.81 -
CM000638_1:693526-697272 -           1249 1102at33634          -           1214  7.7e-181  597.2   1.4   3   3   3.4e-24   4.1e-22   71.4   0.1  1075  1211  1100  1249   979  1249 0.79 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/1102at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Thalassiosira_pseudonana_ASM14940v2/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_000149405.2_ASM14940v2_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Thalassiosira_pseudonana_ASM14940v2/run_stramenopiles_odb10/hmmer_output/initial_run_results/1102at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/1102at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Thalassiosira_pseudonana_ASM14940v2/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_000149405.2_ASM14940v2_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 13:49:52 2021
# [ok]
