iscS	WKLE02000668_1	72.566	452	70	2	2	399	26770	25415	0.0	645
thiF	WKLE02002052_1	34.959	246	148	3	1	234	14281	15018	4.63e-32	124
thiI	WKLE02004806_1	26.389	72	51	1	406	477	13287	13496	0.76	33.5
dxs	WKLE02003169_1	77.460	559	76	2	51	560	6921	8594	0.0	894
thiH	WKLE02000534_1	34.783	46	26	1	76	121	7884	7759	2.1	31.6
thiO	WKLE02001329_1	27.887	355	208	13	45	363	14177	13149	3.27e-27	114
thiG	WKLE02006732_1	51.765	255	115	3	2	248	883	1647	5.32e-74	245
tenI	WKLE02000702_1	28.049	164	100	9	42	188	106029	106517	2.62e-05	45.1
thiM	WKLE02004789_1	29.231	65	40	2	16	80	19202	19026	9.1	28.9
THI6	WKLE02000418_1	25.980	204	131	6	38	236	55764	56330	7.64e-05	46.6
THI4	WKLE02002459_1	35.294	51	33	0	85	135	5399	5247	0.51	33.5
thi4	WKLE02000813_1	42.500	40	23	0	22	61	26993	27112	0.016	37.7
THI20	WKLE02000418_1	31.295	278	163	5	24	276	54657	55481	1.06e-23	107
thiD	WKLE02000418_1	36.709	237	114	7	19	221	54702	55406	1.86e-30	120
thiDE	WKLE02000418_1	32.340	235	125	5	337	539	54717	55415	8.61e-25	110
thiDN	WKLE02000418_1	34.940	249	119	5	4	214	54660	55391	4.74e-23	103
thiC	WKLE02001293_1	83.531	589	90	3	32	618	18349	20100	0.0	1010
THI5	WKLE02001615_1	26.190	252	165	8	5	244	3635	2907	1.14e-10	63.9
thiE	WKLE02000418_1	39.394	198	112	5	15	204	55710	56303	1.63e-31	121
thiN	WKLE02006304_1	28.829	111	69	5	46	152	2782	2468	1.2	30.8
thiL	WKLE02004189_1	45.161	31	15	1	222	250	327	419	8.2	29.3
NTPCR	WKLE02006038_1	35.227	176	101	7	7	177	13557	14060	8.18e-20	86.7
rsgA	WKLE02002031_1	30.986	71	49	0	84	154	977	1189	0.040	36.6
adk	WKLE02005941_1	52.290	262	87	1	90	313	284	1069	1.47e-87	267
THTPA	WKLE02005184_1	37.548	261	142	10	23	277	16420	17157	2.21e-44	161
phoA	WKLE02005005_1	36.842	38	24	0	118	155	4908	4795	2.0	32.3
PHO5_11_12	WKLE02001216_1	52.174	23	11	0	435	457	18637	18569	4.2	27.7
ACP1	WKLE02003475_1	33.333	36	24	0	69	104	9165	9272	2.0	29.6
TH2	WKLE02002003_1	36.565	361	148	8	75	435	30916	30077	2.49e-51	187
thiK	WKLE02000063_1	30.357	56	35	1	171	226	3952	4107	2.8	30.4
TPK1	WKLE02000689_1	26.962	293	161	9	3	266	34402	35208	1.15e-21	95.1
TENA_E	WKLE02005232_1	31.250	32	22	0	83	114	3363	3268	5.5	28.5
ylmB	WKLE02002038_1	27.329	161	105	6	8	159	5399	5872	3.56e-05	47.4
tenA	WKLE02001215_1	22.222	72	55	1	110	180	4646	4861	0.066	35.4
E2.5.1.2	WKLE02002750_1	29.545	44	31	0	357	400	84597	84728	4.4	30.8
