#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAACSZ010000868_1:15123-20234 -           1645 1312453at2759        -            678   4.3e-88  291.2  22.2   1   8   2.7e-29   1.1e-28   94.9   0.3    56   147    46   141    27   164 0.88 -
JAACSZ010000868_1:15123-20234 -           1645 1312453at2759        -            678   4.3e-88  291.2  22.2   2   8      0.08      0.34    4.1   0.0   148   161   178   191   172   195 0.83 -
JAACSZ010000868_1:15123-20234 -           1645 1312453at2759        -            678   4.3e-88  291.2  22.2   3   8   4.9e-15   2.1e-14   47.7   0.0   160   248   227   335   222   346 0.76 -
JAACSZ010000868_1:15123-20234 -           1645 1312453at2759        -            678   4.3e-88  291.2  22.2   4   8   2.9e-14   1.2e-13   45.2   2.3   270   362   500   609   478   616 0.81 -
JAACSZ010000868_1:15123-20234 -           1645 1312453at2759        -            678   4.3e-88  291.2  22.2   5   8   9.7e-23   4.1e-22   73.2   0.0   365   479   718   842   699   850 0.85 -
JAACSZ010000868_1:15123-20234 -           1645 1312453at2759        -            678   4.3e-88  291.2  22.2   6   8   4.9e-07   2.1e-06   21.3   0.3   560   638  1189  1287  1166  1307 0.73 -
JAACSZ010000868_1:15123-20234 -           1645 1312453at2759        -            678   4.3e-88  291.2  22.2   7   8    0.0084     0.035    7.3   0.0   617   674  1335  1402  1319  1406 0.68 -
JAACSZ010000868_1:15123-20234 -           1645 1312453at2759        -            678   4.3e-88  291.2  22.2   8   8       0.1      0.43    3.7   0.0   562   588  1617  1644  1596  1645 0.80 -
JAACSZ010000822_1:17964-18458 -            165 1312453at2759        -            678   1.8e-14   48.0   0.0   1   1   5.2e-15   2.2e-14   47.6   0.0    86   229     4   162     2   164 0.78 -
JAACSZ010002163_1:2146-3048   -            301 1312453at2759        -            678   1.1e-13   45.3   0.0   1   2   2.3e-12   9.6e-12   38.9   0.0    69   179    92   201    52   211 0.84 -
JAACSZ010002163_1:2146-3048   -            301 1312453at2759        -            678   1.1e-13   45.3   0.0   2   2     0.059      0.25    4.5   0.0   208   233   276   301   272   301 0.92 -
JAACSZ010001285_1:1428-2531   -            368 1312453at2759        -            678   3.5e-11   37.1   4.6   1   4    0.0024      0.01    9.1   0.2   576   598    27    49    22    61 0.79 -
JAACSZ010001285_1:1428-2531   -            368 1312453at2759        -            678   3.5e-11   37.1   4.6   2   4     0.012     0.049    6.8   0.0   557   590    80   113    65   121 0.76 -
JAACSZ010001285_1:1428-2531   -            368 1312453at2759        -            678   3.5e-11   37.1   4.6   3   4   7.4e-06   3.1e-05   17.4   0.1   572   640   135   206   119   218 0.80 -
JAACSZ010001285_1:1428-2531   -            368 1312453at2759        -            678   3.5e-11   37.1   4.6   4   4      0.16       0.7    3.0   0.0   565   606   246   290   201   326 0.67 -
JAACSZ010001374_1:7459-8127   -            223 1312453at2759        -            678   5.3e-11   36.5   0.2   1   3     0.012      0.05    6.8   0.0   571   590    32    51    13    72 0.80 -
