#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AGNL01007119_1:1029-2893 -            561 6684at33634          -            437  8.4e-198  651.6  22.0   1   3   6.9e-69   2.5e-67  221.6   3.6     1   150     5   175     5   182 0.92 -
AGNL01007119_1:1029-2893 -            561 6684at33634          -            437  8.4e-198  651.6  22.0   2   3  6.8e-114  2.5e-112  370.0   5.1   143   393   197   488   186   499 0.90 -
AGNL01007119_1:1029-2893 -            561 6684at33634          -            437  8.4e-198  651.6  22.0   3   3   4.8e-21   1.8e-19   64.0   0.2   394   437   510   554   498   554 0.93 -
AGNL01002823_1:2658-4220 -            521 6684at33634          -            437   1.6e-70  232.2   9.5   1   1     1e-70   3.7e-69  227.7   9.5     9   437    10   515     7   515 0.78 -
AGNL01007765_1:1457-3106 -            510 6684at33634          -            437   4.8e-67  220.8   6.8   1   1   2.6e-67   9.6e-66  216.5   6.8     6   437     2   510     1   510 0.82 -
AGNL01004158_1:921-2450  -            510 6684at33634          -            437   5.5e-51  167.8   8.3   1   1   3.9e-51   1.4e-49  163.2   8.3    11   437     1   503     1   503 0.76 -
AGNL01002843_1:6264-7571 -            416 6684at33634          -            437   1.1e-49  163.5   3.5   1   1   7.3e-51   2.7e-49  162.3   3.5    92   437     9   411     3   411 0.82 -
AGNL01041702_1:4404-5801 -            466 6684at33634          -            437   8.9e-43  140.8   1.3   1   3     9e-11   3.3e-09   30.1   0.0    75   118     1    52     1   103 0.75 -
AGNL01041702_1:4404-5801 -            466 6684at33634          -            437   8.9e-43  140.8   1.3   2   3   3.2e-29   1.2e-27   90.9   0.3   123   393    98   391    82   406 0.74 -
AGNL01041702_1:4404-5801 -            466 6684at33634          -            437   8.9e-43  140.8   1.3   3   3   6.2e-07   2.3e-05   17.5   0.0   384   437   404   460   394   460 0.81 -
AGNL01006729_1:8091-9455 -            455 6684at33634          -            437   1.2e-32  107.4   0.0   1   1   8.1e-33     3e-31  102.8   0.0    72   393     3   396     1   423 0.77 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/6684at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Thalassiosira_oceanica_ThaOc_1.0/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_000296195.2_ThaOc_1.0_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Thalassiosira_oceanica_ThaOc_1.0/run_stramenopiles_odb10/hmmer_output/initial_run_results/6684at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/6684at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Thalassiosira_oceanica_ThaOc_1.0/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_000296195.2_ThaOc_1.0_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 13:14:43 2021
# [ok]
