ThiC	scaffold00411	81.894	602	97	4	25	619	39485	37695	0.0	999
Thi5	scaffold00956	25.287	87	61	2	13	96	7946	7689	0.35	34.3
Thi5-like	scaffold00018	46.154	52	25	2	285	336	379883	379737	0.16	36.2
TH1	scaffold00017	54.483	580	224	9	36	579	275748	274021	0.0	581
THIO	scaffold00005	51.720	756	265	16	90	784	785066	782916	0.0	703
THIS	scaffold03740	26.027	73	51	1	1	70	1448	1666	0.86	28.5
THIF	scaffold01719	54.267	457	196	4	11	454	1717	347	4.53e-149	468
DXS	scaffold00328	80.468	727	115	4	17	720	51327	49159	0.0	1181
THIG	scaffold00637	48.249	257	126	3	6	262	18461	19210	2.74e-68	230
TPK1	scaffold00091	51.852	216	93	6	19	223	135683	135036	1.25e-58	202
FOLR	scaffold01249	26.984	63	45	1	144	206	7583	7768	1.9	31.6
Thi4	scaffold00028	37.255	51	28	1	84	130	176644	176492	0.19	35.4
TENA	scaffold00078	73.543	223	59	0	1	223	91764	92432	9.82e-112	353
