#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAACVS010000386_1:26504-28204   -            497 671536at2759         -            369  4.9e-123  406.6   8.6   1   2     7e-19   4.4e-17   58.0   0.8     4    97    19   131    16   140 0.83 -
CAACVS010000386_1:26504-28204   -            497 671536at2759         -            369  4.9e-123  406.6   8.6   2   2  3.2e-107    2e-105  348.7   1.6   106   368   180   492   175   493 0.87 -
CAACVS010000001_1:384727-385630 -            243 671536at2759         -            369   4.9e-70  232.2   0.0   1   1   9.2e-72   5.8e-70  232.0   0.0   134   354    12   240     2   243 0.89 -
CAACVS010000346_1:2463-3558     -            303 671536at2759         -            369   1.3e-69  230.8   0.0   1   1   2.7e-71   1.7e-69  230.5   0.0   139   354    47   273    26   278 0.90 -
CAACVS010000236_1:211292-212188 -            299 671536at2759         -            369   9.1e-69  228.0   0.0   1   1   1.9e-70   1.2e-68  227.7   0.0   131   354    32   266    22   272 0.90 -
CAACVS010000299_1:37654-38475   -            274 671536at2759         -            369     2e-68  226.9   0.0   1   1   4.1e-70   2.6e-68  226.6   0.0   141   355    18   244     7   253 0.89 -
CAACVS010000153_1:81111-81974   -            288 671536at2759         -            369   6.3e-68  225.3   0.0   1   1   1.3e-69   7.9e-68  224.9   0.0   127   354    29   267     9   273 0.89 -
CAACVS010000137_1:156599-157735 -            305 671536at2759         -            369   6.4e-66  218.7   0.0   1   1   1.3e-67   8.4e-66  218.3   0.0   127   354    38   276    29   283 0.89 -
CAACVS010000004_1:17469-18245   -            259 671536at2759         -            369     1e-64  214.7   0.0   1   1     2e-66   1.2e-64  214.4   0.0   141   355     1   227     1   234 0.90 -
CAACVS010000055_1:66140-67045   -            302 671536at2759         -            369   3.1e-64  213.1   0.0   1   1   6.3e-66   3.9e-64  212.8   0.0   140   353    56   281    40   293 0.89 -
CAACVS010000569_1:84007-84897   -            297 671536at2759         -            369   1.8e-62  207.4   0.0   1   1   3.7e-64   2.3e-62  207.0   0.0   140   358     7   237     3   242 0.89 -
CAACVS010000688_1:79702-80655   -            272 671536at2759         -            369   1.7e-56  187.6   0.0   1   1   3.4e-58   2.1e-56  187.3   0.0   139   354    37   267     5   270 0.88 -
CAACVS010000121_1:26166-27335   -            390 671536at2759         -            369   2.4e-27   91.7   0.0   1   3   3.4e-24   2.1e-22   75.5   0.0   137   261    61   203    49   210 0.81 -
CAACVS010000121_1:26166-27335   -            390 671536at2759         -            369   2.4e-27   91.7   0.0   2   3      0.84        52   -1.5   0.0   272   284   245   257   223   263 0.76 -
CAACVS010000121_1:26166-27335   -            390 671536at2759         -            369   2.4e-27   91.7   0.0   3   3   4.1e-05    0.0026   12.7   0.0   290   359   288   358   281   385 0.83 -
CAACVS010000115_1:98362-99288   -            309 671536at2759         -            369     2e-22   75.6   0.2   1   2   7.7e-16   4.8e-14   48.0   0.0   141   251    52   186    25   191 0.77 -
CAACVS010000115_1:98362-99288   -            309 671536at2759         -            369     2e-22   75.6   0.2   2   2   7.2e-09   4.5e-07   25.0   0.0   282   338   251   309   228   309 0.86 -
CAACVS010000228_1:56082-56459   -            126 671536at2759         -            369     4e-06   21.9   0.0   1   1   7.3e-08   4.5e-06   21.7   0.0    14    63    42    96    34   122 0.78 -
CAACVS010000658_1:89932-90156   -             75 671536at2759         -            369   4.8e-06   21.7   0.2   1   1   8.5e-08   5.3e-06   21.5   0.2     2    54    11    69    10    75 0.84 -
CAACVS010000002_1:54667-55281   -            205 671536at2759         -            369   1.3e-05   20.2   0.2   1   2      0.31        19   -0.1   0.0     3    18    41    56    25    71 0.75 -
CAACVS010000002_1:54667-55281   -            205 671536at2759         -            369   1.3e-05   20.2   0.2   2   2   2.9e-06   0.00018   16.5   0.1    12    57   133   178   129   199 0.72 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/671536at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multistriata_ASM90066040v1/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_900660405.1_ASM90066040v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multistriata_ASM90066040v1/run_eukaryota_odb10/hmmer_output/initial_run_results/671536at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/671536at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multistriata_ASM90066040v1/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_900660405.1_ASM90066040v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 04:09:01 2021
# [ok]
