#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_6857:5650-6597  -            316 671536at2759         -            369    1e-111  369.6   0.6   1   1  3.1e-112  2.5e-110  365.0   0.6   137   368    51   309     1   310 0.84 -
scaffold_5080:6847-7847  -            293 671536at2759         -            369   3.5e-71  236.2   0.0   1   1   5.5e-73   4.4e-71  235.8   0.0   132   354    43   272    29   278 0.91 -
scaffold_9669:2938-3822  -            295 671536at2759         -            369   9.1e-69  228.2   0.0   1   1   1.4e-70   1.2e-68  227.9   0.0   134   355    32   265    15   272 0.88 -
scaffold_9733:1364-2269  -            302 671536at2759         -            369     6e-68  225.5   0.0   1   1   9.9e-70     8e-68  225.1   0.0   131   354    42   276    31   281 0.90 -
scaffold_7652:9163-10324 -            311 671536at2759         -            369   2.2e-66  220.4   0.0   1   1   3.6e-68   2.9e-66  220.0   0.0   134   354    48   279    32   285 0.89 -
scaffold_3878:8188-8958  -            257 671536at2759         -            369   1.9e-64  214.0   0.1   1   1   2.8e-66   2.3e-64  213.7   0.1   143   354     1   224     1   229 0.90 -
scaffold_5424:1492-2532  -            242 671536at2759         -            369     1e-61  205.0   0.0   1   1   1.5e-63   1.2e-61  204.7   0.0   139   355    17   238     3   241 0.88 -
scaffold_15465:893-1851  -            275 671536at2759         -            369   3.1e-56  187.0   0.0   1   1   4.7e-58   3.8e-56  186.7   0.0   136   353    38   273    26   275 0.86 -
scaffold_16059:130-1088  -            275 671536at2759         -            369   3.1e-56  187.0   0.0   1   1   4.7e-58   3.8e-56  186.7   0.0   136   353    38   273    26   275 0.86 -
scaffold_16625:425-1383  -            275 671536at2759         -            369   3.1e-56  187.0   0.0   1   1   4.7e-58   3.8e-56  186.7   0.0   136   353    38   273    26   275 0.86 -
scaffold_9592:130-1088   -            275 671536at2759         -            369   3.1e-56  187.0   0.0   1   1   4.7e-58   3.8e-56  186.7   0.0   136   353    38   273    26   275 0.86 -
scaffold_4997:8036-8725  -            230 671536at2759         -            369   4.1e-21   71.4   0.0   1   1   3.9e-22   3.2e-20   68.5   0.0   165   336    10   230     2   230 0.72 -
scaffold_6672:8036-8725  -            230 671536at2759         -            369   4.1e-21   71.4   0.0   1   1   3.9e-22   3.2e-20   68.5   0.0   165   336    10   230     2   230 0.72 -
scaffold_7136:9131-9355  -             75 671536at2759         -            369   2.4e-07   26.1   1.2   1   1   3.3e-09   2.6e-07   26.0   1.2     8    62     2    67     1    74 0.79 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/671536at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_Cyccr1/run_eukaryota_odb10/metaeuk_output/initial_results/Cyccr1_AssemblyScaffolds_Repeatmasked.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_Cyccr1/run_eukaryota_odb10/hmmer_output/initial_run_results/671536at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/671536at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_Cyccr1/run_eukaryota_odb10/metaeuk_output/initial_results/Cyccr1_AssemblyScaffolds_Repeatmasked.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 15:19:17 2021
# [ok]
