# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	CM000640_1	2024989	2032049	-	1644.3	1317
83779at2759	Complete	CM000638_1	2649687	2651972	-	212.8	259
87842at2759	Complete	CM000642_1	979425	984093	+	175.1	419
97116at2759	Complete	CP001160_1	1781953	1785845	+	709.1	892
100698at2759	Complete	CM000641_1	208816	210898	-	704.7	505
142542at2759	Missing
156083at2759	Complete	CM000639_1	2321915	2329220	+	3409.7	1879
160593at2759	Missing
166920at2759	Complete	CM000638_1	1330605	1334929	+	467.0	728
176625at2759	Fragmented	CM000654_1	379882	384827	-	132.5	275
179362at2759	Complete	CM000647_1	814283	819375	-	630.1	1297
245208at2759	Complete	CM000640_1	1543507	1547529	+	1404.8	851
257318at2759	Complete	CM000646_1	237206	238732	-	202.5	307
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	CM000639_1	1785966	1788918	-	566.3	525
293315at2759	Complete	DS999440_1	26469	30022	+	580.5	607
296129at2759	Complete	CM000643_1	78892	82776	-	752.5	729
299766at2759	Complete	CM000640_1	801304	804975	+	309.7	443
306227at2759	Complete	CM000638_1	1687366	1689465	-	451.4	509
320059at2759	Complete	CM000647_1	382820	384790	+	822.3	451
324863at2759	Complete	CM000642_1	1841563	1852987	-	394.3	509
325552at2759	Missing
330169at2759	Complete	CM000642_1	655429	657157	-	241.6	317
331411at2759	Missing
341721at2759	Complete	CM000639_1	1084129	1086219	-	183.7	386
345441at2759	Complete	CM000638_1	1586841	1588574	+	337.1	381
355408at2759	Complete	CM000643_1	1290283	1292485	-	586.3	553
369837at2759	Complete	CM000653_1	484666	487759	+	206.7	353
375960at2759	Complete	CM000646_1	913258	915164	-	271.1	335
383503at2759	Complete	CM000639_1	198655	200283	-	230.5	286
388820at2759	Missing
390348at2759	Complete	CM000640_1	354900	357791	-	1088.3	706
392369at2759	Complete	CM000641_1	540909	542815	+	377.0	341
396755at2759	Complete	CM000639_1	1937125	1940708	+	202.0	533
418107at2759	Complete	CM000644_1	584497	586020	-	367.2	321
426305at2759	Complete	CM000643_1	1301969	1304547	+	290.5	508
450058at2759	Missing
453044at2759	Complete	CM000642_1	1311218	1312675	-	186.6	300
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	CM000638_1	495324	497114	+	164.4	222
513979at2759	Complete	CM000640_1	1799730	1802016	-	149.7	183
543764at2759	Missing
549762at2759	Complete	CM000641_1	1002172	1004457	+	384.0	377
551907at2759	Complete	CM000638_1	2371124	2374187	+	186.4	289
570797at2759	Complete	CM000643_1	878887	881175	-	426.8	447
582756at2759	Complete	CM000651_1	273300	277417	-	156.6	335
598949at2759	Complete	CM000648_1	72725	74611	-	304.2	333
604979at2759	Complete	CM000652_1	184864	186315	-	374.9	259
621827at2759	Missing
