#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sro_contig345:72562-74592   -            677 4406at33634          -            435   1.1e-92  305.3  12.8   1   3   7.4e-30   2.7e-28   93.1   0.2     1   107   112   245   112   256 0.86 -
Sro_contig345:72562-74592   -            677 4406at33634          -            435   1.1e-92  305.3  12.8   2   3   6.1e-36   2.2e-34  113.2   3.4   110   231   279   442   248   448 0.80 -
Sro_contig345:72562-74592   -            677 4406at33634          -            435   1.1e-92  305.3  12.8   3   3   4.1e-32   1.5e-30  100.6   0.2   227   315   556   646   532   670 0.82 -
Sro_contig669:34793-35563   -            257 4406at33634          -            435   7.8e-16   52.1   2.0   1   3   6.9e-06   0.00025   14.2   0.1   349   432     7    80     3    83 0.71 -
Sro_contig669:34793-35563   -            257 4406at33634          -            435   7.8e-16   52.1   2.0   2   3   4.5e-07   1.6e-05   18.1   0.2   349   432    49   122    40   125 0.55 -
Sro_contig669:34793-35563   -            257 4406at33634          -            435   7.8e-16   52.1   2.0   3   3    0.0004     0.015    8.4   0.0   344   377   212   245   203   249 0.90 -
Sro_contig602:29187-30020   -            278 4406at33634          -            435   5.1e-10   32.9   0.0   1   3   2.6e-05   0.00096   12.3   0.0   278   353    18    94     4   113 0.75 -
Sro_contig602:29187-30020   -            278 4406at33634          -            435   5.1e-10   32.9   0.0   2   3     0.008      0.29    4.1   0.0   267   338    93   164    82   186 0.78 -
Sro_contig602:29187-30020   -            278 4406at33634          -            435   5.1e-10   32.9   0.0   3   3     6e-06   0.00022   14.4   0.0   304   371   212   278   203   278 0.82 -
Sro_contig108:105962-106708 -            249 4406at33634          -            435   1.9e-07   24.4   0.0   1   2   1.4e-08   5.3e-07   23.0   0.0   345   383     6    44     2    48 0.92 -
Sro_contig108:105962-106708 -            249 4406at33634          -            435   1.9e-07   24.4   0.0   2   2      0.53        19   -1.9   0.0   214   377   160   192   140   214 0.50 -
Sro_contig1558:10430-11296  -            289 4406at33634          -            435   1.3e-06   21.7   0.0   1   2     0.021      0.77    2.7   0.0   348   387    27    66    17    99 0.68 -
Sro_contig1558:10430-11296  -            289 4406at33634          -            435   1.3e-06   21.7   0.0   2   2   2.6e-06   9.4e-05   15.6   0.0   283   378   189   285   180   287 0.81 -
Sro_contig245:78745-79524   -            260 4406at33634          -            435   1.8e-06   21.3   2.8   1   3    0.0099      0.36    3.8   0.1   310   358     8    55     1    70 0.51 -
Sro_contig245:78745-79524   -            260 4406at33634          -            435   1.8e-06   21.3   2.8   2   3     0.069       2.5    1.0   0.1   287   358    95   165    85   174 0.70 -
Sro_contig245:78745-79524   -            260 4406at33634          -            435   1.8e-06   21.3   2.8   3   3   2.9e-06   0.00011   15.4   0.0   286   339   194   247   166   253 0.85 -
Sro_contig369:21619-22494   -            292 4406at33634          -            435   3.4e-05   17.0   0.0   1   4     0.016      0.59    3.1   0.0   349   379     1    33     1    39 0.81 -
Sro_contig369:21619-22494   -            292 4406at33634          -            435   3.4e-05   17.0   0.0   2   4     0.014       0.5    3.3   0.0   346   400    49   104    44   140 0.77 -
Sro_contig369:21619-22494   -            292 4406at33634          -            435   3.4e-05   17.0   0.0   3   4      0.25       9.2   -0.9   0.0   419   434   228   243   207   244 0.75 -
Sro_contig369:21619-22494   -            292 4406at33634          -            435   3.4e-05   17.0   0.0   4   4     0.003      0.11    5.5   0.0   349   376   263   291   249   292 0.84 -
Sro_contig465:43840-44853   -            338 4406at33634          -            435   0.00052   13.1   1.7   1   3     0.077       2.8    0.8   0.0   408   432     6    30     2    71 0.68 -
Sro_contig465:43840-44853   -            338 4406at33634          -            435   0.00052   13.1   1.7   2   3    0.0072      0.26    4.2   0.0   308   400    89   180    78   193 0.72 -
Sro_contig465:43840-44853   -            338 4406at33634          -            435   0.00052   13.1   1.7   3   3    0.0042      0.15    5.0   0.1   323   378   241   296   234   338 0.59 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/4406at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Seminavis_robusta_version1.2/run_stramenopiles_odb10/metaeuk_output/initial_results/Seminavis_robusta_genomeV1.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Seminavis_robusta_version1.2/run_stramenopiles_odb10/hmmer_output/initial_run_results/4406at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/4406at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Seminavis_robusta_version1.2/run_stramenopiles_odb10/metaeuk_output/initial_results/Seminavis_robusta_genomeV1.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 09:11:15 2021
# [ok]
