#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CM000611_1:259421-260653 -            411 801857at2759         -            224   8.9e-52  171.5   0.7   1   4   2.9e-15   4.3e-13   45.0   0.0     6    43    26    63    22    97 0.78 -
CM000611_1:259421-260653 -            411 801857at2759         -            224   8.9e-52  171.5   0.7   2   4   1.6e-36   2.4e-34  114.5   0.1    53   159   106   219    99   225 0.90 -
CM000611_1:259421-260653 -            411 801857at2759         -            224   8.9e-52  171.5   0.7   3   4       1.2   1.8e+02   -2.7   0.0   174   191   268   286   264   292 0.82 -
CM000611_1:259421-260653 -            411 801857at2759         -            224   8.9e-52  171.5   0.7   4   4   0.00061     0.091    8.0   0.1   186   219   301   337   295   340 0.83 -
CM000610_1:83329-84246   -            306 801857at2759         -            224   6.9e-29   96.7   0.0   1   2   1.4e-30   2.1e-28   95.1   0.0     6   158     2   167     1   171 0.82 -
CM000610_1:83329-84246   -            306 801857at2759         -            224   6.9e-29   96.7   0.0   2   2      0.82   1.2e+02   -2.2   0.0   164   175   192   203   182   215 0.81 -
CM000617_1:798730-799422 -            231 801857at2759         -            224   2.1e-27   91.8   0.0   1   2   7.9e-28   1.2e-25   86.1   0.0     5   158     2   162     1   165 0.85 -
CM000617_1:798730-799422 -            231 801857at2759         -            224   2.1e-27   91.8   0.0   2   2     0.014         2    3.6   0.1   160   174   187   201   182   208 0.87 -
CM000626_1:393970-394662 -            231 801857at2759         -            224   2.1e-27   91.8   0.0   1   2   7.9e-28   1.2e-25   86.1   0.0     5   158     2   162     1   165 0.85 -
CM000626_1:393970-394662 -            231 801857at2759         -            224   2.1e-27   91.8   0.0   2   2     0.014         2    3.6   0.1   160   174   187   201   182   208 0.87 -
CM000614_1:120755-121567 -            271 801857at2759         -            224   1.9e-23   78.9   0.0   1   2     1e-23   1.5e-21   72.7   0.0     1   161     3   175     3   180 0.83 -
CM000614_1:120755-121567 -            271 801857at2759         -            224   1.9e-23   78.9   0.0   2   2    0.0077       1.1    4.4   0.0   158   203   192   241   179   254 0.78 -
CM000625_1:315417-316400 -            328 801857at2759         -            224   4.1e-19   64.7   0.0   1   3   0.00085      0.13    7.5   0.0    10    45     1    36     1    55 0.88 -
CM000625_1:315417-316400 -            328 801857at2759         -            224   4.1e-19   64.7   0.0   2   3   3.6e-18   5.4e-16   54.5   0.0    61   161    88   199    82   212 0.77 -
CM000625_1:315417-316400 -            328 801857at2759         -            224   4.1e-19   64.7   0.0   3   3      0.76   1.1e+02   -2.1   0.0   163   180   223   240   199   256 0.68 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/801857at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Phaeodactylum_tricornutum_ASM15095v2/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_000150955.2_ASM15095v2_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Phaeodactylum_tricornutum_ASM15095v2/run_eukaryota_odb10/hmmer_output/initial_run_results/801857at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/801857at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Phaeodactylum_tricornutum_ASM15095v2/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_000150955.2_ASM15095v2_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 13:55:34 2021
# [ok]
