#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold57_size959080:318484-321084     -            786 674169at2759         -            271   9.8e-29   96.1   2.1   1   5   7.6e-10   3.6e-08   28.7   0.0     1    34   246   279   246   296 0.91 -
scaffold57_size959080:318484-321084     -            786 674169at2759         -            271   9.8e-29   96.1   2.1   2   5   2.1e-08   9.8e-07   24.0   0.0    32    68   309   345   304   357 0.88 -
scaffold57_size959080:318484-321084     -            786 674169at2759         -            271   9.8e-29   96.1   2.1   3   5     0.034       1.6    3.6   0.0    79   117   395   438   391   439 0.69 -
scaffold57_size959080:318484-321084     -            786 674169at2759         -            271   9.8e-29   96.1   2.1   4   5   1.7e-11   8.1e-10   34.1   0.0   121   191   467   555   462   566 0.74 -
scaffold57_size959080:318484-321084     -            786 674169at2759         -            271   9.8e-29   96.1   2.1   5   5       2.8   1.3e+02   -2.7   0.0   190   232   585   630   584   634 0.65 -
scaffold467_size176322:152578-153516    -            313 674169at2759         -            271   7.4e-11   37.5   0.2   1   3      0.03       1.4    3.8   0.0     2    31     3    32     2    40 0.92 -
scaffold467_size176322:152578-153516    -            313 674169at2759         -            271   7.4e-11   37.5   0.2   2   3   5.4e-07   2.5e-05   19.3   0.0    33    67    56    90    54   106 0.85 -
scaffold467_size176322:152578-153516    -            313 674169at2759         -            271   7.4e-11   37.5   0.2   3   3   0.00023     0.011   10.7   0.0   143   174   208   239   190   250 0.85 -
scaffold57_size959080:93608-94264       -            219 674169at2759         -            271   3.9e-05   18.7   0.0   1   1   1.1e-06   5.1e-05   18.4   0.0    34    66    36    68    32   105 0.89 -
scaffold140_size289873:22862-23468      -            166 674169at2759         -            271   4.3e-05   18.6   0.0   1   1   1.2e-06   5.5e-05   18.3   0.0    34    70    45    81    23    94 0.83 -
scaffold92_size717885:440670-441236     -            189 674169at2759         -            271   0.00019   16.5   0.0   1   1   5.2e-06   0.00025   16.1   0.0    35    61     2    28     1    70 0.89 -
scaffold57_size959080:92660-93369       -            204 674169at2759         -            271   0.00029   15.9   0.0   1   1   9.1e-06   0.00043   15.3   0.0    34    70    44    80    40    87 0.89 -
scaffold161_size418508:87042-87578      -            179 674169at2759         -            271   0.00038   15.5   0.0   1   1   1.2e-05   0.00057   14.9   0.0    12    69    16    76    12    82 0.81 -
scaffold203_size675210:301039-301791    -            251 674169at2759         -            271    0.0005   15.1   0.0   1   1   1.5e-05   0.00073   14.6   0.0    35    68     2    35     1    67 0.90 -
scaffold14_size2522936|:1279623-1280015 -            131 674169at2759         -            271    0.0005   15.1   0.0   1   1   1.3e-05   0.00061   14.8   0.0    33    71     2    40     1    73 0.91 -
scaffold59_size999685:758283-759115     -            111 674169at2759         -            271    0.0007   14.6   0.0   1   1   1.9e-05   0.00089   14.3   0.0    34    71     6    43     4    60 0.86 -
scaffold66_size693783:599749-600312     -            188 674169at2759         -            271   0.00077   14.5   0.0   1   1   2.1e-05     0.001   14.1   0.0    34    67    26    59    11    69 0.88 -
scaffold129_size369745:119586-121457    -            196 674169at2759         -            271   0.00097   14.2   0.0   1   1   2.5e-05    0.0012   13.8   0.0    34    62    41    69    38   121 0.84 -
