iscS	CM000639_1	81.223	229	43	0	172	400	288199	288885	1.90e-171	367
thiF	CM000639_1	39.648	227	114	5	8	212	2517305	2516628	8.74e-38	140
thiI	CM000638_1	36.735	49	27	1	264	312	992131	992265	0.89	32.3
dxs	CP001160_1	76.842	570	124	3	3	569	618500	620194	0.0	916
thiH	CM000641_1	35.065	77	45	3	244	319	1025654	1025436	0.72	32.0
thiO	CM000646_1	30.070	286	181	8	92	363	438350	439192	3.26e-31	125
thiG	DS999448_1	48.047	256	125	3	2	249	3559	4326	5.47e-70	233
tenI	DS999418_1	47.500	40	18	2	149	185	130623	130504	1.4	29.6
thiM	CM000638_1	38.462	39	24	0	193	231	1269875	1269991	4.5	28.9
THI6	CM000643_1	37.705	61	36	2	38	96	1452356	1452174	0.003	40.4
THI4	CM000640_1	27.966	118	63	5	55	156	863249	862914	1.7	30.8
thi4	CM000640_1	59.375	32	13	0	31	62	773174	773269	0.001	40.8
THI20	CM000643_1	32.707	266	124	9	40	256	1453571	1452792	1.01e-20	97.1
thiD	CM000643_1	32.075	265	119	8	20	230	1453571	1452798	3.40e-24	101
thiDE	CM000643_1	34.025	241	107	6	349	539	1453514	1452798	4.01e-27	117
thiDN	CM000643_1	36.628	172	95	4	19	177	1453571	1453059	3.41e-23	103
thiC	CM000645_1	76.277	274	64	1	23	296	817458	818276	0.0	440
THI5	CP001160_1	25.306	245	168	6	4	242	284506	285213	2.94e-12	67.8
thiE	CM000643_1	41.919	198	104	7	15	202	1452410	1451820	2.36e-31	120
thiN	CM000644_1	48.000	25	13	0	125	149	747500	747574	2.2	28.9
thiL	CP001160_1	29.730	74	50	2	68	139	780355	780134	2.0	30.4
NTPCR	CM000647_1	50.000	26	13	0	8	33	788784	788707	0.21	32.0
rsgA	CM000640_1	30.380	158	74	9	90	212	1304471	1304941	0.021	36.6
adk	CM000648_1	76.812	138	32	0	171	308	612540	612127	3.93e-59	204
THTPA	CM000642_1	31.214	346	154	16	6	275	2151629	2150616	7.01e-31	121
phoA	CM000638_1	38.298	47	29	0	113	159	2125530	2125670	0.006	39.3
PHO5_11_12	CM000645_1	28.358	67	43	2	10	74	752578	752769	0.77	32.3
ACP1	CM000654_1	29.508	61	32	2	53	113	54292	54143	0.74	30.0
TH2	CM000650_1	30.296	406	227	10	72	438	545827	544661	4.17e-40	153
thiK	CM000649_1	37.736	53	31	2	23	74	441680	441525	2.4	29.6
TPK1	CM000639_1	35.000	140	67	5	150	266	516026	515610	7.13e-15	74.3
ylmB	CM000638_1	26.829	164	102	4	45	195	2885500	2885024	8.17e-08	54.7
tenA	CM000641_1	32.000	150	95	6	56	198	207846	208295	2.89e-12	65.9
E2.5.1.2	CM000641_1	35.135	37	24	0	298	334	1208914	1208804	0.98	32.0
