#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAAFKC010000129_1:9322-11054 -            548 12626at33634         -            323    2e-113  374.4  22.6   1   3   4.8e-65   1.4e-62  207.2   2.9     1   154    90   274    90   282 0.86 -
JAAFKC010000129_1:9322-11054 -            548 12626at33634         -            323    2e-113  374.4  22.6   2   3   3.7e-28   1.1e-25   86.0   0.3   145   232   294   390   290   403 0.86 -
JAAFKC010000129_1:9322-11054 -            548 12626at33634         -            323    2e-113  374.4  22.6   3   3   2.4e-26     7e-24   80.1   7.9   225   299   408   482   386   537 0.86 -
JAAFKC010004175_1:724-2624   -            568 12626at33634         -            323  5.3e-109  359.8  24.9   1   5   1.1e-21   3.2e-19   64.8   0.9     1    46   108   155   108   159 0.87 -
JAAFKC010004175_1:724-2624   -            568 12626at33634         -            323  5.3e-109  359.8  24.9   2   5   5.8e-44   1.7e-41  138.0   0.3    46   147   175   286   169   295 0.87 -
JAAFKC010004175_1:724-2624   -            568 12626at33634         -            323  5.3e-109  359.8  24.9   3   5   7.8e-28   2.3e-25   85.0   0.3   145   233   320   417   316   435 0.83 -
JAAFKC010004175_1:724-2624   -            568 12626at33634         -            323  5.3e-109  359.8  24.9   4   5   2.9e-28   8.7e-26   86.4   1.3   229   299   438   508   430   520 0.91 -
JAAFKC010004175_1:724-2624   -            568 12626at33634         -            323  5.3e-109  359.8  24.9   5   5     0.041        12    0.4   0.1   302   316   535   549   518   563 0.61 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/12626at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Bacillariophyta_sp_ASM1329908v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_013299085.1_ASM1329908v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Bacillariophyta_sp_ASM1329908v1/run_stramenopiles_odb10/hmmer_output/initial_run_results/12626at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/12626at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Bacillariophyta_sp_ASM1329908v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_013299085.1_ASM1329908v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 17:34:36 2021
# [ok]
