#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QPGO01000169_1:3105-6686       -           1194 693at33634           -            925         0 1541.6  10.9   1   3     2e-90   2.1e-88  291.4   0.9     1   198    71   291    71   325 0.85 -
QPGO01000169_1:3105-6686       -           1194 693at33634           -            925         0 1541.6  10.9   2   3  3.6e-235  3.7e-233  770.4   1.7   213   669   351   887   341   895 0.88 -
QPGO01000169_1:3105-6686       -           1194 693at33634           -            925         0 1541.6  10.9   3   3    1e-147    1e-145  481.0   0.0   671   925   921  1192   892  1192 0.93 -
QPGO01000087_1:111119-114835   -           1188 693at33634           -            925  6.2e-196  647.3   8.3   1   5   1.3e-23   1.4e-21   70.3   0.0    28   149    51   198     1   219 0.75 -
QPGO01000087_1:111119-114835   -           1188 693at33634           -            925  6.2e-196  647.3   8.3   2   5    0.0003     0.031    6.2   0.0   172   199   247   274   235   281 0.88 -
QPGO01000087_1:111119-114835   -           1188 693at33634           -            925  6.2e-196  647.3   8.3   3   5   5.2e-12   5.4e-10   31.9   0.0   216   307   339   436   314   462 0.79 -
QPGO01000087_1:111119-114835   -           1188 693at33634           -            925  6.2e-196  647.3   8.3   4   5     3e-37     3e-35  115.5   0.0   315   476   471   643   465   651 0.88 -
QPGO01000087_1:111119-114835   -           1188 693at33634           -            925  6.2e-196  647.3   8.3   5   5  9.7e-130  9.9e-128  421.5   0.9   474   922   671  1187   666  1188 0.83 -
QPGO01000005_1:1076912-1079622 -            778 693at33634           -            925    7e-104  342.6   0.1   1   3   3.5e-12   3.6e-10   32.5   0.0   301   385    79   166     2   185 0.85 -
QPGO01000005_1:1076912-1079622 -            778 693at33634           -            925    7e-104  342.6   0.1   2   3     1e-94     1e-92  305.6   0.0   451   880   234   692   219   701 0.81 -
QPGO01000005_1:1076912-1079622 -            778 693at33634           -            925    7e-104  342.6   0.1   3   3     0.038       3.9   -0.7   0.0   895   921   747   773   727   777 0.81 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/693at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Psammoneis_japonica_ASM863298v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_008632985.1_ASM863298v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Psammoneis_japonica_ASM863298v1/run_stramenopiles_odb10/hmmer_output/initial_run_results/693at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/693at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Psammoneis_japonica_ASM863298v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_008632985.1_ASM863298v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 16:14:20 2021
# [ok]
