#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_11286:2306-3808  -            270 801857at2759         -            224   2.3e-49  164.0   0.1   1   3   2.5e-15   3.1e-13   45.9   0.0     1    44     1    44     1    68 0.85 -
scaffold_11286:2306-3808  -            270 801857at2759         -            224   2.3e-49  164.0   0.1   2   3   2.4e-36     3e-34  114.5   0.0    54   157    93   202    81   208 0.92 -
scaffold_11286:2306-3808  -            270 801857at2759         -            224   2.3e-49  164.0   0.1   3   3      0.34        42   -0.4   0.0   163   177   228   242   217   266 0.79 -
scaffold_4052:6181-7202   -            311 801857at2759         -            224   4.3e-22   74.8   0.0   1   2   1.7e-23   2.1e-21   72.5   0.0     1   164     4   178     4   188 0.84 -
scaffold_4052:6181-7202   -            311 801857at2759         -            224   4.3e-22   74.8   0.0   2   2      0.31        39   -0.3   0.0   157   174   191   208   181   211 0.81 -
scaffold_4194:3499-3837   -            113 801857at2759         -            224   2.4e-14   49.5   0.0   1   1   2.6e-16   3.3e-14   49.0   0.0     8   102     1   100     1   108 0.75 -
scaffold_5468:1908-2591   -            228 801857at2759         -            224   2.7e-13   46.0   0.1   1   2   5.4e-14   6.8e-12   41.5   0.1    66   157    15   122    10   126 0.73 -
scaffold_5468:1908-2591   -            228 801857at2759         -            224   2.7e-13   46.0   0.1   2   2      0.13        16    1.0   0.0   155   176   136   158   135   208 0.79 -
scaffold_3765:13958-14317 -            120 801857at2759         -            224   2.9e-13   45.9   0.0   1   1     2e-14   2.5e-12   42.9   0.0     7   109     1   119     1   120 0.75 -
scaffold_4045:42731-43138 -            136 801857at2759         -            224   1.7e-12   43.4   0.0   1   2   1.3e-13   1.7e-11   40.2   0.0    99   157     5    68     1    74 0.88 -
scaffold_4045:42731-43138 -            136 801857at2759         -            224   1.7e-12   43.4   0.0   2   2       0.1        13    1.3   0.0   163   178    94   109    81   136 0.75 -
scaffold_7701:2423-3118   -            232 801857at2759         -            224   3.4e-12   42.5   0.1   1   2      0.11        14    1.2   0.0     7    42     1    37     1    45 0.78 -
scaffold_7701:2423-3118   -            232 801857at2759         -            224   3.4e-12   42.5   0.1   2   2   2.8e-13   3.5e-11   39.1   0.0    58   159    91   207    86   213 0.82 -
scaffold_7702:2423-3118   -            232 801857at2759         -            224   3.4e-12   42.5   0.1   1   2      0.11        14    1.2   0.0     7    42     1    37     1    45 0.78 -
scaffold_7702:2423-3118   -            232 801857at2759         -            224   3.4e-12   42.5   0.1   2   2   2.8e-13   3.5e-11   39.1   0.0    58   159    91   207    86   213 0.82 -
scaffold_4100:5042-5959   -            306 801857at2759         -            224   1.5e-07   27.3   0.0   1   3      0.42        52   -0.7   0.0     3    35     6    39     5    50 0.68 -
scaffold_4100:5042-5959   -            306 801857at2759         -            224   1.5e-07   27.3   0.0   2   3       1.1   1.4e+02   -2.1   0.0    58    75    76    93    71   102 0.73 -
scaffold_4100:5042-5959   -            306 801857at2759         -            224   1.5e-07   27.3   0.0   3   3   7.8e-09   9.7e-07   24.6   0.0    76   132   127   188    87   202 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/801857at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_Cyccr1/run_eukaryota_odb10/metaeuk_output/initial_results/Cyccr1_AssemblyScaffolds_Repeatmasked.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_Cyccr1/run_eukaryota_odb10/hmmer_output/initial_run_results/801857at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/801857at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_Cyccr1/run_eukaryota_odb10/metaeuk_output/initial_results/Cyccr1_AssemblyScaffolds_Repeatmasked.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 15:19:23 2021
# [ok]
