#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAACVS010000015_1:148523-150254 -            381 15520at33634         -            299  1.4e-126  415.6   4.0   1   2  2.2e-116  1.5e-114  376.2   0.8     1   242     1   262     1   268 0.92 -
CAACVS010000015_1:148523-150254 -            381 15520at33634         -            299  1.4e-126  415.6   4.0   2   2   3.7e-14   2.5e-12   40.6   0.1   243   298   307   377   294   378 0.83 -
CAACVS010000395_1:233458-234216 -            253 15520at33634         -            299   1.5e-20   67.6   0.2   1   2   1.3e-21   8.9e-20   65.0   0.1   135   238     5   118     1   127 0.82 -
CAACVS010000395_1:233458-234216 -            253 15520at33634         -            299   1.5e-20   67.6   0.2   2   2     0.071       4.8    0.2   0.0   277   294   234   251   206   253 0.76 -
CAACVS010000500_1:8783-9541     -            253 15520at33634         -            299   1.5e-20   67.6   0.2   1   2   1.3e-21   8.9e-20   65.0   0.1   135   238     5   118     1   127 0.82 -
CAACVS010000500_1:8783-9541     -            253 15520at33634         -            299   1.5e-20   67.6   0.2   2   2     0.071       4.8    0.2   0.0   277   294   234   251   206   253 0.76 -
CAACVS010000238_1:7916-8845     -            310 15520at33634         -            299   1.4e-18   61.0   0.1   1   2   5.7e-12   3.9e-10   33.4   0.1     1   180     1   195     1   199 0.75 -
CAACVS010000238_1:7916-8845     -            310 15520at33634         -            299   1.4e-18   61.0   0.1   2   2   1.2e-09   8.1e-08   25.8   0.0   199   237   253   291   225   303 0.85 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/15520at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Pseudo-nitzschia_multistriata_ASM90066040v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_900660405.1_ASM90066040v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Pseudo-nitzschia_multistriata_ASM90066040v1/run_stramenopiles_odb10/hmmer_output/initial_run_results/15520at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/15520at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Pseudo-nitzschia_multistriata_ASM90066040v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_900660405.1_ASM90066040v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Thu Apr 15 15:02:52 2021
# [ok]
