#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_124:121988-123478 -            497 6436at33634          -            420  2.6e-224  738.4   0.1   1   1  6.4e-225  4.4e-224  737.6   0.1     9   417    22   460     4   463 0.92 -
scaffold_47:236121-238184  -            688 6436at33634          -            420   6.2e-99  325.4   0.0   1   1   1.1e-99   7.9e-99  325.0   0.0     8   418    46   506    39   508 0.83 -
scaffold_19:332789-334000  -            404 6436at33634          -            420   4.2e-79  260.0   0.1   1   1     8e-80   5.6e-79  259.6   0.1    10   325    30   366    23   393 0.87 -
scaffold_3:649406-650956   -            517 6436at33634          -            420   2.4e-64  211.4   0.2   1   2   1.3e-36   9.2e-36  117.3   2.0     9   186    24   234    17   252 0.83 -
scaffold_3:649406-650956   -            517 6436at33634          -            420   2.4e-64  211.4   0.2   2   2   1.3e-26   8.8e-26   84.4   0.0   212   409   289   511   286   517 0.76 -
scaffold_73:341320-342756  -            479 6436at33634          -            420   6.1e-64  210.1   0.5   1   1   1.2e-64   8.6e-64  209.6   0.5    11   402    28   466    20   478 0.80 -
scaffold_175:8008-9123     -            372 6436at33634          -            420   1.7e-62  205.3   0.6   1   1   5.4e-63   3.8e-62  204.2   0.6    10   310    35   369    29   372 0.84 -
scaffold_19:590437-592449  -            671 6436at33634          -            420   3.2e-60  197.8   0.1   1   4   9.7e-29   6.7e-28   91.4   0.0    27   172    76   263    47   268 0.74 -
scaffold_19:590437-592449  -            671 6436at33634          -            420   3.2e-60  197.8   0.1   2   4   4.6e-05   0.00032   13.4   0.0   183   234   317   372   313   382 0.85 -
scaffold_19:590437-592449  -            671 6436at33634          -            420   3.2e-60  197.8   0.1   3   4   3.4e-24   2.4e-23   76.4   0.0   237   327   412   512   409   525 0.83 -
scaffold_19:590437-592449  -            671 6436at33634          -            420   3.2e-60  197.8   0.1   4   4   0.00021    0.0014   11.2   0.0   357   403   621   670   594   671 0.86 -
scaffold_63:129120-130664  -            515 6436at33634          -            420     7e-57  186.8   4.0   1   3     1e-27   7.3e-27   88.0   0.1     8   166    20   208    13   237 0.74 -
scaffold_63:129120-130664  -            515 6436at33634          -            420     7e-57  186.8   4.0   2   3   5.9e-30   4.1e-29   95.4   0.7   181   333   269   444   243   460 0.78 -
scaffold_63:129120-130664  -            515 6436at33634          -            420     7e-57  186.8   4.0   3   3       2.5        17   -2.2   0.0   347   378   480   511   469   515 0.68 -
scaffold_564:61194-62469   -            373 6436at33634          -            420   1.8e-56  185.5   0.0   1   1   3.2e-57   2.2e-56  185.2   0.0     4   325    16   370    13   372 0.81 -
scaffold_226:15134-16658   -            396 6436at33634          -            420   1.6e-53  175.8   0.0   1   2   2.1e-10   1.5e-09   30.9   0.0    14    49    25    60    14    70 0.91 -
scaffold_226:15134-16658   -            396 6436at33634          -            420   1.6e-53  175.8   0.0   2   2   2.5e-44   1.7e-43  142.7   0.0    60   314   108   389   104   396 0.80 -
scaffold_14:419061-421330  -            355 6436at33634          -            420   1.3e-52  172.8   0.0   1   1   2.3e-53   1.6e-52  172.5   0.0    13   309    36   353    25   355 0.86 -
scaffold_890:60802-61911   -            370 6436at33634          -            420   3.6e-52  171.3   0.0   1   1   1.1e-52   7.4e-52  170.3   0.0    13   309    24   369    13   370 0.77 -
scaffold_8:444706-446652   -            568 6436at33634          -            420   9.8e-51  166.6   0.5   1   3   3.7e-16   2.6e-15   49.9   0.0     9    77    19    94    11   104 0.84 -
scaffold_8:444706-446652   -            568 6436at33634          -            420   9.8e-51  166.6   0.5   2   3   7.5e-15   5.2e-14   45.6   0.1    86   175   124   228   118   242 0.79 -
scaffold_8:444706-446652   -            568 6436at33634          -            420   9.8e-51  166.6   0.5   3   3   3.4e-21   2.4e-20   66.5   0.0   208   322   303   421   291   447 0.90 -
scaffold_211:9996-11486    -            378 6436at33634          -            420     4e-49  161.3   0.2   1   2     2e-34   1.4e-33  110.1   0.0    11   187    12   207     3   237 0.79 -
scaffold_211:9996-11486    -            378 6436at33634          -            420     4e-49  161.3   0.2   2   2   5.3e-16   3.7e-15   49.4   0.1   208   314   254   364   250   372 0.86 -
scaffold_21:279330-280481  -            355 6436at33634          -            420   1.1e-48  159.9   0.0   1   2   1.1e-30   7.9e-30   97.7   0.0    13   172     5   186     2   206 0.79 -
scaffold_21:279330-280481  -            355 6436at33634          -            420   1.1e-48  159.9   0.0   2   2   2.5e-19   1.7e-18   60.4   0.0   235   316   272   354   214   355 0.84 -
scaffold_79:270194-271333  -            380 6436at33634          -            420   1.2e-48  159.7   0.0   1   1   2.9e-49     2e-48  159.0   0.0    13   321    23   369    17   374 0.81 -
scaffold_8:560035-561577   -            454 6436at33634          -            420   3.6e-48  158.2   1.1   1   3   5.9e-19   4.1e-18   59.1   0.1    11   122    26   157    18   165 0.71 -
scaffold_8:560035-561577   -            454 6436at33634          -            420   3.6e-48  158.2   1.1   2   3   1.7e-08   1.1e-07   24.7   0.3   118   174   185   243   180   249 0.89 -
scaffold_8:560035-561577   -            454 6436at33634          -            420   3.6e-48  158.2   1.1   3   3   1.3e-22   8.8e-22   71.2   0.0   187   316   311   453   302   454 0.81 -
scaffold_402:17858-19159   -            434 6436at33634          -            420     1e-47  156.7   0.1   1   2   2.4e-28   1.6e-27   90.1   0.0     9   170    30   220    23   226 0.79 -
scaffold_402:17858-19159   -            434 6436at33634          -            420     1e-47  156.7   0.1   2   2   1.7e-20   1.2e-19   64.2   0.0   238   317   346   426   337   431 0.91 -
scaffold_64:61445-62986    -            514 6436at33634          -            420   7.2e-46  150.6   0.0   1   2   7.2e-24     5e-23   75.3   0.0    13   172    35   213    24   217 0.78 -
scaffold_64:61445-62986    -            514 6436at33634          -            420   7.2e-46  150.6   0.0   2   2   3.7e-23   2.5e-22   73.0   0.0   209   320   358   470   357   477 0.93 -
scaffold_392:15957-16916   -            320 6436at33634          -            420   3.1e-44  145.2   2.3   1   1   5.4e-45   3.7e-44  144.9   2.3    38   323     1   305     1   316 0.82 -
scaffold_17:350729-352042  -            438 6436at33634          -            420   4.6e-44  144.6   0.1   1   3   1.1e-14   7.4e-14   45.1   0.0    13    86    27   108    21   122 0.83 -
scaffold_17:350729-352042  -            438 6436at33634          -            420   4.6e-44  144.6   0.1   2   3     7e-10   4.8e-09   29.2   0.0    89   150   145   213   140   240 0.81 -
scaffold_17:350729-352042  -            438 6436at33634          -            420   4.6e-44  144.6   0.1   3   3   2.9e-21     2e-20   66.8   0.0   144   316   252   437   242   438 0.79 -
scaffold_153:150978-152248 -            358 6436at33634          -            420   5.7e-44  144.3   0.1   1   1     1e-44   7.2e-44  144.0   0.1    13   315    23   347    17   354 0.82 -
scaffold_1401:2378-3859    -            273 6436at33634          -            420   3.4e-43  141.8   0.1   1   2     1e-26     7e-26   84.7   0.1    24   161     2   164     1   167 0.79 -
scaffold_1401:2378-3859    -            273 6436at33634          -            420   3.4e-43  141.8   0.1   2   2   8.7e-18     6e-17   55.3   0.0   235   321   172   262   165   272 0.83 -
scaffold_79:176353-177516  -            388 6436at33634          -            420   3.7e-40  131.8   0.0   1   2   7.8e-20   5.4e-19   62.0   0.0    37   148     1   131     1   141 0.76 -
scaffold_79:176353-177516  -            388 6436at33634          -            420   3.7e-40  131.8   0.0   2   2   1.6e-21   1.1e-20   67.6   0.0   184   308   249   388   220   388 0.84 -
scaffold_203:196379-197931 -            431 6436at33634          -            420   8.8e-38  123.9   0.1   1   2   5.5e-28   3.8e-27   88.9   0.1    11   209    27   262    20   285 0.72 -
scaffold_203:196379-197931 -            431 6436at33634          -            420   8.8e-38  123.9   0.1   2   2   5.4e-11   3.7e-10   32.9   0.0   270   317   374   421   371   431 0.89 -
scaffold_37:377086-378409  -            313 6436at33634          -            420   7.3e-36  117.6   0.5   1   2   1.3e-20     9e-20   64.6   0.1    13   151     3   178     1   210 0.69 -
scaffold_37:377086-378409  -            313 6436at33634          -            420   7.3e-36  117.6   0.5   2   2   9.4e-15   6.5e-14   45.3   0.0   246   313   245   313   240   313 0.84 -
scaffold_1121:22283-23881  -            467 6436at33634          -            420   2.3e-35  116.0   0.0   1   3   1.9e-13   1.3e-12   41.0   0.0    12   121    24   161    16   174 0.68 -
scaffold_1121:22283-23881  -            467 6436at33634          -            420   2.3e-35  116.0   0.0   2   3   1.2e-05   8.2e-05   15.3   0.0   117   168   219   272   213   285 0.84 -
scaffold_1121:22283-23881  -            467 6436at33634          -            420   2.3e-35  116.0   0.0   3   3   2.5e-17   1.7e-16   53.8   0.0   163   312   310   465   293   467 0.82 -
scaffold_53:52921-54453    -            511 6436at33634          -            420   1.1e-33  110.4   0.0   1   3   1.3e-12   8.9e-12   38.3   0.0    23   103    18   103     8   107 0.79 -
scaffold_53:52921-54453    -            511 6436at33634          -            420   1.1e-33  110.4   0.0   2   3   2.5e-10   1.8e-09   30.7   0.0   105   150   162   215   157   220 0.88 -
scaffold_53:52921-54453    -            511 6436at33634          -            420   1.1e-33  110.4   0.0   3   3   2.1e-12   1.5e-11   37.5   0.0   257   313   455   511   396   511 0.71 -
scaffold_27:513652-514905  -            418 6436at33634          -            420     2e-32  106.2   0.0   1   2   9.4e-20   6.5e-19   61.8   0.0     8   163     6   192     3   203 0.73 -
scaffold_27:513652-514905  -            418 6436at33634          -            420     2e-32  106.2   0.0   2   2   8.8e-14   6.1e-13   42.1   0.0   237   302   341   418   314   418 0.82 -
scaffold_10:667009-667830  -            274 6436at33634          -            420   1.2e-31  103.7   0.2   1   1   2.3e-32   1.6e-31  103.3   0.2    91   323     4   254     2   266 0.82 -
scaffold_2:519414-520816   -            415 6436at33634          -            420   1.3e-31  103.6   0.4   1   2     2e-21   1.4e-20   67.3   0.2    15   166    51   228    44   243 0.76 -
scaffold_2:519414-520816   -            415 6436at33634          -            420   1.3e-31  103.6   0.4   2   2     4e-11   2.8e-10   33.3   0.0   212   307   306   404   275   414 0.77 -
scaffold_210:85063-86440   -            374 6436at33634          -            420   5.5e-30   98.2   0.1   1   1   4.2e-30   2.9e-29   95.9   0.1    12   312     3   357     1   367 0.73 -
