iscS	CAACVS010000060_1	78.972	428	62	1	1	400	115099	116382	0.0	676
thiF	CAACVS010000650_1	40.828	169	95	3	45	210	48578	49078	6.88e-31	111
thiI	CAACVS010000011_1	31.746	63	43	0	92	154	151416	151228	2.0	32.0
dxs	CAACVS010000420_1	76.045	718	108	4	76	730	9899	7749	0.0	1108
thiH	CAACVS010000069_1	24.051	158	107	7	85	234	71025	70567	2.4	31.2
thiO	CAACVS010000647_1	28.653	349	205	13	39	349	129447	128419	1.75e-27	115
thiG	CAACVS010000225_1	33.333	63	41	1	159	221	226241	226056	0.63	32.3
tenI	CAACVS010000225_1	30.275	109	72	3	89	193	226382	226056	4.18e-06	47.4
thiM	CAACVS010000130_1	41.860	43	24	1	125	167	503	378	1.2	31.6
THI6	CAACVS010000225_1	38.333	60	36	1	38	96	226592	226413	0.002	41.6
THI4	CAACVS010000694_1	50.000	36	13	1	87	117	72267	72374	0.20	34.7
thi4	CAACVS010000552_1	61.290	31	12	0	31	61	4817	4909	0.001	41.2
THI20	CAACVS010000225_1	33.453	278	137	5	24	256	227792	226968	1.78e-24	109
thiD	CAACVS010000225_1	30.625	320	147	10	19	266	227747	226797	1.74e-28	114
thiDE	CAACVS010000225_1	33.725	255	115	6	337	539	227732	226974	1.53e-26	116
thiDN	CAACVS010000225_1	38.122	181	104	2	4	177	227789	227250	1.31e-24	108
thiC	CAACVS010000170_1	82.382	613	97	5	11	617	17613	15790	0.0	1019
THI5	CAACVS010000190_1	44.444	36	19	1	254	288	1694	1801	3.2	30.4
thiE	CAACVS010000225_1	38.071	197	108	6	9	194	226664	226083	1.81e-27	109
thiN	CAACVS010000063_1	31.034	58	38	1	122	179	117790	117623	0.042	35.0
thiL	CAACVS010000043_1	45.000	20	11	0	306	325	120465	120524	3.5	30.4
NTPCR	CAACVS010000418_1	32.189	233	94	9	7	178	14350	13661	2.66e-16	76.3
rsgA	CAACVS010000274_1	38.333	120	52	5	142	247	10576	10241	6.13e-08	54.7
adk	CAACVS010000582_1	72.350	217	58	1	92	306	72270	72920	1.91e-96	312
THTPA	CAACVS010000467_1	32.476	311	142	13	26	278	10869	11771	6.39e-30	119
phoA	CAACVS010000261_1	28.947	76	53	1	324	398	1831	2058	7.7	30.0
PHO	CAACVS010000084_1	29.167	72	45	1	364	435	64484	64287	1.5	32.3
PHO5_11_12	CAACVS010000683_1	35.185	54	27	4	289	341	111596	111736	0.94	32.7
ACP1	CAACVS010000367_1	26.471	34	25	0	64	97	10889	10788	0.43	31.2
TH2	CAACVS010000247_1	42.746	386	162	9	72	433	19292	20344	2.63e-74	254
thiK	CAACVS010000506_1	36.667	60	34	1	120	179	75816	75983	3.9	29.6
TPK1	CAACVS010000214_1	28.472	288	134	11	3	266	191073	190354	3.84e-20	90.5
TENA_E	CAACVS010000218_1	56.000	25	11	0	14	38	17584	17658	3.2	28.9
ylmB	CAACVS010000330_1	25.188	266	179	8	12	261	2160	2945	7.00e-09	58.9
tenA	CAACVS010000564_1	22.680	194	136	5	18	197	14790	15371	1.73e-06	49.3
E2.5.1.2	CAACVS010000077_1	22.807	171	102	7	317	460	76047	76550	1.4	32.3
