iscS	QAXC01000004_1	51.316	380	181	3	2	379	1244682	1245815	4.93e-119	380
thiF	QAXC01000003_1	52.245	245	116	1	1	244	1209414	1208680	2.14e-72	239
thiI	QAXC01000024_1	57.851	484	202	1	1	482	27446	28897	0.0	582
dxs	QAXC01000004_1	41.854	669	321	14	54	716	1443312	1441492	6.95e-157	504
thiH	QAXC01000003_1	61.644	365	139	1	3	367	1207700	1206609	2.06e-147	461
thiO	QAXC01000031_1	28.629	248	171	5	121	364	794377	793640	2.42e-15	77.8
thiG	QAXC01000003_1	69.565	253	77	0	1	253	1208467	1207709	1.91e-112	355
tenI	QAXC01000003_1	32.075	106	68	3	95	197	1209733	1209419	2.57e-07	50.1
thiM	QAXC01003315_1	38.865	229	121	3	9	237	644	15	2.07e-30	118
THI6	QAXC01003315_1	27.753	227	113	8	254	475	623	81	6.66e-10	61.2
THI4	QAXC01000002_1	40.476	42	25	0	91	132	500074	500199	6.01e-04	41.6
thi4	QAXC01000035_1	38.462	52	30	1	14	63	1002996	1003151	0.005	38.5
THI20	QAXC01003237_1	32.946	258	160	7	40	296	192	929	8.25e-31	122
thiD	QAXC01003237_1	52.672	262	123	1	6	266	150	935	3.09e-80	244
thiDE	QAXC01003237_1	40.329	243	141	4	337	578	204	923	9.47e-44	159
thiDN	QAXC01003237_1	42.692	260	145	3	1	256	138	917	9.88e-38	140
thiC	QAXC01000003_1	61.444	568	142	5	109	599	1212623	1210920	0.0	677
THI5	QAXC01001892_1	26.394	269	179	5	2	266	1159	398	1.72e-29	119
thiE	QAXC01000003_1	61.084	203	73	1	7	203	1210039	1209431	1.26e-67	224
thiN	QAXC01000004_1	30.769	39	26	1	49	87	24460	24347	1.9	29.3
thiL	QAXC01000004_1	52.648	321	147	5	5	323	1432294	1433247	1.04e-101	327
NTPCR	QAXC01000017_1	21.429	168	88	4	7	170	48715	49098	0.33	31.2
rsgA	QAXC01000003_1	37.073	205	114	5	50	247	166944	166354	1.44e-30	121
adk	QAXC01000003_1	41.296	247	118	4	71	306	1556361	1557053	2.62e-51	182
THTPA	QAXC01001788_1	29.412	51	36	0	120	170	3	155	4.0	28.5
phoA	QAXC01000023_1	36.120	299	165	6	42	338	62806	63630	7.15e-31	127
PHO	QAXC01006141_1	37.500	72	41	3	271	342	2310	2107	0.11	34.7
PHO5_11_12	QAXC01002905_1	34.483	58	37	1	153	209	938	1111	1.6	30.8
ACP1	QAXC01006285_1	41.401	157	89	2	1	156	1578	1114	1.19e-34	127
TH2	QAXC01002861_1	37.037	27	17	0	77	103	671	591	8.6	28.5
thiK	QAXC01000003_1	24.242	231	153	8	22	238	1431607	1432275	0.030	35.8
TPK1	QAXC01006350_1	50.000	24	12	0	1	24	913	842	7.0	28.1
TENA_E	QAXC01003760_1	40.000	35	18	2	89	121	4213	4314	1.0	29.6
ylmB	QAXC01002049_1	27.740	447	253	19	1	412	1821	586	9.52e-25	106
tenA	QAXC01006055_1	32.927	164	103	4	49	207	1646	2131	1.88e-18	83.6
E2.5.1.2	QAXC01005025_1	40.000	35	21	0	112	146	525	629	0.27	33.5
