#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAACVS010000001_1:205218-210080 -           1272 179362at2759         -            938  1.8e-171  567.4  97.6   1   3   1.5e-85   5.4e-84  277.9  10.8     1   342     7   373     7   425 0.79 -
CAACVS010000001_1:205218-210080 -           1272 179362at2759         -            938  1.8e-171  567.4  97.6   2   3   2.3e-06   8.3e-05   15.9  67.9   208   753   448  1025   436  1028 0.64 -
CAACVS010000001_1:205218-210080 -           1272 179362at2759         -            938  1.8e-171  567.4  97.6   3   3   6.8e-89   2.4e-87  289.0  10.7   684   928   983  1232   982  1237 0.90 -
CAACVS010000499_1:98738-100369  -            544 179362at2759         -            938   1.1e-08   28.7   5.4   1   5    0.0016     0.056    6.5   0.7    25    60    21    52    21    97 0.86 -
CAACVS010000499_1:98738-100369  -            544 179362at2759         -            938   1.1e-08   28.7   5.4   2   5     0.012      0.43    3.6   0.0   864   891   155   182   154   192 0.88 -
CAACVS010000499_1:98738-100369  -            544 179362at2759         -            938   1.1e-08   28.7   5.4   3   5      0.43        15   -1.5   0.6   340   733   245   272   208   291 0.37 -
CAACVS010000499_1:98738-100369  -            544 179362at2759         -            938   1.1e-08   28.7   5.4   4   5     0.019      0.65    3.0   0.0    24    41   352   369   351   378 0.88 -
CAACVS010000499_1:98738-100369  -            544 179362at2759         -            938   1.1e-08   28.7   5.4   5   5   1.9e-05   0.00068   12.9   0.0   876   927   469   516   457   520 0.84 -
CAACVS010000081_1:94063-95595   -            511 179362at2759         -            938   3.6e-08   27.0   7.2   1   5    0.0025     0.089    5.9   0.0    25    58    22    55    21    96 0.82 -
CAACVS010000081_1:94063-95595   -            511 179362at2759         -            938   3.6e-08   27.0   7.2   2   5      0.54        19   -1.8   0.1   877   925   125   167   123   176 0.72 -
CAACVS010000081_1:94063-95595   -            511 179362at2759         -            938   3.6e-08   27.0   7.2   3   5   2.5e-06   8.7e-05   15.8   0.1    24    58   269   300   268   306 0.93 -
CAACVS010000081_1:94063-95595   -            511 179362at2759         -            938   3.6e-08   27.0   7.2   4   5       1.4        49   -3.2   0.3   275   319   375   419   337   433 0.64 -
CAACVS010000081_1:94063-95595   -            511 179362at2759         -            938   3.6e-08   27.0   7.2   5   5    0.0012     0.041    7.0   0.0   857   901   457   495   451   509 0.88 -
CAACVS010000203_1:118274-119875 -            534 179362at2759         -            938   4.6e-08   26.7   2.1   1   4      0.28       9.7   -0.9   0.0    25    42    25    42    25    68 0.76 -
CAACVS010000203_1:118274-119875 -            534 179362at2759         -            938   4.6e-08   26.7   2.1   2   4   3.1e-05    0.0011   12.2   0.1   864   899   123   158   122   177 0.87 -
CAACVS010000203_1:118274-119875 -            534 179362at2759         -            938   4.6e-08   26.7   2.1   3   4     0.041       1.5    1.8   0.0    26    40   273   287   271   303 0.79 -
CAACVS010000203_1:118274-119875 -            534 179362at2759         -            938   4.6e-08   26.7   2.1   4   4   0.00025    0.0089    9.2   0.0   877   925   492   533   482   534 0.84 -
CAACVS010000210_1:43835-45667   -            611 179362at2759         -            938   9.9e-08   25.6   0.8   1   6      0.75        26   -2.3   0.1    26    49    30    50    29    51 0.82 -
CAACVS010000210_1:43835-45667   -            611 179362at2759         -            938   9.9e-08   25.6   0.8   2   6    0.0019     0.068    6.2   1.7   340   396    86   145    64   161 0.58 -
CAACVS010000210_1:43835-45667   -            611 179362at2759         -            938   9.9e-08   25.6   0.8   3   6   1.1e-06   3.8e-05   17.0   0.3   864   927   193   249   192   259 0.84 -
CAACVS010000210_1:43835-45667   -            611 179362at2759         -            938   9.9e-08   25.6   0.8   4   6       3.4   1.2e+02   -4.5   7.3   237   645   271   320   248   341 0.38 -
CAACVS010000210_1:43835-45667   -            611 179362at2759         -            938   9.9e-08   25.6   0.8   5   6     0.014      0.48    3.4   0.2    25    54   449   475   447   485 0.74 -
CAACVS010000210_1:43835-45667   -            611 179362at2759         -            938   9.9e-08   25.6   0.8   6   6   3.5e-06   0.00012   15.3   0.0   864   901   554   592   548   594 0.90 -
CAACVS010000055_1:110378-110716 -            113 179362at2759         -            938   3.7e-06   20.4   0.5   1   1   1.2e-07   4.3e-06   20.1   0.5   877   923    73   112    59   113 0.85 -
CAACVS010000190_1:16471-17958   -            496 179362at2759         -            938   7.1e-05   16.1   3.2   1   2   0.00088     0.031    7.4   0.2   864   909   130   175   127   185 0.90 -
CAACVS010000190_1:16471-17958   -            496 179362at2759         -            938   7.1e-05   16.1   3.2   2   2   0.00031     0.011    8.9   0.4   864   918   413   464   409   475 0.91 -
CAACVS010000220_1:25625-26440   -            272 179362at2759         -            938   0.00015   15.0   0.8   1   2      0.13       4.4    0.2   0.0    25    40    25    40    24    79 0.73 -
CAACVS010000220_1:25625-26440   -            272 179362at2759         -            938   0.00015   15.0   0.8   2   2   1.8e-05   0.00065   12.9   0.2   864   926   183   242   183   247 0.89 -
CAACVS010000226_1:174591-174857 -             89 179362at2759         -            938   0.00026   14.2   0.0   1   1   7.8e-06   0.00028   14.2   0.0   867   920    34    84    31    89 0.78 -
CAACVS010000170_1:104354-105307 -            281 179362at2759         -            938   0.00046   13.4  13.4   1   3    0.0021     0.075    6.1   0.5    25    53    34    58    34    67 0.78 -
CAACVS010000170_1:104354-105307 -            281 179362at2759         -            938   0.00046   13.4  13.4   2   3     0.019      0.67    3.0   5.2   586   658    71   143    64   156 0.72 -
CAACVS010000170_1:104354-105307 -            281 179362at2759         -            938   0.00046   13.4  13.4   3   3   0.00052     0.018    8.1   0.0   864   926   176   231   175   235 0.82 -
CAACVS010000235_1:3346-3615     -             90 179362at2759         -            938   0.00089   12.5   0.0   1   1   2.5e-05   0.00089   12.5   0.0   877   900    36    59    17    79 0.92 -
CAACVS010000365_1:31937-33863   -            530 179362at2759         -            938    0.0015   11.7   0.0   1   6     0.041       1.4    1.9   0.1    25    40    17    32    17    38 0.89 -
CAACVS010000365_1:31937-33863   -            530 179362at2759         -            938    0.0015   11.7   0.0   2   6     0.085         3    0.8   0.3   569   622    66   119    41   146 0.57 -
