iscS	QAXB01029371_1	82.270	141	25	0	57	197	1	423	3.09e-83	251
thiF	QAXB01048911_1	40.773	233	131	5	5	232	2097	1405	4.26e-40	147
thiI	QAXB01053248_1	34.043	47	29	1	71	115	340	200	0.16	35.0
dxs	QAXB01007216_1	91.971	137	11	0	167	303	411	1	1.40e-83	261
thiH	QAXB01054450_1	38.824	85	48	2	69	152	440	195	7.65e-13	70.5
thiO	QAXB01035153_1	24.149	323	205	12	21	310	55	1002	1.85e-11	66.2
thiG	QAXB01000020_1	39.394	33	20	0	84	116	885	787	2.8	29.6
tenI	QAXB01038369_1	39.286	28	17	0	55	82	1504	1587	4.5	28.9
thiM	QAXB01025935_1	40.000	25	15	0	222	246	495	421	8.2	28.1
THI6	QAXB01030865_1	32.203	59	39	1	39	96	118	294	0.026	35.8
THI4	QAXB01053235_1	45.946	37	18	1	94	130	655	759	3.1	30.4
thi4	QAXB01052579_1	53.333	30	14	0	33	62	364	275	0.002	40.0
THI20	QAXB01048656_1	18.090	199	161	2	346	544	621	1211	0.003	40.8
thiD	QAXB01026048_1	25.253	99	62	5	104	199	360	91	3.4	28.5
thiDE	QAXB01048656_1	26.108	203	140	5	21	221	630	1214	6.17e-08	56.2
thiDN	QAXB01043945_1	30.864	81	52	3	101	179	2697	2461	5.48e-04	43.1
thiC	QAXB01016109_1	38.235	34	21	0	223	256	145	44	1.3	30.0
THI5	QAXB01032885_1	37.255	51	32	0	5	55	1559	1711	4.35e-04	42.4
thiE	QAXB01030865_1	41.379	116	55	4	8	110	19	366	3.64e-14	67.0
thiN	QAXB01018380_1	40.000	30	18	0	107	136	14	103	0.95	28.9
thiL	QAXB01054705_1	24.615	65	44	1	148	207	928	734	1.0	32.0
NTPCR	QAXB01032462_1	31.532	111	62	2	82	178	1	333	3.45e-09	55.5
rsgA	QAXB01016216_1	30.769	130	62	7	120	228	171	539	0.31	33.1
adk	QAXB01033134_1	67.500	160	16	1	120	243	3	482	5.26e-67	207
THTPA	QAXB01048104_1	35.827	254	134	12	40	275	519	1247	1.37e-35	133
phoA	QAXB01002614_1	33.333	63	42	0	111	173	363	175	0.007	38.5
PHO	QAXB01034622_1	26.667	75	45	1	290	364	466	272	0.022	37.4
PHO5_11_12	QAXB01035013_1	29.070	86	47	2	133	207	1672	1424	0.16	35.0
ACP1	QAXB01053647_1	23.333	90	66	1	42	128	311	580	0.60	30.4
TH2	QAXB01054039_1	35.635	362	154	8	71	432	1553	705	1.96e-53	192
thiK	QAXB01003861_1	48.148	27	13	1	167	192	314	394	6.2	28.1
TPK1	QAXB01047145_1	27.322	183	76	5	20	198	439	50	5.71e-14	71.2
TENA_E	QAXB01048994_1	38.235	34	21	0	13	46	1988	2089	5.8	28.1
ylmB	QAXB01042305_1	30.464	151	95	5	46	188	38	484	3.53e-08	55.1
tenA	QAXB01048656_1	22.843	197	135	7	47	230	633	1211	6.51e-04	40.8
E2.5.1.2	QAXB01037108_1	33.962	53	33	2	18	70	338	186	3.3	30.0
