#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sro_contig82:35518-37082   -            413 12382at33634         -            378    1e-199  657.1   0.0   1   1  1.7e-200  1.2e-199  656.9   0.0     2   378    19   412    18   412 0.97 -
Sro_contig72:48932-50577   -            517 12382at33634         -            378     6e-94  309.0   0.6   1   3   1.9e-49   1.3e-48  159.8   0.0     2   185    38   233    37   239 0.90 -
Sro_contig72:48932-50577   -            517 12382at33634         -            378     6e-94  309.0   0.6   2   3    0.0039     0.026    7.4   0.0   202   226   301   325   296   332 0.87 -
Sro_contig72:48932-50577   -            517 12382at33634         -            378     6e-94  309.0   0.6   3   3   5.4e-43   3.7e-42  138.6   0.3   233   377   364   515   358   516 0.91 -
Sro_contig1516:14267-15970 -            498 12382at33634         -            378   2.8e-76  250.9   0.1   1   1   4.9e-77   3.3e-76  250.6   0.1    14   339    12   359     1   412 0.86 -
Sro_contig2115:12296-13467 -            365 12382at33634         -            378   2.7e-73  241.0   0.0   1   1   4.5e-74   3.1e-73  240.9   0.0    17   348     8   364     1   365 0.87 -
Sro_contig625:47093-49416  -            744 12382at33634         -            378   6.5e-70  229.9   0.0   1   1   1.5e-70   9.9e-70  229.3   0.0    25   342    63   406    40   441 0.87 -
Sro_contig1103:31609-32887 -            357 12382at33634         -            378   2.4e-69  228.0   0.0   1   1   8.9e-70   6.1e-69  226.7   0.0    17   332     8   356     1   357 0.85 -
Sro_contig1046:22160-23449 -            395 12382at33634         -            378   1.4e-68  225.6   0.0   1   2   1.8e-43   1.2e-42  140.2   0.0     3   203     2   225     1   256 0.82 -
Sro_contig1046:22160-23449 -            395 12382at33634         -            378   1.4e-68  225.6   0.0   2   2     3e-26   2.1e-25   83.5   0.0   231   336   284   393   279   395 0.91 -
Sro_contig902:34549-35529  -            327 12382at33634         -            378   8.3e-65  213.1   0.4   1   1   1.5e-65     1e-64  212.8   0.4    46   355     8   323     5   326 0.93 -
Sro_contig78:34861-35958   -            366 12382at33634         -            378   4.4e-64  210.7   0.0   1   1   8.2e-65   5.6e-64  210.4   0.0     3   335     6   363     4   366 0.89 -
Sro_contig59:11884-13202   -            319 12382at33634         -            378   1.9e-62  205.4   0.0   1   1     3e-63   2.1e-62  205.2   0.0    41   338     1   315     1   319 0.90 -
Sro_contig316:24734-26119  -            353 12382at33634         -            378   4.8e-62  204.0   1.0   1   3   2.5e-06   1.7e-05   17.9   0.0     3    57    16    74    14    91 0.84 -
Sro_contig316:24734-26119  -            353 12382at33634         -            378   4.8e-62  204.0   1.0   2   3     2e-25   1.4e-24   80.7   0.1   104   203    97   201    87   205 0.91 -
Sro_contig316:24734-26119  -            353 12382at33634         -            378   4.8e-62  204.0   1.0   3   3   3.8e-32   2.6e-31  102.9   0.1   222   334   240   353   209   353 0.85 -
Sro_contig1521:6430-7830   -            467 12382at33634         -            378   9.7e-58  189.9   0.8   1   1   1.9e-58   1.3e-57  189.4   0.8    20   356    14   390     5   410 0.80 -
Sro_contig47:134785-136189 -            412 12382at33634         -            378   1.1e-57  189.7   0.3   1   2    0.0021     0.014    8.3   0.0     2    49     9    60     8    63 0.86 -
Sro_contig47:134785-136189 -            412 12382at33634         -            378   1.1e-57  189.7   0.3   2   2   2.1e-55   1.4e-54  179.4   0.4    49   355    97   410    89   412 0.92 -
