#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAACVS010000200_1:21211-22292 -            288 15242at33634         -            206  1.3e-106  348.7   2.6   1   1  5.5e-108  1.6e-106  348.4   2.6    11   203    67   265    52   275 0.95 -
CAACVS010000207_1:44510-45154 -            215 15242at33634         -            206   3.1e-66  216.9   2.9   1   1     1e-66   3.2e-65  213.6   2.9    18   200     1   205     1   211 0.89 -
CAACVS010000351_1:24897-25739 -            281 15242at33634         -            206   2.9e-27   89.6   0.3   1   1   1.3e-28   3.9e-27   89.2   0.3    22   203    31   217    22   219 0.92 -
CAACVS010000092_1:1706-2801   -            193 15242at33634         -            206   2.9e-27   89.6   1.7   1   1   5.4e-27   1.6e-25   83.9   1.7    20   198    20   191     2   193 0.84 -
CAACVS010000193_1:67147-68242 -            193 15242at33634         -            206   2.9e-27   89.6   1.7   1   1   5.4e-27   1.6e-25   83.9   1.7    20   198    20   191     2   193 0.84 -
CAACVS010000326_1:11170-11826 -            219 15242at33634         -            206   7.8e-14   45.8   0.3   1   2   1.6e-07   4.9e-06   20.3   0.1    23    60     1    38     1    42 0.96 -
CAACVS010000326_1:11170-11826 -            219 15242at33634         -            206   7.8e-14   45.8   0.3   2   2   1.3e-08   3.9e-07   23.9   0.0    69   200    70   219    52   219 0.74 -
CAACVS010000480_1:80434-81282 -            226 15242at33634         -            206   2.8e-12   40.7   0.0   1   1     8e-13   2.4e-11   37.6   0.0    21   177    32   205    17   223 0.83 -
CAACVS010000295_1:46934-47791 -            286 15242at33634         -            206   6.9e-12   39.4   0.1   1   2   6.2e-05    0.0019   11.9   0.0    35    92    56   113    52   118 0.93 -
CAACVS010000295_1:46934-47791 -            286 15242at33634         -            206   6.9e-12   39.4   0.1   2   2   4.2e-09   1.3e-07   25.5   0.0   140   202   210   272   159   275 0.85 -
CAACVS010000658_1:51616-52460 -            205 15242at33634         -            206   2.8e-06   21.1   0.0   1   1   1.1e-07   3.5e-06   20.8   0.0    24   163    28   177    15   197 0.83 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/15242at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Pseudo-nitzschia_multistriata_ASM90066040v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_900660405.1_ASM90066040v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Pseudo-nitzschia_multistriata_ASM90066040v1/run_stramenopiles_odb10/hmmer_output/initial_run_results/15242at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/15242at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Pseudo-nitzschia_multistriata_ASM90066040v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_900660405.1_ASM90066040v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Thu Apr 15 15:02:52 2021
# [ok]
