# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Missing
83779at2759	Duplicated	scaffold00048	63123	64631	-	197.1	229
83779at2759	Duplicated	scaffold01261	1020	2516	+	192.3	233
87842at2759	Fragmented	scaffold00041	24916	26021	-	111.3	197
97116at2759	Complete	scaffold00016	108209	111736	+	678.9	847
100698at2759	Complete	scaffold00010	501258	503537	+	700.4	502
142542at2759	Missing
156083at2759	Complete	scaffold00074	19597	26712	+	3424.9	1892
160593at2759	Missing
166920at2759	Complete	scaffold00121	67114	71012	+	435.9	671
176625at2759	Complete	scaffold00023	312112	321939	-	162.5	301
179362at2759	Fragmented	scaffold00959	1980	2712	+	301.1	174
245208at2759	Complete	scaffold00004	217787	221448	+	1395.6	856
257318at2759	Complete	scaffold00204	21454	23889	+	193.7	319
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	scaffold00111	78256	81061	+	563.5	552
293315at2759	Complete	scaffold00537	14677	19199	+	584.6	595
296129at2759	Complete	scaffold00166	28185	31623	-	873.2	701
299766at2759	Duplicated	scaffold01287	20	3682	+	342.3	418
299766at2759	Duplicated	scaffold00207	77177	79630	+	296.0	357
306227at2759	Complete	scaffold00053	125709	127847	-	447.3	501
320059at2759	Complete	scaffold00115	38644	40257	+	813.1	452
324863at2759	Complete	scaffold00010	65707	69167	-	471.0	538
325552at2759	Missing
330169at2759	Complete	scaffold00062	197479	199110	+	253.6	307
331411at2759	Missing
341721at2759	Fragmented	scaffold00600	27501	28529	+	94.4	223
345441at2759	Complete	scaffold00001	211624	213303	-	335.8	374
355408at2759	Complete	scaffold00002	116992	119064	+	597.0	554
369837at2759	Fragmented	scaffold00247	12754	13833	-	155.0	189
375960at2759	Complete	scaffold00004	298506	300059	+	236.9	338
383503at2759	Complete	scaffold00021	128944	130845	-	220.4	296
388820at2759	Missing
390348at2759	Complete	scaffold00843	11936	14586	-	488.1	597
392369at2759	Duplicated	scaffold00079	188327	190157	+	371.6	340
392369at2759	Duplicated	scaffold00758	8692	10251	-	356.9	339
396755at2759	Complete	scaffold00019	323003	326736	-	193.4	542
418107at2759	Complete	scaffold00041	217931	219289	-	401.4	388
426305at2759	Missing
450058at2759	Missing
453044at2759	Complete	scaffold00027	349113	350768	+	246.5	322
457861at2759	Complete	scaffold00041	250481	251383	+	33.0	121
464990at2759	Missing
491869at2759	Duplicated	scaffold00237	52071	53615	-	180.7	254
491869at2759	Duplicated	scaffold02619	536	1552	-	178.1	213
513979at2759	Complete	scaffold00017	291127	292695	-	131.8	204
543764at2759	Complete	scaffold00004	607123	608541	+	175.4	210
549762at2759	Complete	scaffold00005	895714	897489	-	410.0	357
551907at2759	Complete	scaffold00084	80210	82627	+	144.1	263
570797at2759	Complete	scaffold00043	112070	113911	-	403.3	498
582756at2759	Complete	scaffold00034	176421	177974	-	174.8	366
598949at2759	Complete	scaffold00005	338408	341992	-	287.7	354
604979at2759	Complete	scaffold00090	121322	122773	-	364.1	261
621827at2759	Missing
625387at2759	Duplicated	scaffold00521	7004	11143	-	132.1	256
625387at2759	Duplicated	scaffold00533	33870	38210	+	130.2	256
655400at2759	Duplicated	scaffold00072	72909	74303	-	168.3	262
655400at2759	Duplicated	scaffold00541	28631	29845	+	158.4	238
655400at2759	Duplicated	scaffold02038	3142	4218	-	155.7	220
664730at2759	Complete	scaffold00013	394972	396321	+	580.4	341
671536at2759	Complete	scaffold00005	679266	680918	-	417.6	357
671846at2759	Missing
673132at2759	Duplicated	scaffold00328	52816	54111	-	258.3	275
673132at2759	Duplicated	scaffold01213	1836	3208	-	257.7	273
674160at2759	Complete	scaffold00065	116399	124650	-	285.4	798
674169at2759	Complete	scaffold00322	7550	8377	+	111.8	197
679187at2759	Complete	scaffold00017	154085	156160	-	229.3	432
679771at2759	Complete	scaffold00005	161432	162644	-	80.0	203
687505at2759	Complete	scaffold00001	457476	458584	-	152.0	255
692986at2759	Complete	scaffold00130	41218	43561	+	102.5	303
708105at2759	Complete	scaffold00012	46356	47735	+	67.5	180
719531at2759	Complete	scaffold00005	101592	102866	-	331.7	287
720340at2759	Missing
721605at2759	Complete	scaffold00369	22370	23609	+	190.5	254
722805at2759	Missing
734341at2759	Complete	scaffold00049	31630	32571	+	94.8	154
734666at2759	Fragmented	scaffold00002	226674	228212	-	271.1	301
736068at2759	Complete	scaffold00053	136737	137954	-	195.4	305
751335at2759	Duplicated	scaffold01664	485	2113	-	129.4	192
751335at2759	Duplicated	scaffold00208	34712	44965	-	129.3	192
759498at2759	Complete	scaffold00004	726772	729078	-	456.6	416
761109at2759	Complete	scaffold00060	11547	13286	-	351.5	391
768809at2759	Complete	scaffold00046	81519	82607	-	166.7	190
774318at2759	Complete	scaffold00414	19888	21177	-	263.0	269
777920at2759	Complete	scaffold00006	725423	727294	-	306.9	310
779909at2759	Duplicated	scaffold02076	530	1432	+	203.5	214
779909at2759	Duplicated	scaffold00088	55444	56346	+	202.7	214
801857at2759	Complete	scaffold00073	130255	131418	-	173.6	172
814241at2759	Complete	scaffold00234	55051	56517	-	179.4	301
817008at2759	Complete	scaffold00124	23009	24247	-	409.6	283
834694at2759	Complete	scaffold00020	97870	110077	+	333.3	258
836599at2759	Complete	scaffold00123	4853	6412	+	318.0	264
844748at2759	Fragmented	scaffold00003	489082	490482	-	77.6	248
855834at2759	Complete	scaffold00002	1206652	1208864	+	120.8	231
858842at2759	Duplicated	scaffold00030	243858	245288	-	200.6	251
858842at2759	Duplicated	scaffold00030	247945	248844	-	171.5	178
865202at2759	Complete	scaffold00380	10216	11127	+	193.2	213
866359at2759	Duplicated	scaffold00689	23229	24191	-	297.4	221
866359at2759	Duplicated	scaffold00440	1557	2519	+	296.3	221
869548at2759	Duplicated	scaffold00045	122472	123080	-	173.1	153
869548at2759	Duplicated	scaffold00045	120292	120903	-	172.0	153
878143at2759	Complete	scaffold00007	192450	193886	+	351.5	301
887370at2759	Fragmented	scaffold00073	146790	148091	+	83.6	127
891751at2759	Complete	scaffold00558	7427	9064	+	196.0	213
898782at2759	Complete	scaffold00449	33284	36611	-	268.0	252
901894at2759	Complete	scaffold00285	24360	26390	-	87.8	344
905026at2759	Complete	scaffold00016	58762	60564	+	191.8	418
911863at2759	Fragmented	scaffold00374	52483	53298	+	26.0	73
917326at2759	Complete	scaffold00038	68946	70961	-	323.6	391
918816at2759	Complete	scaffold00017	393318	394925	+	101.5	178
919955at2759	Duplicated	scaffold00203	21861	23078	+	157.0	233
919955at2759	Duplicated	scaffold00313	16420	17637	+	155.9	235
923657at2759	Complete	scaffold00843	6367	7077	+	107.9	160
924753at2759	Complete	scaffold00004	680152	681720	-	176.8	209
931188at2759	Complete	scaffold00012	200316	201923	+	329.2	386
937275at2759	Complete	scaffold00007	611021	612172	-	51.8	90
937686at2759	Complete	scaffold00133	104757	106156	+	285.7	337
939345at2759	Duplicated	scaffold00452	43889	44797	+	71.1	106
939345at2759	Duplicated	scaffold00403	6953	7861	-	70.9	105
944899at2759	Duplicated	scaffold00683	11637	12563	+	338.5	224
944899at2759	Duplicated	scaffold01325	1054	2154	+	337.4	241
944899at2759	Duplicated	scaffold00444	10202	11128	-	336.4	224
946128at2759	Complete	scaffold00121	91587	93536	-	146.1	422
956854at2759	Missing
973442at2759	Missing
974865at2759	Complete	scaffold00020	470663	471694	+	145.3	256
975158at2759	Missing
975557at2759	Fragmented	scaffold00085	3907	4596	-	371.2	216
976469at2759	Complete	scaffold00007	360908	361705	+	133.1	219
981902at2759	Fragmented	scaffold00225	72026	72508	-	117.4	133
996662at2759	Complete	scaffold00168	88716	90497	+	143.3	177
1001705at2759	Complete	scaffold00045	128341	130062	+	107.7	189
1003258at2759	Complete	scaffold00044	19872	21092	-	202.8	288
1010730at2759	Complete	scaffold00180	44792	46129	+	301.8	255
1014314at2759	Complete	scaffold00036	132956	133810	+	111.4	230
1018517at2759	Duplicated	scaffold00020	127479	128282	+	269.1	207
1018517at2759	Duplicated	scaffold00020	141352	142194	+	268.8	207
1018517at2759	Duplicated	scaffold00020	135604	136401	+	266.7	207
1019762at2759	Missing
1025450at2759	Complete	scaffold00008	515942	517231	+	162.2	288
1030907at2759	Complete	scaffold00105	23020	24069	+	67.5	227
1032689at2759	Duplicated	scaffold01255	9449	10627	+	148.0	146
1032689at2759	Duplicated	scaffold00360	15883	17061	-	147.9	146
1038775at2759	Complete	scaffold00032	251986	252937	-	106.1	194
1041560at2759	Fragmented	scaffold00013	439800	440780	+	90.5	162
1049599at2759	Missing
1051021at2759	Complete	scaffold00125	75719	77226	+	271.3	289
1053181at2759	Missing
1057950at2759	Complete	scaffold01793	2	979	-	188.8	228
1065019at2759	Complete	scaffold00040	128466	129458	+	293.5	230
1076134at2759	Complete	scaffold00038	85697	86399	+	91.6	160
1079130at2759	Duplicated	scaffold01266	306	1535	+	308.0	244
1079130at2759	Duplicated	scaffold01185	314	1531	+	308.0	247
1079130at2759	Duplicated	scaffold00342	16432	17538	-	307.6	246
1079827at2759	Missing
1085752at2759	Complete	scaffold00002	223451	224410	-	83.5	210
1087488at2759	Missing
1090038at2759	Duplicated	scaffold00117	146715	147395	+	69.2	99
1090038at2759	Duplicated	scaffold00055	209402	210082	-	69.1	99
1094121at2759	Duplicated	scaffold00640	4345	4848	-	108.0	128
1094121at2759	Duplicated	scaffold00764	22501	23004	+	106.0	128
1096688at2759	Complete	scaffold00017	235081	235962	+	306.4	212
1106766at2759	Complete	scaffold00041	200481	201722	+	101.2	192
1107630at2759	Complete	scaffold00587	20203	21054	-	198.5	200
1108845at2759	Complete	scaffold00017	364953	366389	+	294.1	339
1111142at2759	Missing
1112002at2759	Complete	scaffold00077	131786	134632	-	375.5	492
1115196at2759	Complete	scaffold00072	125060	126181	-	379.2	273
1128607at2759	Duplicated	scaffold02744	866	1792	-	313.4	256
1128607at2759	Duplicated	scaffold02012	3387	4392	+	312.5	253
