#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KV784367_1:1198567-1198965 -            133 1421503at2759        -            114     6e-38  125.2   0.1   1   1   4.2e-39   6.9e-38  125.0   0.1     4   103    23   126    20   133 0.91 -
KV784491_1:8152-8550       -            133 1421503at2759        -            114     6e-38  125.2   0.1   1   1   4.2e-39   6.9e-38  125.0   0.1     4   103    23   126    20   133 0.91 -
KV784369_1:116384-116647   -             88 1421503at2759        -            114   4.9e-11   38.4   0.0   1   1   3.2e-12   5.3e-11   38.3   0.0     6    76    14    87     9    88 0.89 -
KV784421_1:100888-101211   -            108 1421503at2759        -            114   4.6e-10   35.3   0.0   1   1   3.4e-11   5.6e-10   35.0   0.0     3    67    32    97    30   108 0.82 -
KV784365_1:1428029-1428244 -             72 1421503at2759        -            114   1.3e-09   33.9   0.0   1   1     8e-11   1.3e-09   33.8   0.0     9    75     1    71     1    72 0.83 -
KV784394_1:393266-393508   -             81 1421503at2759        -            114     2e-09   33.3   0.0   1   1   1.3e-10   2.1e-09   33.2   0.0     7    76     9    81     3    81 0.91 -
KV784354_1:2054444-2054680 -             79 1421503at2759        -            114   2.6e-09   32.9   0.1   1   1   1.7e-10   2.8e-09   32.8   0.1     6    78     4    79     1    79 0.79 -
KV784530_1:3673-3924       -             84 1421503at2759        -            114   7.1e-09   31.5   0.0   1   1   4.7e-10   7.9e-09   31.3   0.0     5    74     7    80     3    83 0.84 -
KV784353_1:1634951-1635178 -             76 1421503at2759        -            114   8.5e-09   31.2   0.0   1   1   5.4e-10   9.1e-09   31.2   0.0     6    76     3    76     1    76 0.89 -
KV784358_1:197970-253454   -            137 1421503at2759        -            114     8e-08   28.1   0.0   1   1   6.7e-09   1.1e-07   27.6   0.0     5    78    35   112    32   115 0.82 -
KV784367_1:921862-968319   -            137 1421503at2759        -            114     8e-08   28.1   0.0   1   1   6.7e-09   1.1e-07   27.6   0.0     5    78    35   112    32   115 0.82 -
KV784469_1:28083-28307     -             75 1421503at2759        -            114   8.2e-08   28.1   0.0   1   1   5.2e-09   8.7e-08   28.0   0.0     9    76     2    73     1    75 0.87 -
KV784361_1:832009-832335   -            109 1421503at2759        -            114   1.7e-07   27.1   0.0   1   1   1.1e-08   1.9e-07   26.9   0.0     7    83    18    97    13   109 0.85 -
KV784369_1:115633-115893   -             87 1421503at2759        -            114   5.2e-07   25.5   0.0   1   1   5.9e-08   9.8e-07   24.6   0.0     6    76     3    85     1    87 0.74 -
KV784358_1:409880-410125   -             82 1421503at2759        -            114   7.8e-07   24.9   0.0   1   1     5e-08   8.3e-07   24.8   0.0    17    80    13    80     3    82 0.75 -
