#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OLMU01000960_1:2356-3666 -            437 3834at33634          -            493   3.8e-50  165.0   0.0   1   1   1.7e-51   5.6e-50  164.4   0.0   340   493   277   427   253   427 0.94 -
OLMU01002504_1:16-954    -            313 3834at33634          -            493   3.6e-48  158.4   3.0   1   2   1.4e-14   4.7e-13   42.6   0.6    15    55     1    45     1    49 0.89 -
OLMU01002504_1:16-954    -            313 3834at33634          -            493   3.6e-48  158.4   3.0   2   2   4.1e-36   1.4e-34  113.7   0.1    55   240    67   303    64   309 0.77 -
OLMU01003579_1:2590-3570 -            327 3834at33634          -            493   5.7e-07   22.6   0.5   1   3      0.15         5   -0.3   0.0    68    94     6    34     2    74 0.61 -
OLMU01003579_1:2590-3570 -            327 3834at33634          -            493   5.7e-07   22.6   0.5   2   3    0.0013     0.044    6.5   0.0    38   103   107   175    99   187 0.73 -
OLMU01003579_1:2590-3570 -            327 3834at33634          -            493   5.7e-07   22.6   0.5   3   3   2.3e-05   0.00076   12.2   0.1    27    85   257   320   247   327 0.84 -
OLMU01001380_1:132-890   -            253 3834at33634          -            493   2.7e-06   20.3   0.0   1   3   3.5e-06   0.00012   14.9   0.0    24    92    53   124    47   134 0.87 -
OLMU01001380_1:132-890   -            253 3834at33634          -            493   2.7e-06   20.3   0.0   2   3     0.033       1.1    1.8   0.0    39    85   158   205   152   216 0.84 -
OLMU01001380_1:132-890   -            253 3834at33634          -            493   2.7e-06   20.3   0.0   3   3     0.092       3.1    0.4   0.0    41    91   202   253   188   253 0.79 -
OLMU01000266_1:2263-2970 -            236 3834at33634          -            493   4.7e-06   19.5   0.0   1   3     0.014      0.48    3.0   0.0    39    94    44   102    24   117 0.61 -
OLMU01000266_1:2263-2970 -            236 3834at33634          -            493   4.7e-06   19.5   0.0   2   3    0.0042      0.14    4.8   0.0   128   206    69   151    62   157 0.63 -
OLMU01000266_1:2263-2970 -            236 3834at33634          -            493   4.7e-06   19.5   0.0   3   3   5.9e-05     0.002   10.9   0.0    37    93   170   229   161   234 0.81 -
OLMU01003597_1:4573-5334 -            254 3834at33634          -            493   2.5e-05   17.1   0.1   1   3     0.047       1.6    1.3   0.0    68   102    11    47     1    60 0.64 -
OLMU01003597_1:4573-5334 -            254 3834at33634          -            493   2.5e-05   17.1   0.1   2   3     0.015       0.5    3.0   0.0    36    95    97   160    90   185 0.70 -
OLMU01003597_1:4573-5334 -            254 3834at33634          -            493   2.5e-05   17.1   0.1   3   3   0.00016    0.0052    9.5   0.0    32    84   193   246   182   254 0.84 -
OLMU01002127_1:1857-2827 -            248 3834at33634          -            493   4.9e-05   16.2   0.4   1   2      0.68        23   -2.5   0.0    40    84    44    88    41    99 0.71 -
OLMU01002127_1:1857-2827 -            248 3834at33634          -            493   4.9e-05   16.2   0.4   2   2   2.7e-06   9.1e-05   15.3   0.2    35    99   131   196   122   213 0.75 -
OLMU01003908_1:3424-4164 -            247 3834at33634          -            493   9.9e-05   15.2   0.0   1   3     0.017      0.56    2.8   0.0    30    53    34    57    21    72 0.78 -
OLMU01003908_1:3424-4164 -            247 3834at33634          -            493   9.9e-05   15.2   0.0   2   3   0.00061      0.02    7.5   0.0    38   111   105   181    95   194 0.62 -
OLMU01003908_1:3424-4164 -            247 3834at33634          -            493   9.9e-05   15.2   0.0   3   3   0.00027     0.009    8.7   0.0    37    96   146   208   132   231 0.85 -
OLMU01000931_1:2570-3286 -            239 3834at33634          -            493   0.00039   13.2   0.0   1   3     0.047       1.6    1.3   0.0    38    92    14    70     9    77 0.76 -
OLMU01000931_1:2570-3286 -            239 3834at33634          -            493   0.00039   13.2   0.0   2   3     0.085       2.8    0.5   0.0    43    94   103   157    97   166 0.76 -
OLMU01000931_1:2570-3286 -            239 3834at33634          -            493   0.00039   13.2   0.0   3   3   0.00069     0.023    7.4   0.0    38    82   193   238   187   239 0.90 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/3834at33634.hmm
