#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_4714:23993-25928   -            514 604979at2759         -            307  4.7e-110  363.7   4.0   1   1  4.8e-110  6.4e-109  360.0   4.0    44   303   125   411    98   414 0.89 -
scaffold_4337:8588-9475     -            296 604979at2759         -            307   7.4e-30  100.3   1.9   1   2   7.6e-19     1e-17   60.5   0.1   157   262    17   128     3   136 0.84 -
scaffold_4337:8588-9475     -            296 604979at2759         -            307   7.4e-30  100.3   1.9   2   2   3.4e-12   4.5e-11   38.7   0.2   151   258   180   293   163   296 0.83 -
scaffold_4269:4195-5091     -            299 604979at2759         -            307   3.7e-29   98.1   2.9   1   3   2.9e-13   3.9e-12   42.1   1.1    55   152    24   125     7   136 0.83 -
scaffold_4269:4195-5091     -            299 604979at2759         -            307   3.7e-29   98.1   2.9   2   3   6.3e-07   8.4e-06   21.3   0.0   180   249   117   190   115   195 0.79 -
scaffold_4269:4195-5091     -            299 604979at2759         -            307   3.7e-29   98.1   2.9   3   3   4.3e-11   5.8e-10   35.0   0.1   135   195   196   262   190   277 0.86 -
scaffold_6014:3391-4470     -            360 604979at2759         -            307   2.7e-28   95.2   6.6   1   4    0.0051     0.069    8.5   0.0   266   300     9    44     3    50 0.73 -
scaffold_6014:3391-4470     -            360 604979at2759         -            307   2.7e-28   95.2   6.6   2   4   7.4e-10   9.9e-09   31.0   0.1   158   230    67   142    61   162 0.84 -
scaffold_6014:3391-4470     -            360 604979at2759         -            307   2.7e-28   95.2   6.6   3   4   8.4e-11   1.1e-09   34.1   1.1   164   249   158   248   143   254 0.71 -
scaffold_6014:3391-4470     -            360 604979at2759         -            307   2.7e-28   95.2   6.6   4   4   8.6e-07   1.1e-05   20.9   0.0    55   150   261   359   255   360 0.81 -
scaffold_3887:40882-41724   -            281 604979at2759         -            307   4.1e-26   88.0   0.2   1   3   4.7e-19   6.2e-18   61.2   0.1   126   237     9   142     2   148 0.79 -
scaffold_3887:40882-41724   -            281 604979at2759         -            307   4.1e-26   88.0   0.2   2   3    0.0036     0.048    9.0   0.0    45    68   152   175   145   187 0.75 -
scaffold_3887:40882-41724   -            281 604979at2759         -            307   4.1e-26   88.0   0.2   3   3   0.00099     0.013   10.8   0.0   201   257   214   270   187   278 0.63 -
scaffold_3760:100938-101969 -            344 604979at2759         -            307   3.1e-25   85.2   0.1   1   3   2.6e-06   3.5e-05   19.3   0.0   152   228    46   128    41   143 0.80 -
scaffold_3760:100938-101969 -            344 604979at2759         -            307   3.1e-25   85.2   0.1   2   3   1.9e-08   2.5e-07   26.4   0.0   201   261   149   208   132   210 0.82 -
scaffold_3760:100938-101969 -            344 604979at2759         -            307   3.1e-25   85.2   0.1   3   3   1.7e-10   2.3e-09   33.1   0.0   179   246   209   280   205   344 0.78 -
scaffold_9365:5452-6213     -            254 604979at2759         -            307     5e-24   81.2   7.9   1   2   7.4e-21   9.9e-20   67.1   3.8    79   245     3   178     2   183 0.89 -
scaffold_9365:5452-6213     -            254 604979at2759         -            307     5e-24   81.2   7.9   2   2   1.7e-07   2.2e-06   23.2   0.1   133   201   142   221   140   236 0.73 -
scaffold_15589:0-752        -            251 604979at2759         -            307   2.4e-23   79.0   8.8   1   2   4.4e-20   5.8e-19   64.6   4.5    81   245     2   175     1   179 0.89 -
scaffold_15589:0-752        -            251 604979at2759         -            307   2.4e-23   79.0   8.8   2   2   1.2e-07   1.6e-06   23.7   0.1   132   202   138   219   134   235 0.73 -
scaffold_8258:7849-9078     -            305 604979at2759         -            307   3.9e-23   78.3   0.4   1   4    0.0081      0.11    7.8   0.0   262   296    52    85    21    91 0.72 -
scaffold_8258:7849-9078     -            305 604979at2759         -            307   3.9e-23   78.3   0.4   2   4   7.1e-10   9.5e-09   31.0   0.1   161   263    60   164    51   168 0.82 -
scaffold_8258:7849-9078     -            305 604979at2759         -            307   3.9e-23   78.3   0.4   3   4   1.9e-09   2.6e-08   29.6   0.0   116   258    93   252    90   253 0.79 -
scaffold_8258:7849-9078     -            305 604979at2759         -            307   3.9e-23   78.3   0.4   4   4   3.5e-09   4.7e-08   28.7   0.0   157   263   187   298   173   304 0.80 -
scaffold_3873:18189-19231   -            316 604979at2759         -            307   5.3e-23   77.8   0.6   1   3   9.2e-15   1.2e-13   47.1   0.0    56   195     9   159     5   172 0.85 -
scaffold_3873:18189-19231   -            316 604979at2759         -            307   5.3e-23   77.8   0.6   2   3      0.44       5.9    2.1   0.0    40    69   172   201   161   212 0.85 -
scaffold_3873:18189-19231   -            316 604979at2759         -            307   5.3e-23   77.8   0.6   3   3     1e-07   1.4e-06   23.9   0.9   174   241   243   312   235   316 0.85 -
scaffold_3852:3032-6777     -           1078 604979at2759         -            307   5.3e-23   77.8   3.5   1   5    0.0024     0.032    9.6   0.0   266   297   196   227   179   237 0.85 -
