#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_6949:7059-8178     -            241 13832at33634         -            209   8.5e-62  202.5   0.4   1   1   1.6e-62   2.5e-61  201.0   0.4     3   182    49   239    47   241 0.83 -
scaffold_6950:7059-8178     -            241 13832at33634         -            209   8.5e-62  202.5   0.4   1   1   1.6e-62   2.5e-61  201.0   0.4     3   182    49   239    47   241 0.83 -
scaffold_7915:4375-5494     -            241 13832at33634         -            209   8.5e-62  202.5   0.4   1   1   1.6e-62   2.5e-61  201.0   0.4     3   182    49   239    47   241 0.83 -
scaffold_6049:9156-10199    -            348 13832at33634         -            209   1.8e-40  132.8   2.7   1   3   1.3e-08     2e-07   24.9   0.0     3    49    21    67    19    90 0.83 -
scaffold_6049:9156-10199    -            348 13832at33634         -            209   1.8e-40  132.8   2.7   2   3   4.7e-32     7e-31  101.5   0.6    46   185   139   296   131   314 0.81 -
scaffold_6049:9156-10199    -            348 13832at33634         -            209   1.8e-40  132.8   2.7   3   3     0.014      0.21    5.2   0.0   181   208   319   347   301   348 0.79 -
scaffold_4065:25220-26290   -            357 13832at33634         -            209   1.5e-32  107.0   4.9   1   3   2.6e-05   0.00039   14.1   0.2     5    45     3    57     1    74 0.68 -
scaffold_4065:25220-26290   -            357 13832at33634         -            209   1.5e-32  107.0   4.9   2   3       1.5        22   -1.4   0.0    38    63    96   121    85   138 0.78 -
scaffold_4065:25220-26290   -            357 13832at33634         -            209   1.5e-32  107.0   4.9   3   3     1e-28   1.5e-27   90.6   0.4    62   205   180   346   154   349 0.74 -
scaffold_4075:28823-29542   -            240 13832at33634         -            209   8.6e-31  101.2   2.5   1   2   3.7e-24   5.5e-23   75.7   0.1    62   145    63   142    59   150 0.91 -
scaffold_4075:28823-29542   -            240 13832at33634         -            209   8.6e-31  101.2   2.5   2   2   1.2e-08   1.7e-07   25.1   0.3   142   186   188   236   182   238 0.71 -
scaffold_4012:34513-35241   -            243 13832at33634         -            209   4.4e-30   98.9   0.2   1   3      0.82        12   -0.6   0.0     5    20     2    17     1    24 0.80 -
