iscS	BLYE01000001_1	86.352	381	52	0	20	400	198907	197765	0.0	660
thiF	BLYE01000001_1	39.306	173	100	3	42	211	281249	280737	4.02e-27	110
thiI	BLYE01000191_1	31.707	82	54	1	132	213	33235	32996	2.2	31.6
dxs	BLYE01000093_1	30.709	127	81	5	422	544	37765	38136	6.98e-05	47.0
thiH	BLYE01000210_1	28.000	100	71	1	75	174	33775	33479	0.66	32.7
thiO	BLYE01000112_1	28.061	196	108	7	195	363	39171	38602	1.18e-06	51.2
thiG	BLYE01000016_1	42.373	59	28	2	118	174	219063	218899	0.39	32.7
tenI	BLYE01000075_1	32.857	70	44	2	139	205	43209	43000	1.2	30.4
thiM	BLYE01000021_1	30.120	83	54	2	156	235	15081	15326	6.7	28.9
THI4	BLYE01000158_1	52.000	25	12	0	86	110	104342	104416	1.3	31.6
thi4	BLYE01000020_1	55.172	29	13	0	33	61	393590	393504	0.046	35.8
THI20	BLYE01000012_1	39.583	48	28	1	122	169	319667	319807	0.80	33.1
thiD	BLYE01000003_1	23.913	92	67	2	177	266	725015	724743	4.4	29.3
thiDN	BLYE01000012_1	32.353	102	62	3	77	173	319586	319885	7.27e-10	62.0
thiC	BLYE01000004_1	45.714	35	19	0	91	125	407555	407659	2.0	32.0
THI5	BLYE01000046_1	30.952	42	28	1	192	232	98069	97944	3.4	30.0
thiE	BLYE01000158_1	25.000	92	61	2	72	163	40585	40334	1.5	30.4
thiN	BLYE01000088_1	35.417	48	26	2	86	133	185042	184914	0.70	31.2
thiL	BLYE01000215_1	27.027	111	72	5	199	306	139387	139701	0.007	38.5
NTPCR	BLYE01000012_1	30.488	82	53	2	15	96	571863	572096	0.19	32.7
rsgA	BLYE01000001_1	32.143	112	59	7	117	212	599064	598732	0.001	40.8
adk	BLYE01000009_1	72.993	137	37	0	171	307	73425	73015	9.41e-85	216
THTPA	BLYE01000001_1	35.950	242	139	10	40	277	568770	569459	1.50e-29	118
phoA	BLYE01000002_1	25.000	84	56	2	249	329	518312	518073	0.14	35.4
PHO	BLYE01000001_1	25.000	120	75	3	278	392	1087115	1087444	0.46	33.5
PHO5_11_12	BLYE01000001_1	26.804	97	56	3	301	392	1087184	1087444	1.0	32.3
ACP1	BLYE01000040_1	36.585	41	26	0	45	85	67512	67634	0.47	30.8
TH2	BLYE01000001_1	31.915	47	27	2	227	272	3485934	3485806	6.0	30.0
thiK	BLYE01000026_1	36.170	47	27	2	79	124	211331	211465	0.19	33.9
TPK1	BLYE01000024_1	31.119	286	126	11	3	266	376596	375886	1.68e-26	108
TENA_E	BLYE01000138_1	33.333	42	20	1	9	42	39944	39819	9.1	27.3
ylmB	BLYE01000157_1	33.735	83	55	0	83	165	133952	133704	5.02e-06	49.7
tenA	BLYE01000058_1	37.736	53	27	3	120	170	14941	15087	1.1	30.8
