#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_40:107896-108582 -            229 271586at2759         -            460   2.2e-08   29.6   0.6   1   2   3.3e-10     5e-08   28.4   0.1     4    63    10    69     7    75 0.91 -
scaffold_40:107896-108582 -            229 271586at2759         -            460   2.2e-08   29.6   0.6   2   2      0.29        45   -1.1   0.1    70    94   132   157   124   190 0.73 -
scaffold_41:309900-310883 -            328 271586at2759         -            460   6.5e-08   28.0   1.1   1   3      0.24        37   -0.9   0.0   219   255   101   140    74   148 0.67 -
scaffold_41:309900-310883 -            328 271586at2759         -            460   6.5e-08   28.0   1.1   2   3   6.8e-06     0.001   14.1   0.1    24    73   150   199   145   240 0.79 -
scaffold_41:309900-310883 -            328 271586at2759         -            460   6.5e-08   28.0   1.1   3   3   7.4e-05     0.011   10.7   0.0    13   109   241   308   214   321 0.53 -
scaffold_300:27639-28085  -            149 271586at2759         -            460   3.2e-05   19.1   0.6   1   2      0.19        29   -0.5   0.0    24    61     8    45     5    49 0.78 -
scaffold_300:27639-28085  -            149 271586at2759         -            460   3.2e-05   19.1   0.6   2   2   6.7e-07    0.0001   17.5   0.7    29    94    47   114    38   132 0.74 -
scaffold_392:10937-11233  -             99 271586at2759         -            460   6.6e-05   18.1   2.9   1   2   6.9e-05     0.011   10.8   0.4    11    43     3    35     1    39 0.89 -
scaffold_392:10937-11233  -             99 271586at2759         -            460   6.6e-05   18.1   2.9   2   2   0.00044     0.067    8.2   0.2   408   435    42    69    36    75 0.88 -
scaffold_234:79463-80056  -            198 271586at2759         -            460   0.00051   15.2   0.0   1   3   0.00062     0.095    7.7   0.0    31   108     2    84     1    90 0.78 -
scaffold_234:79463-80056  -            198 271586at2759         -            460   0.00051   15.2   0.0   2   3     0.014       2.2    3.2   0.0    24    58    97   131    93   137 0.92 -
scaffold_234:79463-80056  -            198 271586at2759         -            460   0.00051   15.2   0.0   3   3      0.12        19    0.1   0.0   237   262   137   162   130   184 0.64 -
scaffold_12:141708-142364 -            219 271586at2759         -            460    0.0026   12.8   0.1   1   1   2.6e-05     0.004   12.2   0.1   143   231   109   194    79   216 0.84 -
scaffold_64:338134-338889 -            252 271586at2759         -            460    0.0049   11.9   6.7   1   4      0.38        59   -1.5   0.0   345   366    18    39    11    53 0.79 -
scaffold_64:338134-338889 -            252 271586at2759         -            460    0.0049   11.9   6.7   2   4    0.0013      0.19    6.7   0.3   409   434    56    81    49    86 0.88 -
scaffold_64:338134-338889 -            252 271586at2759         -            460    0.0049   11.9   6.7   3   4      0.69   1.1e+02   -2.4   0.0    19    38   142   161   123   161 0.69 -
scaffold_64:338134-338889 -            252 271586at2759         -            460    0.0049   11.9   6.7   4   4     0.001      0.16    6.9   0.1   410   438   182   210   170   246 0.86 -
scaffold_405:60743-61378  -            212 271586at2759         -            460      0.56    5.2   9.0   1   3     0.063       9.7    1.1   0.1   425   439     6    20     3    37 0.81 -
scaffold_405:60743-61378  -            212 271586at2759         -            460      0.56    5.2   9.0   2   3     0.016       2.5    3.0   4.1   403   433   109   139    68   165 0.72 -
scaffold_405:60743-61378  -            212 271586at2759         -            460      0.56    5.2   9.0   3   3      0.06       9.3    1.1   0.1   397   435   145   183   143   192 0.77 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/271586at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multiseries_Psemu1/run_eukaryota_odb10/metaeuk_output/rerun_results/Psemu1_AssemblyScaffolds_Repeatmasked.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multiseries_Psemu1/run_eukaryota_odb10/hmmer_output/rerun_results/271586at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/271586at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multiseries_Psemu1/run_eukaryota_odb10/metaeuk_output/rerun_results/Psemu1_AssemblyScaffolds_Repeatmasked.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 03:46:04 2021
# [ok]
