#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXC01000665_1:837-1820  -            328 3834at33634          -            493   3.4e-11   36.1   0.3   1   4   0.00042     0.032    6.5   0.1    37    85    24    73     8    84 0.77 -
QAXC01000665_1:837-1820  -            328 3834at33634          -            493   3.4e-11   36.1   0.3   2   4     0.015       1.1    1.4   0.0   179   207   103   131    75   140 0.87 -
QAXC01000665_1:837-1820  -            328 3834at33634          -            493   3.4e-11   36.1   0.3   3   4   2.5e-06   0.00019   13.8   0.0    37    93   147   205   142   221 0.85 -
QAXC01000665_1:837-1820  -            328 3834at33634          -            493   3.4e-11   36.1   0.3   4   4   6.8e-05    0.0051    9.1   0.0    44    97   237   291   223   305 0.84 -
QAXC01006453_1:2316-3098 -            261 3834at33634          -            493   1.4e-06   20.9   0.0   1   3   0.00032     0.024    6.9   0.0    37    88    47    97    24   134 0.83 -
QAXC01006453_1:2316-3098 -            261 3834at33634          -            493   1.4e-06   20.9   0.0   2   3     0.099       7.4   -1.3   0.0   430   465   155   194   144   202 0.69 -
QAXC01006453_1:2316-3098 -            261 3834at33634          -            493   1.4e-06   20.9   0.0   3   3   1.8e-05    0.0014   11.0   0.0    39    91   208   261   205   261 0.92 -
QAXC01005708_1:32-1033   -            334 3834at33634          -            493    0.0025   10.1   0.0   1   2     0.002      0.15    4.3   0.0    37   103    16    83     2   106 0.72 -
QAXC01005708_1:32-1033   -            334 3834at33634          -            493    0.0025   10.1   0.0   2   2    0.0026       0.2    3.9   0.0    38    54   311   327   248   333 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/3834at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_AAB/run_stramenopiles_odb10/metaeuk_output/rerun_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_AAB/run_stramenopiles_odb10/hmmer_output/rerun_results/3834at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/3834at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_AAB/run_stramenopiles_odb10/metaeuk_output/rerun_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Thu Apr 15 16:08:52 2021
# [ok]
