#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXB01054751_1:639-2733  -            671 723at33634           -            789    3e-173  571.0   0.2   1   3  1.4e-152  6.5e-151  497.1   0.0    98   518     1   441     1   444 0.91 -
QAXB01054751_1:639-2733  -            671 723at33634           -            789    3e-173  571.0   0.2   2   3   6.5e-11   3.1e-09   28.5   0.0   556   602   442   488   439   499 0.91 -
QAXB01054751_1:639-2733  -            671 723at33634           -            789    3e-173  571.0   0.2   3   3   2.8e-15   1.3e-13   43.0   0.0   617   696   542   636   537   658 0.77 -
QAXB01042100_1:3793-5088 -            432 723at33634           -            789   5.8e-27   87.2   0.0   1   3   8.9e-06   0.00043   11.5   0.0   378   401    12    35     1    49 0.85 -
QAXB01042100_1:3793-5088 -            432 723at33634           -            789   5.8e-27   87.2   0.0   2   3   1.9e-17   9.2e-16   50.1   0.0   430   522    88   181    79   186 0.93 -
QAXB01042100_1:3793-5088 -            432 723at33634           -            789   5.8e-27   87.2   0.0   3   3     6e-09   2.9e-07   22.0   0.0   617   699   279   371   253   428 0.77 -
QAXB01053111_1:351-1520  -            390 723at33634           -            789   4.2e-18   57.9   7.7   1   2   2.1e-19     1e-17   56.6   4.3   341   523    13   222     1   238 0.75 -
QAXB01053111_1:351-1520  -            390 723at33634           -            789   4.2e-18   57.9   7.7   2   2     0.022         1    0.3   0.1   649   683   353   390   312   390 0.60 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/723at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_MG8b/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_004335815.1_ASM433581v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_MG8b/run_stramenopiles_odb10/hmmer_output/initial_run_results/723at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/723at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_MG8b/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_004335815.1_ASM433581v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Thu Apr 15 15:29:29 2021
# [ok]
