#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OLMU01001944_1:45-1478   -            478 761109at2759         -            377  1.3e-100  333.0  20.5   1   3   2.2e-06   0.00031   15.8   0.1    72   118    25    84    17   108 0.74 -
OLMU01001944_1:45-1478   -            478 761109at2759         -            377  1.3e-100  333.0  20.5   2   3   7.7e-99   1.1e-96  320.1  13.0   126   356   140   378   116   394 0.92 -
OLMU01001944_1:45-1478   -            478 761109at2759         -            377  1.3e-100  333.0  20.5   3   3     0.097        14    0.5   0.0   179   221   395   437   390   440 0.82 -
OLMU01001430_1:127-1005  -            293 761109at2759         -            377   1.3e-45  152.0   6.3   1   2   1.6e-42   2.3e-40  134.7   2.8   130   346    22   246     4   248 0.88 -
OLMU01001430_1:127-1005  -            293 761109at2759         -            377   1.3e-45  152.0   6.3   2   2   1.6e-09   2.3e-07   26.1   0.1   208   323   172   289   169   292 0.85 -
OLMU01001439_1:3240-5316 -            623 761109at2759         -            377   1.2e-10   37.0  11.4   1   4      0.17        24   -0.3   0.0    26    53    35    62    22    64 0.86 -
OLMU01001439_1:3240-5316 -            623 761109at2759         -            377   1.2e-10   37.0  11.4   2   4      0.11        16    0.3   0.1   205   232   160   187   149   196 0.82 -
OLMU01001439_1:3240-5316 -            623 761109at2759         -            377   1.2e-10   37.0  11.4   3   4   1.6e-11   2.4e-09   32.6   2.5   130   273   286   433   253   508 0.77 -
OLMU01001439_1:3240-5316 -            623 761109at2759         -            377   1.2e-10   37.0  11.4   4   4    0.0022      0.31    5.9   0.1   299   324   515   540   511   570 0.87 -
OLMU01004457_1:1580-2071 -            164 761109at2759         -            377   3.9e-08   28.6   3.2   1   2    0.0022      0.32    5.9   0.1   242   272    38    69    29    71 0.79 -
OLMU01004457_1:1580-2071 -            164 761109at2759         -            377   3.9e-08   28.6   3.2   2   2   1.5e-08   2.1e-06   22.9   0.6   209   266    74   131    70   134 0.91 -
OLMU01003382_1:3990-5351 -            454 761109at2759         -            377   2.7e-07   25.9   0.9   1   3   0.00075      0.11    7.4   0.0   290   326    23    59    18    86 0.79 -
OLMU01003382_1:3990-5351 -            454 761109at2759         -            377   2.7e-07   25.9   0.9   2   3   4.9e-05     0.007   11.4   0.0   291   326    92   127    88   161 0.84 -
OLMU01003382_1:3990-5351 -            454 761109at2759         -            377   2.7e-07   25.9   0.9   3   3     0.018       2.6    2.9   0.2   292   328   296   332   287   368 0.70 -
OLMU01004489_1:389-1858  -            490 761109at2759         -            377   3.6e-06   22.2   4.9   1   7      0.14        19    0.0   0.1   203   258    10    73     5    77 0.69 -
