ThiC	AGNL01045876_1	91.026	234	21	0	345	578	3159	2458	0.0	427
Thi5	AGNL01021096_1	33.628	113	74	1	6	118	342	7	9.95e-11	62.4
Thi5-like	AGNL01018498_1	61.033	213	75	2	252	463	941	1558	2.93e-112	252
SSSP	AGNL01045717_1	48.077	260	99	7	337	562	6373	7146	2.74e-54	200
TH1	AGNL01002796_1	55.124	283	111	5	57	324	865	1710	1.22e-150	292
THIO	AGNL01018349_1	64.883	299	98	3	202	493	6902	6006	4.65e-146	408
THIS	AGNL01043102_1	55.714	70	31	0	1	70	56214	56423	7.93e-22	87.8
THIF	AGNL01002445_1	48.148	351	160	4	52	381	3876	2827	1.56e-86	290
DXS	AGNL01013489_1	72.361	720	147	4	54	722	582	2738	0.0	1075
THIG	AGNL01043102_1	83.146	267	45	0	1	267	53839	53039	5.64e-142	441
TPK1	AGNL01049998_1	45.399	163	71	5	106	250	1884	1396	2.85e-44	132
FOLR	AGNL01047363_1	28.000	75	52	1	40	114	2076	1858	2.3	31.2
Thi4	AGNL01017391_1	42.000	50	23	2	93	140	1082	1219	2.1	32.0
ThiM	AGNL01021835_1	28.750	80	46	4	8	79	941	711	2.1	31.2
TENA	AGNL01034836_1	59.394	165	64	2	3	165	5661	5170	1.45e-69	194
