iscS	QPGO01000014_1	83.113	379	64	0	20	398	153512	154648	0.0	634
thiF	QPGO01000094_1	40.506	237	112	5	4	212	34663	33956	3.71e-38	142
thiI	QPGO01000102_1	33.929	56	36	1	224	278	147974	148141	2.1	32.3
dxs	QPGO01000173_1	81.473	448	58	2	305	728	76113	74773	0.0	748
thiH	QPGO01000127_1	22.963	135	94	4	224	352	227557	227949	1.4	32.7
thiO	QPGO01000424_1	27.614	373	228	10	27	363	20503	21603	3.44e-28	117
thiG	QPGO01000040_1	41.935	31	18	0	132	162	379512	379420	6.1	29.6
tenI	QPGO01000015_1	27.737	137	80	6	74	198	91136	91525	7.79e-04	41.2
thiM	QPGO01000055_1	35.000	40	26	0	39	78	341080	340961	6.7	29.6
THI6	QPGO01000173_1	43.333	60	33	1	38	96	150703	150882	7.21e-05	47.4
THI4	QPGO01000424_1	40.625	32	19	0	93	124	20434	20529	3.1	31.2
thi4	QPGO01000039_1	34.211	76	47	2	27	102	346873	347091	0.002	41.2
THI20	QPGO01000173_1	35.955	178	101	5	10	180	149251	149766	2.56e-13	74.7
thiD	QPGO01000173_1	40.299	134	76	1	19	148	149338	149739	2.26e-20	91.7
thiDE	QPGO01000173_1	34.286	140	87	2	337	472	149353	149769	2.24e-15	81.6
thiDN	QPGO01000173_1	39.157	166	95	3	4	163	149296	149793	1.14e-19	94.0
thiC	QPGO01000179_1	79.253	482	54	3	178	617	78777	77344	0.0	755
THI5	QPGO01000225_1	24.638	138	89	3	131	268	45971	45603	0.13	35.8
thiE	QPGO01000173_1	39.109	202	115	5	15	208	150649	151254	1.40e-32	125
thiN	QPGO01000056_1	36.066	61	30	3	37	95	334317	334156	0.62	32.0
thiL	QPGO01000001_1	32.877	73	32	3	154	210	1095798	1096013	7.9	30.0
NTPCR	QPGO01000005_1	39.583	48	29	0	7	54	980863	981006	0.007	37.7
rsgA	QPGO01000048_1	28.846	156	76	10	90	211	400452	400916	0.16	35.0
adk	QPGO01000048_1	73.362	229	57	1	78	306	462895	463569	1.67e-105	339
THTPA	QPGO01000052_1	38.947	190	99	8	36	214	5818	6369	1.18e-30	97.8
phoA	QPGO01000120_1	27.273	77	49	3	438	508	101810	102037	0.17	36.2
PHO	QPGO01000030_1	29.487	78	53	1	226	303	270779	270552	1.8	32.7
PHO5_11_12	QPGO01000006_1	39.024	41	24	1	6	45	811929	811807	0.28	35.4
ACP1	QPGO01000087_1	40.909	44	22	2	44	86	59616	59738	1.4	30.4
TH2	QPGO01000096_1	30.709	381	154	12	77	432	231961	231074	5.35e-30	125
thiK	QPGO01000004_1	26.531	49	36	0	152	200	229456	229602	6.0	30.0
TPK1	QPGO01000057_1	29.259	270	129	11	17	266	371091	371774	1.47e-18	86.7
TENA_E	QPGO01000008_1	37.500	24	15	0	88	111	199087	199158	3.4	29.6
ylmB	QPGO01000030_1	41.304	46	27	0	83	128	314685	314548	0.002	42.4
tenA	QPGO01000118_1	31.343	67	38	3	1	63	214489	214301	1.7	31.2
E2.5.1.2	QPGO01000088_1	23.944	71	49	2	314	381	117612	117406	4.2	31.6
