#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CM000640_1:422519-491253 -            501 1323575at2759        -            114   4.1e-35  116.2   3.4   1   2   3.9e-14   3.6e-12   42.2   0.3     1    33    23    55    23    81 0.86 -
CM000640_1:422519-491253 -            501 1323575at2759        -            114   4.1e-35  116.2   3.4   2   2     9e-24   8.3e-22   73.3   0.2    39   114   108   191    98   191 0.89 -
CM000641_1:768233-768976 -            149 1323575at2759        -            114     1e-10   37.5   0.1   1   1   1.6e-12   1.5e-10   37.0   0.1     7   112    23   148    20   149 0.79 -
CM000648_1:289446-290228 -            261 1323575at2759        -            114   1.2e-06   24.4   0.1   1   2    0.0092      0.85    5.6   0.0     6    30    20    44    15    47 0.89 -
CM000648_1:289446-290228 -            261 1323575at2759        -            114   1.2e-06   24.4   0.1   2   2   3.2e-06    0.0003   16.7   0.0    41   112   165   245   161   247 0.80 -
DS999415_1:646151-646798 -            175 1323575at2759        -            114   1.4e-06   24.2   0.1   1   1     3e-08   2.8e-06   23.3   0.1     7   106    23   140    18   150 0.75 -
CM000641_1:729408-729767 -            120 1323575at2759        -            114   2.3e-05   20.3   0.0   1   1   3.5e-07   3.2e-05   19.8   0.0    50    98    58   111    38   117 0.79 -
CM000641_1:382844-383056 -             71 1323575at2759        -            114   2.3e-05   20.3   0.0   1   1   3.1e-07   2.9e-05   20.0   0.0    47    93    20    71    13    71 0.79 -
DS999432_1:1774-2043     -             90 1323575at2759        -            114   5.3e-05   19.1   0.0   1   1   6.6e-07   6.1e-05   18.9   0.0    50    94    38    86    13    89 0.74 -
DS999434_1:84790-85059   -             90 1323575at2759        -            114   5.3e-05   19.1   0.0   1   1   6.6e-07   6.1e-05   18.9   0.0    50    94    38    86    13    89 0.74 -
DS999441_1:20707-21144   -            146 1323575at2759        -            114   6.2e-05   18.9   0.0   1   1   1.1e-06   9.9e-05   18.2   0.0    41    94    73   133    66   138 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1323575at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Thalassiosira_pseudonana_ASM14940v2/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_000149405.2_ASM14940v2_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Thalassiosira_pseudonana_ASM14940v2/run_eukaryota_odb10/hmmer_output/initial_run_results/1323575at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1323575at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Thalassiosira_pseudonana_ASM14940v2/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_000149405.2_ASM14940v2_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 03:19:45 2021
# [ok]
