# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Duplicated	BLYE01000001_1	3176170	3182703	-	1674.2	1354
39650at2759	Duplicated	BLYE01000088_1	82834	89367	-	1673.8	1355
83779at2759	Complete	BLYE01000003_1	1114323	1115744	+	181.1	208
87842at2759	Duplicated	BLYE01000019_1	510905	514379	+	191.7	506
87842at2759	Duplicated	BLYE01000159_1	17249	20723	+	191.7	506
97116at2759	Complete	BLYE01000003_1	1396564	1400562	+	672.6	887
100698at2759	Complete	BLYE01000024_1	138210	140561	+	700.2	503
142542at2759	Missing
156083at2759	Duplicated	BLYE01000020_1	182299	189726	-	3419.7	1926
156083at2759	Duplicated	BLYE01000162_1	109645	117072	-	3419.7	1926
160593at2759	Complete	BLYE01000001_1	1972057	1976808	+	1004.3	1034
166920at2759	Duplicated	BLYE01000161_1	3	3142	+	481.0	590
166920at2759	Duplicated	BLYE01000019_1	298643	302718	+	480.7	627
176625at2759	Complete	BLYE01000002_1	1294625	1298221	-	137.7	284
179362at2759	Duplicated	BLYE01000017_1	402402	407245	-	479.3	1015
179362at2759	Duplicated	BLYE01000156_1	207681	212524	-	478.9	1015
245208at2759	Duplicated	BLYE01000100_1	177700	181557	-	1402.2	847
245208at2759	Duplicated	BLYE01000004_1	999805	1003002	-	1401.2	845
257318at2759	Duplicated	BLYE01000019_1	175008	176519	-	210.3	303
257318at2759	Duplicated	BLYE01000160_1	158552	160063	-	208.4	308
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Duplicated	BLYE01000019_1	151690	154665	+	565.1	599
290630at2759	Duplicated	BLYE01000160_1	134975	137950	+	565.1	599
293315at2759	Fragmented	BLYE01000041_1	13361	16437	-	563.9	529
296129at2759	Duplicated	BLYE01000007_1	471265	474480	-	872.8	710
296129at2759	Duplicated	BLYE01000119_1	61710	64928	-	872.5	710
299766at2759	Complete	BLYE01000021_1	365552	369815	-	333.0	432
306227at2759	Duplicated	BLYE01000004_1	944264	946375	-	432.1	536
306227at2759	Duplicated	BLYE01000100_1	119582	121693	-	432.1	536
320059at2759	Complete	BLYE01000002_1	1560376	1562010	+	805.7	452
324863at2759	Duplicated	BLYE01000013_1	338069	340888	-	474.7	510
324863at2759	Duplicated	BLYE01000137_1	75250	78069	-	474.7	510
325552at2759	Missing
330169at2759	Complete	BLYE01000001_1	2084936	2086584	+	233.6	322
331411at2759	Missing
341721at2759	Complete	BLYE01000001_1	1709355	1711076	-	227.1	347
345441at2759	Complete	BLYE01000008_1	644746	646446	+	331.8	353
355408at2759	Complete	BLYE01000002_1	1873039	1875123	+	607.1	552
369837at2759	Complete	BLYE01000044_1	174414	176864	+	192.7	345
375960at2759	Complete	BLYE01000001_1	418154	419662	-	127.3	308
383503at2759	Duplicated	BLYE01000009_1	690446	692365	+	214.7	279
383503at2759	Duplicated	BLYE01000123_1	240038	241957	+	214.7	279
388820at2759	Missing
390348at2759	Missing
392369at2759	Complete	BLYE01000001_1	2301360	2303012	+	381.3	349
396755at2759	Duplicated	BLYE01000009_1	671632	675220	-	186.3	697
396755at2759	Duplicated	BLYE01000123_1	221219	224807	-	186.3	697
