#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AGNL01018392_1:2750-5265  -            751 1342at33634          -            731  1.9e-280  926.2  17.1   1   4  1.3e-121  6.7e-120  395.4   2.4   161   411     1   277     1   301 0.92 -
AGNL01018392_1:2750-5265  -            751 1342at33634          -            731  1.9e-280  926.2  17.1   2   4     1e-13   5.4e-12   38.7   0.1   412   457   315   376   304   381 0.83 -
AGNL01018392_1:2750-5265  -            751 1342at33634          -            731  1.9e-280  926.2  17.1   3   4   0.00022     0.011    7.8   0.1   427   478   387   439   378   447 0.77 -
AGNL01018392_1:2750-5265  -            751 1342at33634          -            731  1.9e-280  926.2  17.1   4   4  4.9e-151  2.5e-149  492.7   0.4   471   730   474   751   471   751 0.94 -
AGNL01011215_1:6646-8472  -            578 1342at33634          -            731   9.3e-23   74.2   7.1   1   1   1.8e-23   9.4e-22   70.9   7.1    20   405    25   452     7   459 0.77 -
AGNL01015340_1:852-3464   -            871 1342at33634          -            731     2e-09   30.1   0.8   1   2   9.9e-11   5.1e-09   28.8   0.1    24   217    90   301    78   320 0.72 -
AGNL01015340_1:852-3464   -            871 1342at33634          -            731     2e-09   30.1   0.8   2   2      0.19       9.5   -1.8   0.0   211   236   462   487   459   499 0.86 -
AGNL01003196_1:2114-2443  -            110 1342at33634          -            731   5.6e-06   18.8   0.0   1   1   1.2e-07   6.4e-06   18.6   0.0    74   136    41   106    25   109 0.85 -
AGNL01017072_1:8291-11176 -            887 1342at33634          -            731   0.00031   13.0   0.1   1   2      0.82        42   -4.0   0.0   111   131   145   165   120   208 0.66 -
AGNL01017072_1:8291-11176 -            887 1342at33634          -            731   0.00031   13.0   0.1   2   2   1.4e-05    0.0007   11.8   0.0   202   361   248   420   229   488 0.66 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/1342at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Thalassiosira_oceanica_ThaOc_1.0/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_000296195.2_ThaOc_1.0_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Thalassiosira_oceanica_ThaOc_1.0/run_stramenopiles_odb10/hmmer_output/initial_run_results/1342at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/1342at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Thalassiosira_oceanica_ThaOc_1.0/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_000296195.2_ThaOc_1.0_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 13:14:33 2021
# [ok]
